Generation	Smiles
G0	C#N
G0	N
G0	O
G1	C(N)=N
G1	C(C=N)#N
G1	C(N)=O
G2	C(NC(C=N)=N)=N
G2	C(NC(C=N)=N)=O
G2	C(C(N)=N)=N
G2	C(NC=N)=N
G2	C(NC=N)=O
G2	C(C(C=N)=N)#N
G2	C(O)=O
G2	C(C=O)#N
G2	C(C=N)(N)=O
G3	C(N(C(C=N)=N)C(C(C=N)=N)=N)=N
G3	C(N(C(C=N)=N)C(C=O)=N)=N
G3	C(N(C(C=N)=N)C(C(C=N)=N)=N)=O
G3	C(N(C(C=N)=N)C(C=O)=N)=O
G3	C(C(NC(C(C=N)=N)=N)=N)=N
G3	C(C(NC(C=N)=N)=N)=O
G3	C(N(C=N)C(C(C=N)=N)=N)=N
G3	C(N(C=N)C(C=O)=N)=N
G3	C(N(C=N)C(C(C=N)=N)=N)=O
G3	C(N(C=N)C(C=O)=N)=O
G3	C(C=N)(NC(C(C=N)=N)=N)=O
G3	C(C(NC(C=N)=O)=N)=O
G3	C(C(C(N)=N)=N)=N
G3	C(C(N)=N)=O
G3	C(NC(C(C=N)=N)=N)=N
G3	C(NC(C=O)=N)=N
G3	C(N(C(C=N)=N)C(C=N)=N)=N
G3	C(N(C(C=N)=N)C(C=N)=N)=O
G3	C(C(NC(C=N)=N)=N)=N
G3	C(N(C=N)C(C=N)=N)=N
G3	C(N(C=N)C(C=N)=N)=O
G3	C(C=N)(NC(C=N)=N)=O
G3	C(NC(C(C=N)=N)=N)=O
G3	C(NC(C=O)=N)=O
G3	C(N(C=N)C=N)=N
G3	C(N(C=N)C=N)=O
G3	C(NC(C=N)=O)=N
G3	C(C(C(C=N)=N)=N)#N
G3	C(C(C=O)=N)#N
G3	C(C=N)(O)=O
G3	C(C(C#N)O)#N
G3	C(C(C#N)N(C=N)C(C=N)=N)#N
G3	C(C(C#N)NC(C=N)=N)#N
G3	C(C(C#N)N(C=N)C=N)#N
G3	C(C(C#N)N)#N
G3	C(C(C#N)NC=N)#N
G3	C(NC(C=N)=O)=O
G3	C(NC=O)=O
G3	C(C(C=N)=O)#N
G3	C(C(N)=O)=O
G3	C(C(C=N)=N)(N)=O
G4	C(C(C#N)(C(C(N)=N)O)O)#N
G4	C(C(C#N)(C(C(N)=N)O)N)#N
G4	C(C(C#N)(C(C(N)=N)O)NC=N)#N
G4	C(C(C#N)(C(C(NC=N)=N)O)O)#N
G4	C(C(C#N)(C(C(NC=N)=N)O)N)#N
G4	C(C(C#N)(C(C(NC=O)=N)O)O)#N
G4	C(C(C#N)(C(C(NC=O)=N)O)N)#N
G4	C(C(C#N)(C(C(C#N)=N)O)O)#N
G4	C(C(C#N)(C(C(C#N)=N)O)N)#N
G4	C(C(C#N)(C(C(C#N)=N)O)NC=N)#N
G4	C(C(C#N)(C(C#N)(C=N)O)O)#N
G4	C(C(C#N)(C(C(N)=O)O)O)#N
G4	C(C(C#N)(C(C#N)(C=N)O)N)#N
G4	C(C(C#N)(C(C(N)=O)O)N)#N
G4	C(C(C#N)(C(C#N)(C=N)O)NC=N)#N
G4	C(C(C#N)(C(C(N)=O)O)NC=N)#N
G4	C(C(C#N)(C(C#N)O)O)#N
G4	C(C(C#N)(C(C#N)O)NC(C=N)=N)#N
G4	C(C(C#N)(C(C#N)O)N(C=N)C=N)#N
G4	C(C(C#N)(C(C#N)O)N)#N
G4	C(C(C#N)(C(C#N)O)NC=N)#N
G4	C(C(C#N)(C=N)O)#N
G4	C(C(C(NC(C(C=N)=N)=N)=N)=N)=O
G4	C(C(C(NC(C(C=N)=N)=N)=N)O)#N
