Generation	Smiles
0	C(CN)(O)=O
0	C(C(C(C(C(CO)O)O)O)O)=O
0	O
1	C(CO)=O
1	C(C(C(CO)O)O)=O
1	C(CO)(C(C(C(CO)O)O)O)=O
1	C(C(C(C(C(CO)O)O)O)O)(O)=O
1	C(C(C(C(C(CO)O)O)O)O)O
1	CN
1	C(=O)=O
1	C(C(CC(C(CO)O)O)=O)=O
1	C(CC(C(C(CO)O)O)=O)=O
1	C(C(C(CC(CO)O)=O)O)=O
1	C(CC(C=O)O)(C(CO)O)=O
1	C(C(C(C=O)O)O)(CCO)=O
1	C(C(C(CC(CO)=O)O)O)=O
1	C(C(C(C(C(C)=O)O)O)O)=O
1	C(CC(C(C(C=O)O)O)O)=O
1	C(C(C1C(C(C(O)O1)O)O)O)O
1	C(C1C(C(C(C(O)O1)O)O)O)O
1	C1C(C(C(C(C(O)O1)O)O)O)O
1	C(C(C(C(C(CN)O)O)O)O)O
1	C(C(O)=O)=O
1	C=O
2	C1(C(C(C(C1CO)O)O)O)=O
2	C1(C(C(C(C(C1)O)O)O)O)=O
2	C(C1C(C(C(C1O)O)O)O)=O
2	C(C(C=O)O)(O)=O
2	C(C(C(C=O)O)O)(O)=O
2	C(C(CO)O)=O
2	C(C(C(CO)C(C(CO)O)O)=O)=O
2	C(C(C(C(C(CO)O)O)=O)CO)=O
2	C(C(C(C(CO)C(CO)O)=O)O)=O
2	C(C(CO)C(C=O)O)(C(CO)O)=O
2	C(C(C(C=O)O)O)(C(CO)CO)=O
2	C(C(C(C(C(CO)=O)CO)O)O)=O
2	C(C(CO)O)(CC(C(C=O)O)O)=O
2	C(C(C(C(C=O)O)O)O)(CCO)=O
2	C(C(CO)C(C(C(C=O)O)O)O)=O
2	C(C(CC(C(CO)O)O)O)(O)=O
2	C(C(C(C(C(CO)O)O)O)=O)=O
2	C(CO)(CO)=O
2	C(C(C)=O)=O
2	C(CC(CO)=O)=O
2	C(C(C(C)=O)O)=O
2	C(C=O)=O
2	C(C)(C(CO)O)=O
2	C(C(CC(CO)=O)O)=O
2	C(C(CCO)=O)=O
2	C(CO)(CCO)=O
2	C(C(C(C(C)=O)O)O)=O
2	C(C(C=O)O)=O
2	C(C)(CO)=O
2	C(CC(C=O)O)=O
2	C(C(C(C=O)O)O)=O
2	C(C)=O
2	C(CO)(C(CO)O)=O
2	C(C(C(CO)O)O)(C(CO)O)=O
2	C(CC(C(C(CO)O)=O)O)=O
2	C(C(CO)=O)(CC(CO)O)=O
2	C(C(C(CC(CO)O)O)=O)=O
2	C(C(CO)O)(CC(CO)=O)=O
2	C(C(CC(C(CO)=O)O)O)=O
2	C(CCO)(C(C(CO)=O)O)=O
2	C(C(C(C(CCO)O)=O)O)=O
2	C(CO)(C(CC(CO)=O)O)=O
2	C(C(C(CC(C=O)O)O)O)=O
2	C(C)(C(C(C(CO)=O)O)O)=O
2	C(C(C(C=O)O)O)(C(C)O)=O
2	C(CC(C(C(CO)=O)O)O)=O
2	C(CNC)=O
2	C(CNC)(C(CO)O)=O
2	C(C(C(C(C(CO)O)O)O)NC)=O
2	C(C(C(CO)O)O)(C(CO)NC)=O
2	C(CC(C(C(CO)O)=O)NC)=O
2	C(C(CNC)=O)(CC(CO)O)=O
2	C(C(C(CC(CO)O)NC)=O)=O
2	C(C(CO)O)(CC(CNC)=O)=O
2	C(C(CC(C(CO)=O)NC)O)=O
2	C(CCO)(C(C(CNC)=O)O)=O
2	C(C(C(C(CCO)NC)=O)O)=O
2	C(CC(C(CNC)=O)O)(CO)=O
2	C(C(CC(C(C=O)O)O)NC)=O
2	C(C(C(C(CNC)=O)O)O)(C)=O
2	C(C(C(C=O)O)O)(C(C)NC)=O
2	C(CC(C(C(CNC)=O)O)O)=O
2	C(CNCC(O)=O)=O
2	C(CNCC(O)=O)(C(CO)O)=O
2	C(CNC)(C(C(C(CO)O)O)O)=O
2	C(CO)O
2	C(C(C(CO)O)O)O
2	C(CO)(CC(C(CO)O)O)=O
2	C(C(C(CO)O)O)(CCO)=O
2	C(C(CO)O)(CC(CO)O)=O
2	C(C)(C(C(C(CO)O)O)O)=O
2	C(CC(C(C(CO)O)O)O)=O
2	C(C(C(C(CCO)O)O)O)=O
2	C(CO)(O)=O
2	CO
2	C(C(C(CO)O)O)(O)=O
2	C(C(CC(C(CO)O)O)=O)(O)=O
2	C(CC(C(C(CO)O)O)=O)(O)=O
2	C(C(C(CC(CO)O)=O)O)(O)=O
2	C(CC(C(O)=O)O)(C(CO)O)=O
2	C(C(C(C(O)=O)O)O)(CCO)=O
2	C(C(C(CC(CO)=O)O)O)(O)=O
2	C(C(C(C(C(C)=O)O)O)O)(O)=O
2	C(CC(C(C(C(O)=O)O)O)O)=O
2	C(CC(C(C(C=O)O)O)O)(O)=O
2	C(C(O)=O)(O)=O
2	C(O)=O
2	C1(CC(C(C1(CO)O)O)O)=O
2	C(C1(C(C(CC1O)O)O)O)=O
2	C(C(C(CO)O)(C(CO)O)O)=O
2	C(C(C=O)(C(CO)O)O)(O)=O
2	C(C(C(CO)O)(C(C(O)=O)O)O)=O
2	C(C(CO)(C(CO)O)O)=O
2	C(CC(C(CO)(C(CO)O)O)=O)=O
2	C(C(C(CC(CO)O)=O)(CO)O)=O
2	C(CC(C=O)O)(C(CO)(CO)O)=O
2	C(C(CO)(C(C(CCO)=O)O)O)=O
2	C(C(CO)(C(C=O)O)O)(CCO)=O
2	C(C(CO)(C(CC(CO)=O)O)O)=O
2	C(C(CO)(C(C(C(C)=O)O)O)O)=O
2	C(C(C(C(C(C)=O)(CO)O)O)O)=O
2	C(C(CO)(C(C(CC=O)O)O)O)=O
2	C(C(CO)(CC(C(CO)O)=O)O)=O
2	C(C(C(CO)O)N)(O)=O
2	C(C(C(C(C(CO)O)O)O)N)(O)=O
2	C(C(C(O)=O)N)(O)=O
2	C(C(C(C(O)=O)N)O)(O)=O
2	C(C(CO)N)(O)=O
2	C(CO)(C(C(C(CO)O)O)NC)=O
2	C(CC(C(C(CO)O)NC)=O)=O
2	C(C(C(CC(CO)O)=O)NC)=O
2	C(CC(C=O)O)(C(CO)NC)=O
2	C(C(C(C=O)O)NC)(CCO)=O
2	C(C(C(C(C(C)=O)NC)O)O)=O
2	C(C(CC(C(CO)O)O)N)=O
2	C(CN)(CC(C(CO)O)O)=O
2	C(CCO)(CC(C=O)=O)=O
2	C(CO)(CCC(C=O)=O)=O
2	C(C)(C(CC(C=O)=O)O)=O
2	C(CC(CC(C=O)=O)O)=O
2	C(CC(C(CCO)=O)=O)=O
2	C(CC(CC(CO)=O)=O)=O
2	C(CC(C(C(C)=O)O)=O)=O
2	C(CC(C(CC=O)O)=O)=O
2	C(C(C=O)O)(CC(C)=O)=O
2	C(C(C(CCC=O)=O)O)=O
2	C(C(CC(C(C)=O)=O)O)=O
2	C(CC(CC(C=O)O)=O)=O
2	C1(CC(C(C(CO)O)O1)O)=O
2	C1(COC(C(CO)O)C1O)=O
2	C1(C(O)OC(C(CO)O)C1)=O
2	C1(C(C(CO)O)OC(C1)O)=O
2	C(C)(C1C(C(C(O1)O)O)O)=O
2	C(CC1C(C(C(O)O1)O)O)=O
2	C1(CC(C(C(CO)O1)O)O)=O
2	C1(COC(CO)C(C1O)O)=O
2	C1(C(O)OC(CO)C(C1)O)=O
2	C1(C(C(CO)OC(C1)O)O)=O
2	C1(C(C(O)OC(CO)C1)O)=O
2	C1(C(CO)OC(C(C1)O)O)=O
2	C1(CC(C(C(CO1)O)O)O)=O
2	C1(COCC(C(C1O)O)O)=O
2	C1(C(O)OCC(C(C1)O)O)=O
2	C1(C(C(COC(C1)O)O)O)=O
2	C1(C(C(O)OCC(C1)O)O)=O
2	C1(C(COC(C(C1)O)O)O)=O
2	C1(C(C(C(O)OCC1)O)O)=O
2	C1(COC(C(C(C1)O)O)O)=O
2	C(C(C(CO)O)O)(CCN)=O
2	C(C(CN)O)(CC(CO)O)=O
2	C(C(CO)O)(CC(CN)O)=O
2	C(C(C(CN)O)O)(CCO)=O
2	C(CO)(CC(C(CN)O)O)=O
2	C(C)(C(C(C(CN)O)O)O)=O
2	C(CC(C(C(CN)O)O)O)=O
2	C(C(CO)O)=CC(C=O)=O
2	C(C(C(C=CCO)=O)O)=O
2	C(C=CC(C(CO)O)=O)=O
2	C(C(C(C(C=C)=O)O)O)=O
2	C(C(C=CC(CO)=O)O)=O
2	C(C(C(C=CC=O)O)O)=O
2	C(C(C(C(CO)O)O)O)=CN
2	N
2	C(C(C(CO)NC)O)=O
2	C(CO)(C(C(C(CO)O)NC)O)=O
2	C(C(CC(C(CO)O)NC)=O)=O
2	C(CC(C(C(CO)NC)O)=O)=O
2	C(C(C(CC(CO)NC)=O)O)=O
2	C(CC(C=O)NC)(C(CO)O)=O
2	C(CC(C=O)O)(C(CNC)O)=O
2	C(C(C(C(CCO)=O)O)NC)=O
2	C(C(C(C=O)O)O)(CCNC)=O
2	C(C(C(CC(CO)=O)NC)O)=O
2	C(C(C(C(C(C)=O)O)NC)O)=O
2	C(CC(C(C(C=O)O)NC)O)=O
2	C(CC(C(C(C=O)O)O)NC)=O
2	C(C(C(CO)NCC(O)=O)O)=O
2	C(C(C(C(C(CO)O)O)NC)O)=O
2	C1C(C(C(O)O1)O)O
2	C(C1(C(C(C(CO)O1)O)O)O)O
2	C(C1(CC(C(CO)O1)O)O)=O
2	C(CC1(C(C(CO1)O)O)O)=O
2	C(C(C1(CC(CO1)O)O)O)=O
2	C(C1C(CC(CO)(O1)O)O)=O
2	C(C1C(C(C(C)(O1)O)O)O)=O
2	C(C(C1C(CC(O)O1)O)O)=O
2	C1C(C(C(C(CO)(O)O1)O)O)O
2	C(C1(CC(C(CO1)O)O)O)=O
2	C(C1C(C(CC(O1)O)O)O)=O
2	C(CN)O
2	C(C(C(CN)O)O)O
2	C(C(C(C(C(CO)N)O)O)O)O
2	C(CC(C(C(CO)O)O)N)=O
2	C(C(C(CC(CO)O)N)O)=O
