Generation	Smiles
0	C=O
0	N
0	C#N
0	C#CC#N
0	O
0	[OH-]
0	[H+]
0	[Fe+3]
0	[Fe+2]
1	CO
1	C(O)=O
1	C(C(N)=C)#N
1	C(C=CN)#N
1	C(C(C#N)=C)#N
1	C(C=CC#N)#N
1	C(N)=N
1	C#CC(N)=N
1	C(C=N)#N
1	C(CO)#N
1	C(CN)#N
1	C(N)=O
1	C#CC(N)=O
2	C=C(C(N)=N)N
2	C(N)=CC(N)=N
2	C=C(C(N)=O)N
2	C(N)=CC(N)=O
2	C(C(NC(C(N)=N)=C)=C)#N
2	C(C(NC=CC(N)=N)=C)#N
2	C(C(NC(C(N)=O)=C)=C)#N
2	C(C(NC=CC(N)=O)=C)#N
2	C(C=CNC(C(N)=N)=C)#N
2	C(C=CNC=CC(N)=N)#N
2	C(C=CNC(C(N)=O)=C)#N
2	C(C=CNC=CC(N)=O)#N
2	C(NC(C(N)=N)=C)=N
2	C(NC=CC(N)=N)=N
2	C(NC(C(N)=O)=C)=N
2	C(NC=CC(N)=O)=N
2	C#CC(NC(C(N)=N)=C)=N
2	C#CC(NC=CC(N)=N)=N
2	C(CNC(C(N)=N)=C)#N
2	C(CNC=CC(N)=N)#N
2	C#CC(NC(C(N)=O)=C)=N
2	C#CC(NC=CC(N)=O)=N
2	C(CNC(C(N)=O)=C)#N
2	C(CNC=CC(N)=O)#N
2	C(C(NC(C#N)=C)=C)#N
2	C(C=CNC(C#N)=C)#N
2	C(C=CNC=CC#N)#N
2	C(C(NC=N)=C)#N
2	C(C=CNC=N)#N
2	C(C(NC(C#C)=N)=C)#N
2	C(C=CNC(C#C)=N)#N
2	C(C(NCC#N)=C)#N
2	C(C=CNCC#N)#N
2	C(C(C(N)=N)=C)#N
2	C(C=CC(N)=N)#N
2	C(C(C(N)=O)=C)#N
2	C(C=CC(N)=O)#N
2	C(C(CO)O)#N
2	C(C(CO)N)#N
2	C#CN
2	C(C(NC(C(N)=C)=N)=C)#N
2	C(C=CNC(C(N)=C)=N)#N
2	C(C(NC(C=CN)=N)=C)#N
2	C(C(C(NC(C#N)=C)=N)=C)#N
2	C(C=CC(NC(C#N)=C)=N)#N
2	C(NC(C(N)=C)=N)=N
2	C#CC(NC(C(N)=C)=N)=N
2	C(C(NC(C=N)=N)=C)#N
2	C(C(NC(CO)=N)=C)#N
2	C(CNC(C(N)=C)=N)#N
2	C(C(NC(CN)=N)=C)#N
2	C(NC(C(N)=C)=N)=O
2	C#CC(NC(C(N)=C)=N)=O
2	C(C=CNC(C=CN)=N)#N
2	C(C(C(NC=CC#N)=N)=C)#N
2	C(C=CC(NC=CC#N)=N)#N
2	C(NC(C=CN)=N)=N
2	C#CC(NC(C=CN)=N)=N
2	C(C=CNC(C=N)=N)#N
2	C(C=CNC(CO)=N)#N
2	C(CNC(C=CN)=N)#N
2	C(C=CNC(CN)=N)#N
2	C(NC(C=CN)=N)=O
2	C#CC(NC(C=CN)=N)=O
2	C(C(C(NC=N)=N)=C)#N
2	C(C(C(NC(C#C)=N)=N)=C)#N
2	C(C(C(NCC#N)=N)=C)#N
2	C(C(C(NC=O)=N)=C)#N
2	C(C(C(NC(C#C)=O)=N)=C)#N
2	C(C=CC(NC=N)=N)#N
2	C(C=CC(NC(C#C)=N)=N)#N
2	C(C=CC(NCC#N)=N)#N
2	C(C=CC(NC=O)=N)#N
2	C(C=CC(NC(C#C)=O)=N)#N
2	C(NC(C=N)=N)=N
2	C(NC(CO)=N)=N
2	C(NC(CN)=N)=N
2	C#CC(NC(C=N)=N)=N
2	C#CC(NC(CO)=N)=N
2	C#CC(NC(CN)=N)=N
2	C(CNC(C=N)=N)#N
2	C(NC(C=N)=N)=O
2	C#CC(NC(C=N)=N)=O
2	C(CNC(CO)=N)#N
2	C(NC(CO)=N)=O
2	C#CC(NC(CO)=N)=O
2	C(CNC(CN)=N)#N
2	C(NC(CN)=N)=O
2	C#CC(NC(CN)=N)=O
2	C(C(N)=N)=N
2	C(CO)(N)=N
2	C(CN)(N)=N
2	C#CC(NC=N)=N
2	C#CC(NC(C#C)=N)=N
2	C(CNC(C#C)=N)#N
2	C#CC(NC=O)=N
2	C#CC(NC(C#C)=N)=O
2	C(NC=N)=N
2	C(CNC=N)#N
