Index	Reagent	Formed/Produced	Rule
5_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Retro Aldol
5_0	C(CO)=O	1	Retro Aldol
5_0	C(C(C(CO)O)O)=O	1	Retro Aldol
5_1	C(C(C(C(C(CO)O)O)O)O)=O	-1	Knoevenagel H (inv)
5_1	C(CO)=O	1	Knoevenagel H (inv)
5_1	C(C(C(CO)O)O)=O	1	Knoevenagel H (inv)
7_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Keto-enol migration twice
7_0	C(CO)(C(C(C(CO)O)O)O)=O	1	Keto-enol migration twice
9_0	N	-1	Amadori/Heyns Rearrangement
9_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Amadori/Heyns Rearrangement
9_0	O	1	Amadori/Heyns Rearrangement
9_0	C(CN)(C(C(C(CO)O)O)O)=O	1	Amadori/Heyns Rearrangement
12_0	O	-1	Cannizarro 2, glucose (oxidation)
12_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Cannizarro 2, glucose (oxidation)
12_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Cannizarro 2, glucose (oxidation)
12_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	1	Cannizarro 2, glucose (oxidation)
12_0	C(C(C(C(C(CO)O)O)O)O)O	1	Cannizarro 2, glucose (oxidation)
12_1	O	-1	Cannizarro 2, glucose (reduction)
12_1	C(C(C(C(C(CO)O)O)O)O)=O	-1	Cannizarro 2, glucose (reduction)
12_1	C(C(C(C(C(CO)O)O)O)O)=O	-1	Cannizarro 2, glucose (reduction)
12_1	C(C(C(C(C(CO)O)O)O)O)(O)=O	1	Cannizarro 2, glucose (reduction)
12_1	C(C(C(C(C(CO)O)O)O)O)O	1	Cannizarro 2, glucose (reduction)
14_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto
14_0	O	1	Elimination + enol to keto
14_0	C(C(CC(C(CO)O)O)=O)=O	1	Elimination + enol to keto
16_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto
16_0	O	1	Elimination + enol to keto
