Index	Reagent	Formed/Produced	Rule
11_0	C=O	-1	Cannizarro 2, HCHO (oxidation)
11_0	C=O	-1	Cannizarro 2, HCHO (oxidation)
11_0	O	-1	Cannizarro 2, HCHO (oxidation)
11_0	CO	1	Cannizarro 2, HCHO (oxidation)
11_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)
11_1	C=O	-1	Cannizarro 2, HCHO (reduction)
11_1	C=O	-1	Cannizarro 2, HCHO (reduction)
11_1	O	-1	Cannizarro 2, HCHO (reduction)
11_1	CO	1	Cannizarro 2, HCHO (reduction)
11_1	C(O)=O	1	Cannizarro 2, HCHO (reduction)
13_0	N	-1	Alkyne Addition, N, HH
13_0	C#CC#N	-1	Alkyne Addition, N, HH
13_0	C(C(N)=C)#N	1	Alkyne Addition, N, HH
15_0	N	-1	Alkyne Addition, N, HH
15_0	C#CC#N	-1	Alkyne Addition, N, HH
15_0	C(C=CN)#N	1	Alkyne Addition, N, HH
15_1	N	-1	Michael Addition 3,0, 
15_1	C#CC#N	-1	Michael Addition 3,0, 
15_1	C(C=CN)#N	1	Michael Addition 3,0, 
17_0	C#N	-1	Alkyne Addition, C
17_0	C#CC#N	-1	Alkyne Addition, C
17_0	C(C(C#N)=C)#N	1	Alkyne Addition, C
19_0	C#N	-1	Alkyne Addition, C
19_0	C#CC#N	-1	Alkyne Addition, C
19_0	C(C=CC#N)#N	1	Alkyne Addition, C
21_0	N	-1	Nitrile Amination
21_0	C#N	-1	Nitrile Amination
21_0	C(N)=N	1	Nitrile Amination
23_0	N	-1	Nitrile Amination
23_0	C#CC#N	-1	Nitrile Amination
23_0	C#CC(N)=N	1	Nitrile Amination
25_0	C#N	-1	HCN Addition to Nitriles
25_0	C#N	-1	HCN Addition to Nitriles
25_0	C(C=N)#N	1	HCN Addition to Nitriles
27_0	C=O	-1	Cyanohydrin Formation
27_0	C#N	-1	Cyanohydrin Formation
27_0	C(CO)#N	1	Cyanohydrin Formation
29_0	C=O	-1	Strecker Synthesis
29_0	N	-1	Strecker Synthesis
29_0	C#N	-1	Strecker Synthesis
29_0	O	1	Strecker Synthesis
29_0	C(CN)#N	1	Strecker Synthesis
31_0	C#N	-1	Nitrile Hydrolysis
31_0	O	-1	Nitrile Hydrolysis
31_0	C(N)=O	1	Nitrile Hydrolysis
33_0	C#CC#N	-1	Nitrile Hydrolysis
33_0	O	-1	Nitrile Hydrolysis
33_0	C#CC(N)=O	1	Nitrile Hydrolysis
35_0	N	-1	Alkyne Addition, N, HH
35_0	C#CC(N)=N	-1	Alkyne Addition, N, HH
35_0	C=C(C(N)=N)N	1	Alkyne Addition, N, HH
37_0	N	-1	Alkyne Addition, N, HH
37_0	C#CC(N)=N	-1	Alkyne Addition, N, HH
37_0	C(N)=CC(N)=N	1	Alkyne Addition, N, HH
39_0	N	-1	Alkyne Addition, N, HH
39_0	C#CC(N)=O	-1	Alkyne Addition, N, HH
39_0	C=C(C(N)=O)N	1	Alkyne Addition, N, HH
41_0	N	-1	Alkyne Addition, N, HH
41_0	C#CC(N)=O	-1	Alkyne Addition, N, HH
41_0	C(N)=CC(N)=O	1	Alkyne Addition, N, HH
41_1	N	-1	Michael Addition 1,0, 
41_1	C#CC(N)=O	-1	Michael Addition 1,0, 
41_1	C(N)=CC(N)=O	1	Michael Addition 1,0, 
43_0	C(C(N)=C)#N	-1	Alkyne Addition, N, HC
43_0	C#CC(N)=N	-1	Alkyne Addition, N, HC
43_0	C(C(NC(C(N)=N)=C)=C)#N	1	Alkyne Addition, N, HC
45_0	C(C(N)=C)#N	-1	Alkyne Addition, N, HC
45_0	C#CC(N)=N	-1	Alkyne Addition, N, HC
45_0	C(C(NC=CC(N)=N)=C)#N	1	Alkyne Addition, N, HC
47_0	C(C(N)=C)#N	-1	Alkyne Addition, N, HC
47_0	C#CC(N)=O	-1	Alkyne Addition, N, HC
47_0	C(C(NC(C(N)=O)=C)=C)#N	1	Alkyne Addition, N, HC
49_0	C(C(N)=C)#N	-1	Alkyne Addition, N, HC
49_0	C#CC(N)=O	-1	Alkyne Addition, N, HC
49_0	C(C(NC=CC(N)=O)=C)#N	1	Alkyne Addition, N, HC
49_1	C(C(N)=C)#N	-1	Michael Addition 1,0, 
49_1	C#CC(N)=O	-1	Michael Addition 1,0, 
49_1	C(C(NC=CC(N)=O)=C)#N	1	Michael Addition 1,0, 
51_0	C(C=CN)#N	-1	Alkyne Addition, N, HC
51_0	C#CC(N)=N	-1	Alkyne Addition, N, HC
51_0	C(C=CNC(C(N)=N)=C)#N	1	Alkyne Addition, N, HC
53_0	C(C=CN)#N	-1	Alkyne Addition, N, HC
53_0	C#CC(N)=N	-1	Alkyne Addition, N, HC
53_0	C(C=CNC=CC(N)=N)#N	1	Alkyne Addition, N, HC
55_0	C(C=CN)#N	-1	Alkyne Addition, N, HC
55_0	C#CC(N)=O	-1	Alkyne Addition, N, HC
55_0	C(C=CNC(C(N)=O)=C)#N	1	Alkyne Addition, N, HC
57_0	C(C=CN)#N	-1	Alkyne Addition, N, HC
57_0	C#CC(N)=O	-1	Alkyne Addition, N, HC
57_0	C(C=CNC=CC(N)=O)#N	1	Alkyne Addition, N, HC
57_1	C(C=CN)#N	-1	Michael Addition 1,0, 
57_1	C#CC(N)=O	-1	Michael Addition 1,0, 
57_1	C(C=CNC=CC(N)=O)#N	1	Michael Addition 1,0, 
59_0	C(N)=N	-1	Alkyne Addition, N, HC
59_0	C#CC(N)=N	-1	Alkyne Addition, N, HC
59_0	C(NC(C(N)=N)=C)=N	1	Alkyne Addition, N, HC
61_0	C(N)=N	-1	Alkyne Addition, N, HC
61_0	C#CC(N)=N	-1	Alkyne Addition, N, HC
61_0	C(NC=CC(N)=N)=N	1	Alkyne Addition, N, HC
63_0	C(N)=N	-1	Alkyne Addition, N, HC
63_0	C#CC(N)=O	-1	Alkyne Addition, N, HC
63_0	C(NC(C(N)=O)=C)=N	1	Alkyne Addition, N, HC
65_0	C(N)=N	-1	Alkyne Addition, N, HC
65_0	C#CC(N)=O	-1	Alkyne Addition, N, HC
65_0	C(NC=CC(N)=O)=N	1	Alkyne Addition, N, HC
65_1	C(N)=N	-1	Michael Addition 1,0, 
65_1	C#CC(N)=O	-1	Michael Addition 1,0, 
65_1	C(NC=CC(N)=O)=N	1	Michael Addition 1,0, 
67_0	C#CC(N)=N	-1	Alkyne Addition, N, HC
67_0	C#CC(N)=N	-1	Alkyne Addition, N, HC
67_0	C#CC(NC(C(N)=N)=C)=N	1	Alkyne Addition, N, HC
69_0	C#CC(N)=N	-1	Alkyne Addition, N, HC
69_0	C#CC(N)=N	-1	Alkyne Addition, N, HC
69_0	C#CC(NC=CC(N)=N)=N	1	Alkyne Addition, N, HC
71_0	C#CC(N)=N	-1	Alkyne Addition, N, HC
71_0	C(CN)#N	-1	Alkyne Addition, N, HC
71_0	C(CNC(C(N)=N)=C)#N	1	Alkyne Addition, N, HC
73_0	C#CC(N)=N	-1	Alkyne Addition, N, HC
73_0	C(CN)#N	-1	Alkyne Addition, N, HC
73_0	C(CNC=CC(N)=N)#N	1	Alkyne Addition, N, HC
75_0	C#CC(N)=N	-1	Alkyne Addition, N, HC
75_0	C#CC(N)=O	-1	Alkyne Addition, N, HC
75_0	C#CC(NC(C(N)=O)=C)=N	1	Alkyne Addition, N, HC
77_0	C#CC(N)=N	-1	Alkyne Addition, N, HC
77_0	C#CC(N)=O	-1	Alkyne Addition, N, HC
77_0	C#CC(NC=CC(N)=O)=N	1	Alkyne Addition, N, HC
77_1	C#CC(N)=N	-1	Michael Addition 1,0, 
77_1	C#CC(N)=O	-1	Michael Addition 1,0, 
77_1	C#CC(NC=CC(N)=O)=N	1	Michael Addition 1,0, 
79_0	C(CN)#N	-1	Alkyne Addition, N, HC
79_0	C#CC(N)=O	-1	Alkyne Addition, N, HC
79_0	C(CNC(C(N)=O)=C)#N	1	Alkyne Addition, N, HC
81_0	C(CN)#N	-1	Alkyne Addition, N, HC
81_0	C#CC(N)=O	-1	Alkyne Addition, N, HC
81_0	C(CNC=CC(N)=O)#N	1	Alkyne Addition, N, HC
81_1	C(CN)#N	-1	Michael Addition 1,0, 
81_1	C#CC(N)=O	-1	Michael Addition 1,0, 
81_1	C(CNC=CC(N)=O)#N	1	Michael Addition 1,0, 
83_0	C#CC#N	-1	Alkyne Addition, N, HC
83_0	C(C(N)=C)#N	-1	Alkyne Addition, N, HC
83_0	C(C(NC(C#N)=C)=C)#N	1	Alkyne Addition, N, HC
85_0	C#CC#N	-1	Alkyne Addition, N, HC
85_0	C(C(N)=C)#N	-1	Alkyne Addition, N, HC
85_0	C(C=CNC(C#N)=C)#N	1	Alkyne Addition, N, HC
85_1	C#CC#N	-1	Michael Addition 3,0, 
85_1	C(C(N)=C)#N	-1	Michael Addition 3,0, 
85_1	C(C=CNC(C#N)=C)#N	1	Michael Addition 3,0, 
86_0	C#CC#N	-1	Alkyne Addition, N, HC
86_0	C(C=CN)#N	-1	Alkyne Addition, N, HC
86_0	C(C=CNC(C#N)=C)#N	1	Alkyne Addition, N, HC
88_0	C#CC#N	-1	Alkyne Addition, N, HC
88_0	C(C=CN)#N	-1	Alkyne Addition, N, HC
88_0	C(C=CNC=CC#N)#N	1	Alkyne Addition, N, HC
88_1	C#CC#N	-1	Michael Addition 3,0, 
88_1	C(C=CN)#N	-1	Michael Addition 3,0, 
88_1	C(C=CNC=CC#N)#N	1	Michael Addition 3,0, 
90_0	C#CC#N	-1	Alkyne Addition, N, HC
90_0	C(N)=N	-1	Alkyne Addition, N, HC
90_0	C(C(NC=N)=C)#N	1	Alkyne Addition, N, HC
92_0	C#CC#N	-1	Alkyne Addition, N, HC
92_0	C(N)=N	-1	Alkyne Addition, N, HC
92_0	C(C=CNC=N)#N	1	Alkyne Addition, N, HC
92_1	C#CC#N	-1	Michael Addition 3,0, 
92_1	C(N)=N	-1	Michael Addition 3,0, 
92_1	C(C=CNC=N)#N	1	Michael Addition 3,0, 
94_0	C#CC#N	-1	Alkyne Addition, N, HC
94_0	C#CC(N)=N	-1	Alkyne Addition, N, HC
94_0	C(C(NC(C#C)=N)=C)#N	1	Alkyne Addition, N, HC
96_0	C#CC#N	-1	Alkyne Addition, N, HC
96_0	C#CC(N)=N	-1	Alkyne Addition, N, HC
96_0	C(C=CNC(C#C)=N)#N	1	Alkyne Addition, N, HC
96_1	C#CC#N	-1	Michael Addition 3,0, 
96_1	C#CC(N)=N	-1	Michael Addition 3,0, 
96_1	C(C=CNC(C#C)=N)#N	1	Michael Addition 3,0, 
98_0	C#CC#N	-1	Alkyne Addition, N, HC
98_0	C(CN)#N	-1	Alkyne Addition, N, HC
98_0	C(C(NCC#N)=C)#N	1	Alkyne Addition, N, HC
100_0	C#CC#N	-1	Alkyne Addition, N, HC
100_0	C(CN)#N	-1	Alkyne Addition, N, HC
100_0	C(C=CNCC#N)#N	1	Alkyne Addition, N, HC
100_1	C#CC#N	-1	Michael Addition 3,0, 
100_1	C(CN)#N	-1	Michael Addition 3,0, 
100_1	C(C=CNCC#N)#N	1	Michael Addition 3,0, 
102_0	C#N	-1	Alkyne Addition, C
102_0	C#CC(N)=N	-1	Alkyne Addition, C
102_0	C(C(C(N)=N)=C)#N	1	Alkyne Addition, C
104_0	C#N	-1	Alkyne Addition, C
104_0	C#CC(N)=N	-1	Alkyne Addition, C
104_0	C(C=CC(N)=N)#N	1	Alkyne Addition, C
106_0	C#N	-1	Alkyne Addition, C
106_0	C#CC(N)=O	-1	Alkyne Addition, C
106_0	C(C(C(N)=O)=C)#N	1	Alkyne Addition, C
108_0	C#N	-1	Alkyne Addition, C
108_0	C#CC(N)=O	-1	Alkyne Addition, C
108_0	C(C=CC(N)=O)#N	1	Alkyne Addition, C
110_0	C=O	-1	Knoevenagel H
110_0	C(CO)#N	-1	Knoevenagel H
110_0	C(C(CO)O)#N	1	Knoevenagel H
112_0	C=O	-1	Knoevenagel H
112_0	C(CN)#N	-1	Knoevenagel H
112_0	C(C(CO)N)#N	1	Knoevenagel H
113_0	C(C(N)=C)#N	-1	Alkyne Addition, N, HH, inverse
113_0	N	1	Alkyne Addition, N, HH, inverse
113_0	C#CC#N	1	Alkyne Addition, N, HH, inverse
114_0	C(C=CN)#N	-1	Alkyne Addition, N, HH, inverse
114_0	N	1	Alkyne Addition, N, HH, inverse
114_0	C#CC#N	1	Alkyne Addition, N, HH, inverse
116_0	C(C(N)=C)#N	-1	Alkyne Addition, C, inverse
116_0	C#N	1	Alkyne Addition, C, inverse
116_0	C#CN	1	Alkyne Addition, C, inverse
117_0	C(C=CN)#N	-1	Alkyne Addition, C, inverse
117_0	C#N	1	Alkyne Addition, C, inverse
117_0	C#CN	1	Alkyne Addition, C, inverse
118_0	C(C(C#N)=C)#N	-1	Alkyne Addition, C, inverse
118_0	C#N	1	Alkyne Addition, C, inverse
118_0	C#CC#N	1	Alkyne Addition, C, inverse
119_0	C(C=CC#N)#N	-1	Alkyne Addition, C, inverse
119_0	C#N	1	Alkyne Addition, C, inverse
119_0	C#CC#N	1	Alkyne Addition, C, inverse
121_0	C(C(N)=C)#N	-1	Nitrile Amination
121_0	C(C(N)=C)#N	-1	Nitrile Amination
121_0	C(C(NC(C(N)=C)=N)=C)#N	1	Nitrile Amination
123_0	C(C(N)=C)#N	-1	Nitrile Amination
123_0	C(C=CN)#N	-1	Nitrile Amination
123_0	C(C=CNC(C(N)=C)=N)#N	1	Nitrile Amination
125_0	C(C(N)=C)#N	-1	Nitrile Amination
125_0	C(C=CN)#N	-1	Nitrile Amination
125_0	C(C(NC(C=CN)=N)=C)#N	1	Nitrile Amination
127_0	C(C(N)=C)#N	-1	Nitrile Amination
127_0	C(C(C#N)=C)#N	-1	Nitrile Amination
127_0	C(C(C(NC(C#N)=C)=N)=C)#N	1	Nitrile Amination
129_0	C(C(N)=C)#N	-1	Nitrile Amination
129_0	C(C=CC#N)#N	-1	Nitrile Amination
