Generation	Smiles	Inchi	Energy	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms 	VDW Volume	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	Heteroatoms/Carbons	H/C	O/C	ESOL
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	53.0145	-2.2233	0.073	4	3	77.76	-3.2748	4	114.61	120.04225873600001	C4H8O4	4	8	4	1.0	2.0	1.0	1.035171585482697
G2	C(C(C(C(CO)O)O)N)=O	RNZJRDIKDNXKIJ	87.6589	-3.1885	0.126	5	4	103.78	-2.0669	5	147.98	149.068807832	C5H11NO4	5	11	4	1.0	2.2	0.8	1.3454667571857406
G2	C(C(C(C(C(CO)O)O)O)N)=O	FZHXIRIBWMQPQF	110.945	-3.7559	0.255	6	5	124.01	-1.7276	6	174.11	179.079372516	C6H13NO5	6	13	5	1.0	2.1666666666666665	0.8333333333333334	1.6243336214726452
G2	C(C(C(CN)O)N)=O	QSBOQJCOHPCHRB	72.1422	-3.0189	-0.079	4	3	89.34	-2.2797	4	124.33	118.07422756	C4H10N2O2	4	10	2	1.0	2.5	0.5	1.0980282003149746
G2	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA	79.1178	-2.7907	0.202	5	4	97.99	-2.8744	5	142.57	150.05282342	C5H10O5	5	10	5	1.0	2.0	1.0	1.3140384497696014
G2	C(C(C(CN)O)O)=O	JIDVIMQFVJVPPX	51.3108	-2.6211	-0.003	4	3	83.55	-3.0054	4	119.0	119.058243148	C4H9NO3	4	9	3	1.0	2.25	0.75	1.0665998928988354
G2	C(C(C(CO)O)N)=O	UQNPMNUVBRVOCQ	68.2186	-2.6211	-0.003	4	3	83.55	-2.318	4	120.33	119.058243148	C4H9NO3	4	9	3	1.0	2.25	0.75	1.0665998928988358
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX	61.7703	-2.0422	0.237	4	3	77.76	1.2188	4	112.68	120.04225873600001	C4H8O4	4	8	4	1.0	2.0	1.0	1.0339849071589513
G2	C(CNCC=O)(C(CO)O)=O	UAOKRFJFLAUQNR	107.486	-2.8212	0.237	5	3	86.63	-0.47797	5	158.48	161.068807832	C6H11NO4	6	11	4	0.8333333333333334	1.8333333333333333	0.6666666666666666	0.9239728837223499
G2	C(CN)(C(CO)O)=O	WZDHWMRAASHPBX	72.9896	-2.44	0.161	4	3	83.55	0.16273	4	119.27	119.058243148	C4H9NO3	4	9	3	1.0	2.25	0.75	1.06541321457509
G2	C(C(CO)O)O	PEDCQBHIVMGVHV	34.6111	-1.4436	0.159	3	3	60.69	-3.0756	3	92.853	92.047344116	C3H8O3	3	8	3	1.0	2.6666666666666665	1.0	0.8962009680453066
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI	67.858	-2.011	0.288	4	4	80.92	-1.1346	4	120.57	122.0579088	C4H10O4	4	10	4	1.0	2.5	1.0	1.1750678323322115
G2	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	26.2205	-1.7932	0.177	4	3	77.76	-0.2455	4	94.172	106.02660867200001	C3H6O4	3	6	4	1.3333333333333333	2.0	1.3333333333333333	0.7352625114512632
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP	55.6728	-2.3606	0.306	5	4	97.99	0.99073	5	119.54	136.037173356	C4H8O5	4	8	5	1.25	2.0	1.25	1.0141293757381682
G2	C(C(CO)(C(CN)O)O)=O	MMZWUQKSIXGQLM	82.3655	-3.1672	0.395	5	4	103.78	-2.6205	5	147.17	149.068807832	C5H11NO4	5	11	4	1.0	2.2	0.8	1.3442800788619949
G2	C(C(C(CO)O)(C(CN)O)O)=O	MGKXNCNVFOFGIA	113.188	-3.7346	0.524	6	5	124.01	-2.5821	6	176.0	179.079372516	C6H13NO5	6	13	5	1.0	2.1666666666666665	0.8333333333333334	1.6231469431488998
G2	C(C(CO)(CO)O)=O	OUEKYUKJSLEOIU	407.049	-2.202	0.342	4	3	77.76	-4.7871	4	106.5	120.04225873600001	C4H8O4	4	8	4	1.0	2.0	1.0	1.0339849071589513
