Generation	Smiles	Inchi	Energy	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms 	VDW Volume	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	Heteroatoms/Carbons	H/C	O/C	ESOL
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	53.0145	-2.2233	0.073	4	3	77.76	-3.2748	4	114.61	120.04225873600001	C4H8O4	4	8	4	1.0	2.0	1.0	1.035171585482697
G1	C(CN)(C(C(C(CO)O)O)O)=O	XBBIACPUMILHFE	112.411	-3.5748	0.419	6	5	124.01	0.65397	6	172.59	179.079372516	C6H13NO5	6	13	5	1.0	2.1666666666666665	0.8333333333333334	1.623146943148899
G1	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN	61.872	-2.3675	-0.119	5	3	94.83	-2.6094	5	154.91	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G1	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV	39.1213	-2.3675	-0.119	5	3	94.83	-1.8329	5	153.05	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G1	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG	41.0947	-2.3675	-0.119	5	3	94.83	-5.4242	5	152.67	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310867
G1	C(CC(C=O)O)(C(CO)O)=O	LVYQXQPAYHNLQF	50.1139	-2.3675	-0.119	5	3	94.83	-1.9676	5	153.67	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G1	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES	57.1446	-2.3675	-0.119	5	3	94.83	-3.6515	5	155.24	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G1	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM	50.5474	-2.3675	-0.119	5	3	94.83	-3.8216	5	151.73	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G1	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX	80.2334	-2.4626	-0.227	5	3	94.83	-1.4318	5	153.93	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7920422323888738
G1	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK	67.8191	-2.5486	-0.283	5	3	94.83	-2.4079	5	155.18	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7954937779548318
G1	C(C(C(C(C(CO)O)O)N)O)=O	FOEXHEVNPRRHDY	112.291	-3.7559	0.255	6	5	124.01	-2.0669	6	174.72	179.079372516	C6H13NO5	6	13	5	1.0	2.1666666666666665	0.8333333333333334	1.6243336214726452
