Generation	Smiles	Inchi	Energy	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms 	VDW Volume	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	Heteroatoms/Carbons	H/C	O/C	ESOL
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	53.0145	-2.2233	0.073	4	3	77.76	-3.2748	4	114.61	120.04225873600001	C4H8O4	4	8	4	1.0	2.0	1.0	1.035171585482697
G1	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN	61.872	-2.3675	-0.119	5	3	94.83	-2.6094	5	154.91	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G1	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV	39.1213	-2.3675	-0.119	5	3	94.83	-1.8329	5	153.05	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G1	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG	41.0947	-2.3675	-0.119	5	3	94.83	-5.4242	5	152.67	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310867
G1	C(CC(C=O)O)(C(CO)O)=O	LVYQXQPAYHNLQF	50.1139	-2.3675	-0.119	5	3	94.83	-1.9676	5	153.67	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G1	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES	57.1446	-2.3675	-0.119	5	3	94.83	-3.6515	5	155.24	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G1	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM	50.5474	-2.3675	-0.119	5	3	94.83	-3.8216	5	151.73	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G1	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX	80.2334	-2.4626	-0.227	5	3	94.83	-1.4318	5	153.93	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7920422323888738
G1	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK	67.8191	-2.5486	-0.283	5	3	94.83	-2.4079	5	155.18	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7954937779548318
G2	C1(C(C(C(C1CO)O)O)O)=O	LKUVPWZWJWOYKB	53.457	-2.2121	0.012	5	4	97.99	0.4365	5	148.37	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	1.2242444430528143
G2	C1(C(C(C(C(C1)O)O)O)O)=O	GZYCZKBRQBKGJW	615.844	-2.0648	-0.206	5	4	97.99	1.6461	5	152.64	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	1.1151043592782783
G2	C(C1C(C(C(C1O)O)O)O)=O	FWWLBYLLLIZJAL	58.6087	-2.5681	-0.152	5	4	97.99	-2.9812	5	148.62	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	1.2254311213765596
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX	61.7703	-2.0422	0.237	4	3	77.76	1.2188	4	112.68	120.04225873600001	C4H8O4	4	8	4	1.0	2.0	1.0	1.0339849071589513
G2	C(CC(C(C(CO)O)=O)O)=O	ZJCIIXYSVSASQO	53.5581	-2.3675	-0.119	5	3	94.83	-1.2863	5	152.31	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
