Generation	Smiles	Inchi	Energy	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms 	VDW Volume	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	Heteroatoms/Carbons	H/C	O/C	ESOL
G1	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	26.2205	-1.7932	0.177	4	3	77.76	-0.2455	4	94.172	106.02660867200001	C3H6O4	3	6	4	1.3333333333333333	2.0	1.3333333333333333	0.7352625114512632
G2	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN	58.2522	-1.98	0.197	5	4	97.99	0.77366	5	141.53	150.05282342	C5H10O5	5	10	5	1.0	2.0	1.0	0.6320294052069546
G3	C(C(C(CC(O)=O)O)C(C)O)=O	YTCZJXDURLPWNQ	-14.8095	-1.4458	-0.609	5	3	94.83	-2.1314	5	168.12	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	-0.1582884750407467
G3	C(C(C=O)C(CC(C)O)O)(O)=O	IHSFWOVWMRACIR	-27.1468	-1.4458	-0.609	5	3	94.83	-5.0935	5	172.24	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	-0.15828847504074636
G3	C(C(C(C)O)C(C(CO)=O)O)=O	CPUSMWJJBISCJI	38.0979	-2.1492	-0.279	5	3	94.83	-2.0815	5	172.05	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.519082345632197
G3	C(C(C(C)O)C(C=O)(CO)O)=O	FDSHEHPBHWGLQY	38.2913	-2.309	-0.174	5	3	94.83	-3.6203	5	171.03	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.519082345632197
G3	C(C(C(C(CC(C)O)O)O)=O)=O	RLPBKLOISADAAA	75.5071	-2.0082	-0.497	5	3	94.83	-4.7044	5	168.97	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.41339380742361886
G3	C(C(C(CO)C(C)O)=O)(O)=O	OTZRLOUETUNNPF	22.3209	-1.7191	-0.175	5	3	94.83	-8.0314	5	150.14	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.21917327160076303
G3	C(C(CO)C(C(O)=O)(C)O)=O	BFZNNUQWZSQLIJ	7.12795	-1.8789	-0.07	5	3	94.83	-0.59762	5	152.36	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.21917327160076347
G3	C(C(CC(C)O)(CC=O)O)(O)=O	VWVQXOPQCDMBFD	14.8823	-1.2835	-0.558	5	3	94.83	-5.1439	5	171.87	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	-0.2651636915730704
G3	C(C(C(C(C)O)C(C)O)=O)(O)=O	DKTZGQOJHCXEEP	355.98	-1.3598	-0.553	5	3	94.83	-8.0884	5	170.8	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	-0.16174002060670437
