Generation	NetworkSmiles	PathwayFound?
G1	C(C(C(CO)O)O)=O	True
G2	C(C(C(C(CO)O)O)N)=O	False
G2	C(C(C(C(C(CO)O)O)O)N)=O	False
G2	C(C(C(CN)O)N)=O	False
G2	C(C(C(C(CO)O)O)O)=O	True
G2	C(C(C(CN)O)O)=O	True
G2	C(C(C(CO)O)N)=O	True
G2	C(CO)(C(CO)O)=O	True
G2	C(CNCC=O)(C(CO)O)=O	False
G2	C(CN)(C(CO)O)=O	True
G2	C(C(CO)O)O	True
G2	C(C(C(CO)O)O)O	True
G2	C(C(CO)O)(O)=O	True
G2	C(C(C(CO)O)O)(O)=O	True
G2	C(C(CO)(C(CN)O)O)=O	True
G2	C(C(C(CO)O)(C(CN)O)O)=O	True
G2	C(C(CO)(CO)O)=O	True
G2	C(C(CO)(C(CO)O)O)=O	True
G2	C(C(C(CN)O)O)(O)=O	True
G2	C(C(C(CO)NCC=O)O)=O	False
G2	C(C(C(CO)N)O)=O	True
G2	C1C(C(C(O)O1)O)O	True
G3	C1(CNCC(C1O)O)=O	False
G3	C(C1C(C(CN1)O)O)=O	True
G3	C(C1C(C(C(CO)N1)O)O)=O	False
G3	C(CC(C(C(CN)O)N)O)=O	False
G3	C(CO)(C(C(C(CO)N)O)O)=O	True
G3	C(CN)(C(C(C(CO)N)O)O)=O	True
G3	C(CO)(C(C(C(CO)N)O)N)=O	False
G3	C(C(C=O)C(C(CO)N)O)=O	False
G3	C(C(CC(C(CO)N)O)=O)=O	True
G3	C(CC(C(CO)N)O)=O	True
G3	C(CC(C(C(CN)O)O)O)=O	True
G3	C(CC(C(C(CO)O)N)O)=O	True
G3	C(C(C(C(CO)=O)O)O)=O	False
G3	C(C(C(C(CN)=O)O)O)=O	False
G3	C(C(C(C(CO)=O)N)O)=O	False
G3	C(C(C(C=O)O)N)(C(CO)O)=O	False
G3	C(CO)(C(C(CO)(CN)O)O)=O	True
G3	C(CN)(C(C(CO)(CO)O)O)=O	True
G3	C(CO)(C(C(CO)(CO)O)N)=O	False
G3	C(CC(C(C(CO)=O)O)O)=O	False
G3	C(C(C=O)C(CO)(CO)O)=O	False
G3	C(C(C)(C(C(CO)=O)O)O)=O	True
G3	C(C)(C(C(C(CO)=O)O)O)=O	True
G3	C(C(CC(CO)(CO)O)=O)=O	False
G3	C(CO)(C(C(C)O)O)=O	True
G3	C(CC(CO)(CO)O)=O	True
G3	C(CO)(C(C(C(CN)O)O)O)=O	True
G3	C(C(C(C)O)O)(C(CO)O)=O	True
G3	C(CC(CO)(C(CO)O)O)=O	True
G3	C(CN)(C(C(CO)(CN)O)O)=O	True
G3	C(CO)(C(C(CO)(CN)O)N)=O	False
G3	C(CC(C(C(CN)=O)O)O)=O	False
G3	C(CC(C(C(CO)=O)N)O)=O	False
G3	C(C(C=O)C(CO)(CN)O)=O	False
G3	C(C(C)(C(C(CN)=O)O)O)=O	True
G3	C(C(C)(C(C(CO)=O)N)O)=O	False
G3	C(C)(C(C(C(CN)=O)O)O)=O	True
G3	C(CO)(C(C(C(C)=O)O)N)=O	False
G3	C(C(CC(CO)(CN)O)=O)=O	False
G3	C(CN)(C(C(C)O)O)=O	True
G3	C(CO)(C(C(C)O)N)=O	True
G3	C(CC(CO)(CN)O)=O	True
G3	C(CN)(C(C(C(CN)O)O)O)=O	True
G3	C(CO)(C(C(C(CN)O)O)N)=O	False
G3	C(C(CO)O)(C(C(C)O)N)=O	False
G3	C(CC(CN)(C(CO)O)O)=O	True
G3	C(CC(C(CO)(CO)O)O)=O	True
