Generation	NetworkSmiles	PathwayFound?
G1	C(C(C(CO)O)O)=O	True
G1	C(C(CC(C(CO)O)O)=O)=O	True
G1	C(CC(C(C(CO)O)O)=O)=O	True
G1	C(C(C(CC(CO)O)=O)O)=O	True
G1	C(CC(C=O)O)(C(CO)O)=O	True
G1	C(C(C(C=O)O)O)(CCO)=O	True
G1	C(C(C(CC(CO)=O)O)O)=O	True
G1	C(C(C(C(C(C)=O)O)O)O)=O	True
G1	C(CC(C(C(C=O)O)O)O)=O	True
G2	C1(C(C(C(C1CO)O)O)O)=O	True
G2	C1(C(C(C(C(C1)O)O)O)O)=O	True
G2	C(C1C(C(C(C1O)O)O)O)=O	True
G2	C(CO)(C(CO)O)=O	True
G2	C(CC(C(C(CO)O)=O)O)=O	True
G2	C(C(CO)=O)(CC(CO)O)=O	True
G2	C(C(C(CC(CO)O)O)=O)=O	False
G2	C(C(CO)O)(CC(CO)=O)=O	True
G2	C(C(CC(C(CO)=O)O)O)=O	True
G2	C(CCO)(C(C(CO)=O)O)=O	True
G2	C(C(C(C(CCO)O)=O)O)=O	False
G2	C(CO)(C(CC(CO)=O)O)=O	True
G2	C(C(C(CC(C=O)O)O)O)=O	True
G2	C(C)(C(C(C(CO)=O)O)O)=O	True
G2	C(C(C(C=O)O)O)(C(C)O)=O	True
G2	C(CC(C(C(CO)=O)O)O)=O	True
G2	C(C(C(CO)O)O)O	True
G2	C(CO)(CC(C(CO)O)O)=O	True
G2	C(C(C(CO)O)O)(CCO)=O	True
G2	C(C(CO)O)(CC(CO)O)=O	True
G2	C(C)(C(C(C(CO)O)O)O)=O	True
G2	C(CC(C(C(CO)O)O)O)=O	True
G2	C(C(C(C(CCO)O)O)O)=O	True
G2	C(C(C(CO)O)O)(O)=O	True
G2	C1(CC(C(C1(CO)O)O)O)=O	True
G2	C(C1(C(C(CC1O)O)O)O)=O	True
G2	C1(CC(C(C(CO)O)O1)O)=O	True
G2	C1(COC(C(CO)O)C1O)=O	True
G2	C1(C(O)OC(C(CO)O)C1)=O	True
G2	C1(C(C(CO)O)OC(C1)O)=O	True
G2	C(C)(C1C(C(C(O1)O)O)O)=O	True
G2	C(CC1C(C(C(O)O1)O)O)=O	True
G2	C1(CC(C(C(CO)O1)O)O)=O	True
G2	C1(COC(CO)C(C1O)O)=O	True
G2	C1(C(O)OC(CO)C(C1)O)=O	True
G2	C1(C(C(CO)OC(C1)O)O)=O	True
G2	C1(C(C(O)OC(CO)C1)O)=O	True
G2	C1(C(CO)OC(C(C1)O)O)=O	True
G2	C1(CC(C(C(CO1)O)O)O)=O	True
G2	C1(COCC(C(C1O)O)O)=O	True
G2	C1(C(O)OCC(C(C1)O)O)=O	True
G2	C1(C(C(COC(C1)O)O)O)=O	True
G2	C1(C(C(O)OCC(C1)O)O)=O	True
G2	C1(C(COC(C(C1)O)O)O)=O	True
G2	C1(C(C(C(O)OCC1)O)O)=O	True
G2	C1(COC(C(C(C1)O)O)O)=O	True
G2	C1C(C(C(O)O1)O)O	True
G2	C(C1(CC(C(CO)O1)O)O)=O	False
G2	C(CC1(C(C(CO1)O)O)O)=O	False
G2	C(C(C1(CC(CO1)O)O)O)=O	False
G2	C(C1C(CC(CO)(O1)O)O)=O	False
G2	C(C1C(C(C(C)(O1)O)O)O)=O	True
G2	C(C(C1C(CC(O)O1)O)O)=O	False
G2	C(C1(CC(C(CO1)O)O)O)=O	False
G2	C(C1C(C(CC(O1)O)O)O)=O	False
G3	C1(C(C(C(C1)O)O)O)=O	True
G3	C1(C(C(C(CC1O)O)O)O)=O	True
G3	C1(C(C(C(C1)O)(CO)O)O)=O	True
G3	C1(C(CC(CO)(C1O)O)O)=O	True
G3	C1(C(C(C(CO)(C1)O)O)O)=O	True
G3	C1(C(C(C(C)(C1O)O)O)O)=O	True
G3	C1(C(C(CC(C1O)O)O)O)=O	True
G3	C1C(C(C(C(C=1)=O)O)O)O	True
G3	C(C(C)(C(C(CO)=O)O)O)=O	True
G3	C(C(CC(CO)(CO)O)=O)=O	False
G3	C(C(C(C(CO)=O)O)O)=O	False
G3	C(CO)(C(C(CO)(C)O)O)=O	True
G3	C(CO)(CC(CO)(CO)O)=O	True
G3	C(C)(C(C(CO)(CO)O)O)=O	True
G3	C(CO)(C(C(C)O)O)=O	True
G3	C(CC(CO)(CO)O)=O	True
G3	C(CC(C(CO)O)O)=O	True
G3	C(C(CC(C)(C(CO)O)O)=O)=O	False
G3	C(CC(C(C)=O)O)(C(CO)O)=O	True
G3	C(C(C)(CC(C(CO)O)=O)O)=O	False
G3	C(C(CC(CO)(CCO)O)=O)=O	False
G3	C(C(C(C(CCO)=O)O)O)(C)=O	True
G3	C(C(C)(C(C(CCO)=O)O)O)=O	True
G3	C(CO)(C(CO)C(C(C)=O)O)=O	True
G3	C(C(C)(C(C(CO)=O)CO)O)=O	False
G3	C(C(C(CO)=O)C(CO)(C)O)=O	False
G3	C(CC(C(C(CO)(C)O)O)=O)=O	True
G3	C(CO)(CC(CC(CO)=O)O)=O	False
G3	C(CC(CO)(CC(CO)=O)O)=O	False
G3	C(C)(C(C(CC(CO)=O)O)O)=O	True
G3	C(CC(CO)(C(C(C)=O)O)O)=O	False
G3	C(C(C(CC(CO)(C)O)=O)O)=O	True
G3	C(C(C(C)(CC(CO)=O)O)O)=O	False
G3	C(C)(C(C(C(C(C)=O)O)O)O)=O	False
G3	C(C(C(C)(C(C(C)=O)O)O)O)=O	False
G3	C(CO)(C(CO)C(C=O)O)=O	False
G3	C(C(CO)O)(CCO)=O	False
G3	C(C(CO)O)(CC(CO)(C)O)=O	True
G3	C(CO)(CC(C)(C(CO)O)O)=O	True
G3	C(C)(C(C(C)(C(CO)O)O)O)=O	True
G3	C(C(CO)O)(CC(C)O)=O	True
G3	C(CC(C)(C(CO)O)O)=O	True
G3	C(CO)(C(C(C)O)C(C=O)O)=O	False
G3	C(CC(C=O)O)(C(C(C)O)O)=O	False
G3	C(CC(C(CC(CO)=O)O)O)=O	True
G3	C(CC(CO)(CC(C=O)O)O)=O	False
G3	C(CO)(C(CO)CO)=O	False
G3	C(C(CO)O)(C(CO)O)=O	False
G3	C(C(C=CC(C(CO)O)=O)O)=O	False
G3	C(C(C(CO)C(C)(CO)O)=O)=O	False
G3	C(CC(C(CCO)=O)O)(CO)=O	True
G3	C(C(CCO)(CC(CO)=O)O)=O	True
G3	C(C(CCO)(C(C(C)=O)O)O)=O	True
G3	C(C(C(CO)(C)O)O)(CCO)=O	True
G3	C(CO)(C(CO)C(CO)(C)O)=O	False
G3	C(CO)(CC(CO)(CCO)O)=O	True
G3	C(C)(C(C(CO)(CCO)O)O)=O	True
G3	C(C(C(C)O)O)(CCO)=O	True
G3	C(CO)(C(CO)C(C)O)=O	True
G3	C(CC(CO)(CCO)O)=O	True
G3	C(C(C(C=O)O)O)(CC(C)O)=O	True
G3	C(CC(C(C(C(C)=O)O)O)O)=O	True
G3	C(CC(C)(C(C(C=O)O)O)O)=O	True
G3	C(CO)(CC(CO)(C)O)=O	True
G3	C(C)(C(C(CO)(C)O)O)=O	True
G3	C(C(CC(CC(CO)=O)O)O)=O	True
G3	C(C(CC(C(C(C)=O)O)O)O)=O	True
G3	C(C(C(CO)(C)O)C(C=O)O)=O	False
G3	C(CC(CO)(C(CO)O)O)=O	True
G3	C(C(C(C)O)O)(C(CO)O)=O	True
G3	C(C(C(CO)(CO)O)O)=O	True
G3	C(CO)(C(C(CO)O)O)=O	True
G3	C(C(C(C(CO)O)O)O)=O	False
G3	C(CC(CO)(C(C=O)O)O)=O	True
G3	C(C(C(CO)=O)C(CO)O)=O	True
G3	C(C(C(C)(C(C=O)O)O)O)=O	False
G3	C(C(C(C)(C(CO)O)O)O)=O	True
G3	C(C(CCO)(C(C=O)O)O)=O	True
G3	C(C(C(CO)C(CO)O)=O)=O	True
G3	C(C(C(CO)(CCO)O)O)=O	True
G3	C(CO)(C(CO)C(CO)O)=O	True
G3	C(C(C(C(C=O)O)O)O)=O	False
G3	C(C(C(CO)(C)O)O)=O	True
G3	C(CO)(CC(CO)O)=O	True
G3	C(C)(C(C(CO)O)O)=O	True
G3	C(C(C(CO)O)C(C=O)O)=O	True
G3	C(C(CCO)O)(O)=O	True
G3	C(CC(C(O)=O)O)(CCO)=O	True
G3	C(C(CCC(CO)=O)O)(O)=O	True
G3	C(C(CC(C(C)=O)O)O)(O)=O	True
G3	C(CC(CC(C(O)=O)O)O)=O	True
G3	C(C(CCO)(CC=O)O)(O)=O	True
G3	C(C(C)(CC(C=O)O)O)(O)=O	True
G3	C(C(C=CC(CO)O)O)(O)=O	True
G3	C(C(CC(CO)=O)O)(O)=O	False
G3	C(C(C(C(C)=O)O)O)(O)=O	True
G3	C(C(C(C=O)O)O)(O)=O	False
G3	C(C)(C(CO)(C(C=O)O)O)=O	False
G3	C1(C(C(C(CO)C1O)O)O)=O	False
G3	C(C(C(CO)O)=O)(CCO)=O	True
G3	C(C(CO)=O)(C(CCO)O)=O	False
G3	C(C(C(C(CCO)O)O)=O)=O	False
G3	C(C(CO)O)(C(C(C)=O)O)=O	True
G3	C(C(C)O)(C(C(CO)=O)O)=O	True
G3	C(C(C(C(C(C)O)O)=O)O)=O	False
G3	C(C(CC(C(CO)O)O)O)=O	True
G3	C(C(CCO)O)(C(CO)O)=O	True
G3	C(CO)(C(CC(CO)O)O)=O	True
G3	C(C(C(CO)O)O)(C(C)O)=O	True
G3	C(CO)(C(C(CCO)O)O)=O	True
G3	C1(C(C(CO)O)OCC1O)=O	False
G3	C1(C(CC(C(CO)O)O1)O)=O	True
G3	C1(C(C(CO)OCC1O)O)=O	False
G3	C1(C(CC(C(CO)O1)O)O)=O	True
G3	C1(C(CO)OC(CC1O)O)=O	True
G3	C1(C(O)OC(CO)CC1O)=O	False
G3	C1(C(C(COCC1O)O)O)=O	False
G3	C1(C(CC(C(CO1)O)O)O)=O	True
G3	C1(C(CC(O)OCC1O)O)=O	True
G3	C1(C(O)OCC(CC1O)O)=O	False
G3	C1(COC(C(CC1O)O)O)=O	True
G3	C1(C(CCOC(C1O)O)O)=O	False
G3	C(CO)(C1(CC(CO1)O)O)=O	False
G3	C(CO)(C1C(CC(O1)O)O)=O	False
G3	C(C1C(C(C(C1O)O)O)O)O	True
G3	C(C(CO)O)O	False
G3	C(C(C(CC(CO)O)O)O)=O	True
G3	C(C(C(C(CCO)O)O)O)O	True
G3	C(C1(C(C(CC1O)O)O)O)O	True
G3	C(CC1C(C(C(O)O1)O)O)O	True
G3	C(C(CO)O)=CC(CO)=O	True
G3	C(CO)=CC(C(CO)O)=O	True
G3	C=CC(C(C(CO)O)O)=O	True
G3	C(C(C(CO)O)O)=CC=O	True
G3	C(C(C(C=CCO)O)O)=O	True
G3	C(C1(CC(C(CO)O1)O)O)O	False
G3	C1C(C(C(CCO)(O)O1)O)O	True
G3	C1C(CC(C(CO)O)(O)O1)O	False
G3	CC1(C(C(C(CO)O1)O)O)O	True
G3	C(C(C1C(CC(O)O1)O)O)O	False
G3	C1C(C(CC(CO)(O)O1)O)O	False
G3	C(C1C(C(CC(O)O1)O)O)O	False
G3	C(C(CO)O)(O)=O	False
G3	C(C(CO)O)=CC(C(O)=O)=O	True
G3	C(C(C(C=CCO)=O)O)(O)=O	True
G3	C(C=CC(C(CO)O)=O)(O)=O	True
G3	C(C(C(C(C=C)=O)O)O)(O)=O	True
G3	C(C(C=CC(CO)=O)O)(O)=O	True
G3	C(C(C(C=CC=O)O)O)(O)=O	True
G3	C(C(C(C=CC(O)=O)O)O)=O	True
G3	C1(C(CC(C1(CO)O)O)O)=O	True
G3	C1C(C(C(C=1)=O)(CO)O)O	True
G3	C(C1(C(C=CC1O)O)O)=O	True
G3	C(C(CO)(C(C(C)=O)O)O)=O	False
G3	C(C(CO)(C(C=O)(C)O)O)=O	False
G3	C(C(CO)(C(C=O)O)O)=O	False
G3	C(C(CO)(CO)O)=O	False
G3	C(C(CO)(C(CO)(C)O)O)=O	False
G3	C(C(CO)(C(C)O)O)=O	False
G3	C(C)(C(CO)(C(C(C)=O)O)O)=O	True
G3	C(C(C)(C(C(C)=O)(CO)O)O)=O	True
G3	C(C(C(C)=O)(C(CO)(C)O)O)=O	False
G3	C(C)(C(CO)(CO)O)=O	False
G3	C(C)(C(CO)(C(CO)(C)O)O)=O	True
G3	C(C)(C(CO)(C(C)O)O)=O	True
G3	C(CO)(C(CO)(CO)O)=O	False
G3	C(C(C(C=CCO)=O)(CO)O)=O	False
G3	C(C=CC(C(CO)(CO)O)=O)=O	False
G3	C(C(CO)(C(C(C=C)=O)O)O)=O	False
G3	C(C(C(C(C=C)=O)(CO)O)O)=O	False
G3	C(C(CO)(C(C=CC=O)O)O)=O	False
G3	C(C(C(C)O)(C(C(C)=O)O)O)=O	True
G3	C(C)(C(C(C)O)(C(C=O)O)O)=O	True
G3	C(C(C=O)(C(CO)(C)O)O)=O	False
G3	C(C(C(C)O)(C(C=O)O)O)=O	False
G3	C(CO)(C(CO)(C(C)O)O)=O	True
G3	C(C(CO)(C(CO)O)O)=O	False
G3	C(C(C(C)=O)(C(CO)O)O)=O	True
G3	C(C)(C(CO)(C(CO)O)O)=O	True
G3	C(C(C=O)(C(CO)O)O)=O	False
G3	C(C(C(CO)O)(C(C)O)O)=O	True
G3	C(C1(C(C(C(C1)O)O)O)O)=O	True
G3	C1(C(C(C(C1(C)O)O)O)O)=O	True
G3	C(C(C)(C(C(O)=O)O)O)=O	False
G3	C(C(CO)(CC(CO)=O)O)=O	False
G3	C(C(C(C)O)(CC(CO)=O)O)=O	False
G3	C(C(C=CC(CO)=O)(CO)O)=O	False
G3	C(C(C(CO)(C)O)(CC=O)O)=O	True
G3	C(C(C(CO)(C)O)O)(O)=O	False
G3	C(C(C(C)O)O)(O)=O	False
