Generation	NetworkSmiles	PathwayFound?
3	C(C(CO)O)(N)=O	False
3	C(C(CO)N)(N)=O	False
3	C(C(CN)O)(N)=O	False
3	C(C(CCO)O)(N)=O	False
3	C(CC(CO)O)(N)=O	False
3	C(C(CN)N)(N)=O	False
3	C(C(CCO)NCC(N)=O)(N)=O	False
3	C(CC(CO)NCC(N)=O)(N)=O	False
3	C(C(CCO)N)(N)=O	False
3	C(CC(CO)N)(N)=O	False
3	C(C(CC(C(N)=O)O)N)(N)=O	False
3	C(CC(C(C(N)=O)O)N)(N)=O	False
3	C(CC(CO)C(C(N)=O)O)(N)=O	False
3	C(CC(CO)C(C(N)=O)N)(N)=O	False
3	C(CC(CO)CO)(N)=O	False
3	C(C(C=CC(O)=O)O)(N)=O	False
3	C(C(C=CC(O)=O)N)(N)=O	False
3	C(C(C=CC(N)=O)O)=CC(O)=O	False
