Generation	INCHIKEY	NetworkSmiles	AnalogueSmiles
1	YTBSYETUWUMLBZ	C(C(C(CO)O)O)=O	{'C(=O)[C@@H]([C@@H](CO)O)O[H]', 'C(=O)[C@@H]([C@H](CO[H])O)O', 'C(=O)[C@@H]([C@@H](CO)O[H])O', 'C(=O)[C@@H]([C@H](CO)O)O[H]', 'C(=O)[C@H]([C@H](CO[H])O)O', 'C(=O)[C@H]([C@@H](CO[H])O)O', 'C(=O)[C@@H]([C@@H](CO[H])O)O', 'C(=O)[C@H]([C@H](CO)O[H])O', 'C(=O)[C@H]([C@@H](CO)O)O[H]', 'C(=O)[C@H]([C@@H](CO)O[H])O', 'C(=O)[C@@H]([C@H](CO)O[H])O', 'C(=O)[C@H]([C@H](CO)O)O[H]'}
1	ZGCHLOWZNKRZSN	C(C(CC(C(CO)O)O)=O)=O	{'C(=O)C(=O)C[C@H]([C@@H](CO)O[H])O', 'C(=O)C(=O)C[C@@H]([C@H](CO[H])O)O', 'C(=O)C(=O)C[C@@H]([C@@H](CO)O)O[H]', 'C(=O)C(=O)C[C@@H]([C@@H](CO)O[H])O', 'C(=O)C(=O)C[C@@H]([C@@H](CO[H])O)O', 'C(=O)C(=O)C[C@@H]([C@H](CO)O[H])O', 'C(=O)C(=O)C[C@H]([C@H](CO[H])O)O', 'C(=O)C(=O)C[C@@H]([C@H](CO)O)O[H]', 'C(=O)C(=O)C[C@H]([C@@H](CO[H])O)O', 'C(=O)C(=O)C[C@H]([C@H](CO)O)O[H]', 'C(=O)C(=O)C[C@H]([C@H](CO)O[H])O', 'C(=O)C(=O)C[C@H]([C@@H](CO)O)O[H]'}
1	RXVDSZVTHMJWNV	C(CC(C(C(CO)O)O)=O)=O	{'C(=O)CC(=O)[C@@H]([C@@H](CO[H])O)O', 'C(=O)CC(=O)[C@H]([C@H](CO)O[H])O', 'C(=O)CC(=O)[C@@H]([C@@H](CO)O[H])O', 'C(=O)CC(=O)[C@@H]([C@@H](CO)O)O[H]', 'C(=O)CC(=O)[C@@H]([C@H](CO)O[H])O', 'C(=O)CC(=O)[C@H]([C@H](CO)O)O[H]', 'C(=O)CC(=O)[C@H]([C@H](CO[H])O)O', 'C(=O)CC(=O)[C@H]([C@@H](CO)O)O[H]', 'C(=O)CC(=O)[C@H]([C@@H](CO)O[H])O', 'C(=O)CC(=O)[C@@H]([C@H](CO)O)O[H]', 'C(=O)CC(=O)[C@H]([C@@H](CO[H])O)O', 'C(=O)CC(=O)[C@@H]([C@H](CO[H])O)O'}
1	QBHBJCPWTMMDIG	C(C(C(CC(CO)O)=O)O)=O	{'C(=O)[C@H](C(=O)C[C@@H](CO)O[H])O', 'C(=O)[C@H](C(=O)C[C@H](CO[H])O)O', 'C(=O)[C@H](C(=O)C[C@H](CO)O)O[H]', 'C(=O)[C@H](C(=O)C[C@H](CO)O[H])O', 'C(=O)[C@@H](C(=O)C[C@@H](CO[H])O)O', 'C(=O)[C@H](C(=O)C[C@@H](CO)O)O[H]', 'C(=O)[C@@H](C(=O)C[C@@H](CO)O[H])O', 'C(=O)[C@@H](C(=O)C[C@H](CO)O[H])O', 'C(=O)[C@@H](C(=O)C[C@H](CO[H])O)O', 'C(=O)[C@@H](C(=O)C[C@H](CO)O)O[H]', 'C(=O)[C@H](C(=O)C[C@@H](CO[H])O)O', 'C(=O)[C@@H](C(=O)C[C@@H](CO)O)O[H]'}
1	LVYQXQPAYHNLQF	C(CC(C=O)O)(C(CO)O)=O	{'C(=O)[C@H](CC(=O)[C@H](CO[H])O)O', 'C(=O)[C@@H](CC(=O)[C@H](CO[H])O)O', 'C(=O)[C@@H](CC(=O)[C@H](CO)O)O[H]', 'C(=O)[C@H](CC(=O)[C@@H](CO)O[H])O', 'C(=O)[C@H](CC(=O)[C@H](CO)O)O[H]', 'C(=O)[C@H](CC(=O)[C@@H](CO)O)O[H]', 'C(=O)[C@H](CC(=O)[C@H](CO)O[H])O', 'C(=O)[C@@H](CC(=O)[C@@H](CO)O)O[H]', 'C(=O)[C@@H](CC(=O)[C@@H](CO[H])O)O', 'C(=O)[C@@H](CC(=O)[C@H](CO)O[H])O', 'C(=O)[C@H](CC(=O)[C@@H](CO[H])O)O', 'C(=O)[C@@H](CC(=O)[C@@H](CO)O[H])O'}
1	KTQQRSZBGCOSES	C(C(C(C=O)O)O)(CCO)=O	{'C(=O)[C@H]([C@@H](C(=O)CCO)O)O[H]', 'C(=O)[C@@H]([C@@H](C(=O)CCO)O[H])O', 'C(=O)[C@H]([C@H](C(=O)CCO)O)O[H]', 'C(=O)[C@H]([C@@H](C(=O)CCO)O[H])O', 'C(=O)[C@@H]([C@@H](C(=O)CCO)O)O[H]', 'C(=O)[C@H]([C@H](C(=O)CCO[H])O)O', 'C(=O)[C@H]([C@H](C(=O)CCO)O[H])O', 'C(=O)[C@@H]([C@@H](C(=O)CCO[H])O)O', 'C(=O)[C@@H]([C@H](C(=O)CCO)O)O[H]', 'C(=O)[C@H]([C@@H](C(=O)CCO[H])O)O', 'C(=O)[C@@H]([C@H](C(=O)CCO[H])O)O', 'C(=O)[C@@H]([C@H](C(=O)CCO)O[H])O'}
1	ZNSXGNZNZVWMBM	C(C(C(CC(CO)=O)O)O)=O	{'C(=O)[C@@H]([C@H](CC(=O)CO)O[H])O', 'C(=O)[C@H]([C@@H](CC(=O)CO[H])O)O', 'C(=O)[C@@H]([C@@H](CC(=O)CO)O[H])O', 'C(=O)[C@@H]([C@@H](CC(=O)CO[H])O)O', 'C(=O)[C@@H]([C@H](CC(=O)CO[H])O)O', 'C(=O)[C@H]([C@H](CC(=O)CO)O[H])O', 'C(=O)[C@H]([C@@H](CC(=O)CO)O[H])O', 'C(=O)[C@H]([C@H](CC(=O)CO[H])O)O', 'C(=O)[C@@H]([C@H](CC(=O)CO)O)O[H]', 'C(=O)[C@H]([C@@H](CC(=O)CO)O)O[H]', 'C(=O)[C@H]([C@H](CC(=O)CO)O)O[H]', 'C(=O)[C@@H]([C@@H](CC(=O)CO)O)O[H]'}
1	MKKWPESNDMZCAX	C(C(C(C(C(C)=O)O)O)O)=O	{'C(=O)[C@@H]([C@@H]([C@H](C(=O)C)O)O)O[H]', 'C(=O)[C@H]([C@@H]([C@@H](C(=O)C)O[H])O)O', 'C(=O)[C@@H]([C@@H]([C@@H](C(=O)C)O)O[H])O', 'C(=O)[C@@H]([C@@H]([C@@H](C(=O)C)O[H])O)O', 'C(=O)[C@H]([C@H]([C@H](C(=O)C)O[H])O)O', 'C(=O)[C@H]([C@@H]([C@H](C(=O)C)O)O[H])O', 'C(=O)[C@@H]([C@H]([C@H](C(=O)C)O)O[H])O', 'C(=O)[C@@H]([C@@H]([C@H](C(=O)C)O)O[H])O', 'C(=O)[C@H]([C@@H]([C@@H](C(=O)C)O)O)O[H]', 'C(=O)[C@H]([C@H]([C@@H](C(=O)C)O)O[H])O', 'C(=O)[C@@H]([C@H]([C@@H](C(=O)C)O)O)O[H]', 'C(=O)[C@H]([C@H]([C@H](C(=O)C)O)O)O[H]', 'C(=O)[C@@H]([C@H]([C@@H](C(=O)C)O[H])O)O', 'C(=O)[C@H]([C@@H]([C@H](C(=O)C)O)O)O[H]', 'C(=O)[C@@H]([C@H]([C@H](C(=O)C)O[H])O)O', 'C(=O)[C@H]([C@H]([C@@H](C(=O)C)O[H])O)O', 'C(=O)[C@H]([C@@H]([C@H](C(=O)C)O[H])O)O', 'C(=O)[C@@H]([C@@H]([C@H](C(=O)C)O[H])O)O', 'C(=O)[C@@H]([C@H]([C@@H](C(=O)C)O)O[H])O', 'C(=O)[C@H]([C@@H]([C@@H](C(=O)C)O)O[H])O', 'C(=O)[C@@H]([C@H]([C@H](C(=O)C)O)O)O[H]', 'C(=O)[C@H]([C@H]([C@H](C(=O)C)O)O[H])O', 'C(=O)[C@H]([C@H]([C@@H](C(=O)C)O)O)O[H]', 'C(=O)[C@@H]([C@@H]([C@@H](C(=O)C)O)O)O[H]'}
1	DRFVLWXFACEMHK	C(CC(C(C(C=O)O)O)O)=O	{'C(=O)C[C@@H]([C@@H]([C@H](C=O)O)O[H])O', 'C(=O)C[C@@H]([C@H]([C@H](C=O)O[H])O)O', 'C(=O)C[C@H]([C@@H]([C@@H](C=O)O)O)O[H]', 'C(=O)C[C@@H]([C@H]([C@@H](C=O)O)O[H])O', 'C(=O)C[C@@H]([C@@H]([C@@H](C=O)O[H])O)O', 'C(=O)C[C@H]([C@@H]([C@H](C=O)O[H])O)O', 'C(=O)C[C@H]([C@H]([C@H](C=O)O)O)O[H]', 'C(=O)C[C@@H]([C@@H]([C@H](C=O)O[H])O)O', 'C(=O)C[C@H]([C@@H]([C@H](C=O)O)O)O[H]', 'C(=O)C[C@@H]([C@@H]([C@@H](C=O)O)O)O[H]', 'C(=O)C[C@@H]([C@H]([C@H](C=O)O)O)O[H]', 'C(=O)C[C@H]([C@@H]([C@@H](C=O)O[H])O)O', 'C(=O)C[C@@H]([C@H]([C@@H](C=O)O[H])O)O', 'C(=O)C[C@H]([C@H]([C@@H](C=O)O[H])O)O', 'C(=O)C[C@@H]([C@H]([C@@H](C=O)O)O)O[H]', 'C(=O)C[C@H]([C@@H]([C@H](C=O)O)O[H])O', 'C(=O)C[C@H]([C@H]([C@H](C=O)O[H])O)O', 'C(=O)C[C@H]([C@@H]([C@@H](C=O)O)O[H])O', 'C(=O)C[C@@H]([C@H]([C@H](C=O)O)O[H])O', 'C(=O)C[C@@H]([C@@H]([C@@H](C=O)O)O[H])O', 'C(=O)C[C@H]([C@H]([C@@H](C=O)O)O)O[H]', 'C(=O)C[C@H]([C@H]([C@@H](C=O)O)O[H])O', 'C(=O)C[C@H]([C@H]([C@H](C=O)O)O[H])O', 'C(=O)C[C@@H]([C@@H]([C@H](C=O)O)O)O[H]'}
1	SDOFMBGMRVAJNF	C(C(C(C(C(CN)O)O)O)O)O	{'C([C@H]([C@@H]([C@@H]([C@H](CO)O[H])O)O)O)N', 'C([C@@H]([C@H]([C@H]([C@H](CO)O)O)O[H])O)N', 'C([C@H]([C@H]([C@@H]([C@@H](CO)O[H])O)O)O)N', 'C([C@@H]([C@@H]([C@H]([C@@H](CO)O)O[H])O)O)N', 'C([C@H]([C@@H]([C@@H]([C@H](CO)O)O[H])O)O)N', 'C([C@@H]([C@@H]([C@@H]([C@@H](CO)O[H])O)O)O)N', 'C([C@@H]([C@@H]([C@H]([C@@H](CO)O[H])O)O)O)N', 'C([C@@H]([C@@H]([C@@H]([C@@H](CN)O)O)O)O)O[H]', 'C([C@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O[H])N', 'C([C@H]([C@@H]([C@@H]([C@@H](CO)O)O)O[H])O)N', 'C([C@H]([C@H]([C@@H]([C@@H](CN)O)O)O)O)O[H]', 'C([C@@H]([C@@H]([C@H]([C@@H](CO)O)O)O[H])O)N', 'C([C@H]([C@H]([C@H]([C@@H](CO)O)O)O)O[H])N', 'C([C@H]([C@H]([C@H]([C@@H](CO)O[H])O)O)O)N', 'C([C@@H]([C@@H]([C@H]([C@H](CO)O[H])O)O)O)N', 'C([C@@H]([C@@H]([C@H]([C@@H](CO)O)O)O)O[H])N', 'C([C@H]([C@H]([C@@H]([C@H](CO)O)O[H])O)O)N', 'C([C@@H]([C@@H]([C@@H]([C@H](CN)O)O)O)O)O[H]', 'C([C@@H]([C@H]([C@H]([C@@H](CN)O)O)O)O)O[H]', 'C([C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O[H])N', 'C([C@H]([C@@H]([C@@H]([C@H](CO)O)O)O[H])O)N', 'C([C@H]([C@H]([C@H]([C@@H](CO)O)O)O[H])O)N', 'C([C@H]([C@H]([C@H]([C@H](CO)O)O[H])O)O)N', 'C([C@H]([C@H]([C@H]([C@H](CN)O)O)O)O)O[H]', 'C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O[H])N', 'C([C@@H]([C@H]([C@H]([C@@H](CO)O)O)O[H])O)N', 'C([C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O[H])N', 'C([C@@H]([C@@H]([C@@H]([C@H](CO)O)O[H])O)O)N', 'C([C@H]([C@H]([C@H]([C@@H](CO)O)O[H])O)O)N', 'C([C@@H]([C@@H]([C@H]([C@H](CO)O)O[H])O)O)N', 'C([C@H]([C@H]([C@H]([C@H](CO)O[H])O)O)O)N', 'C([C@H]([C@H]([C@H]([C@H](CO)O)O)O)O[H])N', 'C([C@H]([C@@H]([C@@H]([C@H](CN)O)O)O)O)O[H]', 'C([C@H]([C@@H]([C@H]([C@H](CO)O)O)O[H])O)N', 'C([C@@H]([C@H]([C@H]([C@H](CO)O)O[H])O)O)N', 'C([C@@H]([C@H]([C@@H]([C@@H](CN)O)O)O)O)O[H]', 'C([C@H]([C@@H]([C@H]([C@@H](CO)O)O[H])O)O)N', 'C([C@@H]([C@@H]([C@H]([C@H](CO)O)O)O)O[H])N', 'C([C@@H]([C@@H]([C@@H]([C@H](CO)O[H])O)O)O)N', 'C([C@H]([C@@H]([C@@H]([C@@H](CN)O)O)O)O)O[H]', 'C([C@@H]([C@H]([C@@H]([C@H](CO)O)O)O[H])O)N', 'C([C@H]([C@@H]([C@H]([C@H](CO)O)O)O)O[H])N', 'C([C@@H]([C@@H]([C@H]([C@H](CO)O)O)O[H])O)N', 'C([C@H]([C@@H]([C@H]([C@@H](CN)O)O)O)O)O[H]', 'C([C@H]([C@@H]([C@H]([C@H](CO)O[H])O)O)O)N', 'C([C@@H]([C@H]([C@H]([C@@H](CO)O[H])O)O)O)N', 'C([C@@H]([C@H]([C@H]([C@H](CO)O)O)O)O[H])N', 'C([C@@H]([C@@H]([C@H]([C@@H](CN)O)O)O)O)O[H]', 'C([C@H]([C@H]([C@@H]([C@H](CN)O)O)O)O)O[H]', 'C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O[H])N', 'C([C@H]([C@@H]([C@@H]([C@@H](CO)O[H])O)O)O)N', 'C([C@H]([C@H]([C@H]([C@H](CO)O)O)O[H])O)N', 'C([C@@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O[H])N', 'C([C@@H]([C@H]([C@@H]([C@H](CO)O)O)O)O[H])N', 'C([C@@H]([C@H]([C@@H]([C@@H](CO)O[H])O)O)O)N', 'C([C@@H]([C@H]([C@@H]([C@H](CO)O)O[H])O)O)N', 'C([C@H]([C@@H]([C@H]([C@H](CO)O)O[H])O)O)N', 'C([C@@H]([C@@H]([C@@H]([C@@H](CO)O)O[H])O)O)N', 'C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O[H])O)N', 'C([C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O[H])O)N', 'C([C@H]([C@@H]([C@@H]([C@@H](CO)O)O[H])O)O)N', 'C([C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O[H])N', 'C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O[H])N', 'C([C@H]([C@@H]([C@H]([C@H](CN)O)O)O)O)O[H]', 'C([C@@H]([C@@H]([C@H]([C@H](CN)O)O)O)O)O[H]', 'C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O[H])O)N', 'C([C@@H]([C@H]([C@@H]([C@H](CO)O[H])O)O)O)N', 'C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O[H])O)N', 'C([C@H]([C@H]([C@@H]([C@H](CO)O[H])O)O)O)N', 'C([C@H]([C@@H]([C@H]([C@@H](CO)O[H])O)O)O)N', 'C([C@@H]([C@H]([C@H]([C@H](CN)O)O)O)O)O[H]', 'C([C@H]([C@@H]([C@H]([C@@H](CO)O)O)O[H])O)N', 'C([C@H]([C@H]([C@@H]([C@@H](CO)O)O[H])O)O)N', 'C([C@H]([C@@H]([C@H]([C@@H](CO)O)O)O)O[H])N', 'C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O[H])O)O)N', 'C([C@H]([C@H]([C@H]([C@@H](CN)O)O)O)O)O[H]', 'C([C@@H]([C@H]([C@H]([C@@H](CO)O)O[H])O)O)N', 'C([C@@H]([C@@H]([C@@H]([C@H](CO)O)O)O[H])O)N', 'C([C@@H]([C@H]([C@H]([C@H](CO)O[H])O)O)O)N', 'C([C@@H]([C@H]([C@@H]([C@H](CN)O)O)O)O)O[H]'}
