Generation	NetworkSmiles	PathwayFound?
G1	C(C(CO)O)(O)=O	False
G2	C(C(CO)(C(C)O)O)(O)=O	False
G3	C(C(C(CC(O)=O)O)C(C)O)=O	False
G3	C(C(C=O)C(CC(C)O)O)(O)=O	False
G3	C(C(C(C)O)C(C(CO)=O)O)=O	False
G3	C(C(C(C)O)C(C=O)(CO)O)=O	False
G3	C(C(C(C(CC(C)O)O)O)=O)=O	False
G3	C(C(C(CO)C(C)O)=O)(O)=O	False
G3	C(C(CO)C(C(O)=O)(C)O)=O	False
G3	C(C(CC(C)O)(CC=O)O)(O)=O	True
G3	C(C(C(C(C)O)C(C)O)=O)(O)=O	True
G3	C(C(C)(CC(CC=O)O)O)(O)=O	True
G3	C(C(C(C)O)C(C(O)=O)(C)O)=O	True
G3	C(C(CC(CC(C)O)O)=O)(O)=O	True
G3	C(C(C)(CCO)O)(O)=O	False
G3	C(C(C)(CC(O)=O)O)(O)=O	False
G3	C(C(CO)(CO)O)(O)=O	False
G3	C(C(C(CC(C)O)O)O)(O)=O	False
G3	C(C(C(C)O)O)(O)=O	False
G3	C(C(C=C)(CO)O)(O)=O	False
G3	CC(C(CO)O)O	False
G3	C(C(C(C(C)O)O)O)(O)=O	False
G3	C(C(C)(C(CO)O)O)(O)=O	False
