4_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['C(CO)=O', 'C(C(C(CO)O)O)=O']	Retro Aldol
4_1	['C(C(C(C(C(CO)O)O)O)O)=O']	['C(CO)=O', 'C(C(C(CO)O)O)=O']	Knoevenagel H (inv)
6_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['C(CO)(C(C(C(CO)O)O)O)=O']	Keto-enol migration twice
9_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'C(C(C(C(C(CO)O)O)O)O)=O', 'O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O', 'C(C(C(C(C(CO)O)O)O)O)O']	Cannizarro 2, glucose (oxidation)
9_1	['C(C(C(C(C(CO)O)O)O)O)=O', 'C(C(C(C(C(CO)O)O)O)O)=O', 'O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O', 'C(C(C(C(C(CO)O)O)O)O)O']	Cannizarro 2, glucose (reduction)
11_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['O', 'C(C(CC(C(CO)O)O)=O)=O']	Elimination + enol to keto
13_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['O', 'C(CC(C(C(CO)O)O)=O)=O']	Elimination + enol to keto
15_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['O', 'C(C(C(CC(CO)O)=O)O)=O']	Elimination + enol to keto
17_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['O', 'C(CC(C=O)O)(C(CO)O)=O']	Elimination + enol to keto
19_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['O', 'C(C(C(C=O)O)O)(CCO)=O']	Elimination + enol to keto
21_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['O', 'C(C(C(CC(CO)=O)O)O)=O']	Elimination + enol to keto
23_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['O', 'C(C(C(C(C(C)=O)O)O)O)=O']	Elimination + enol to keto
25_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['O', 'C(CC(C(C(C=O)O)O)O)=O']	Elimination + enol to keto
27_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['C(C(C1C(C(C(O)O1)O)O)O)O']	Hemiacetal Formation for 5 membered rings
29_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['C(C1C(C(C(C(O)O1)O)O)O)O']	Hemiacetal Formation for 6 membered rings
31_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['C1C(C(C(C(C(O)O1)O)O)O)O']	Hemiacetal Formation for 7 membered rings
33_0	['C(C(C(C=O)O)O)(CCO)=O']	['C1(C(C(C(C1CO)O)O)O)=O']	Aldol Condensation
33_1	['C(C(C(C=O)O)O)(CCO)=O']	['C1(C(C(C(C1CO)O)O)O)=O']	Knoevenagel C
35_0	['C(C(C(CC(CO)=O)O)O)=O']	['C1(C(C(C(C(C1)O)O)O)O)=O']	Aldol Condensation
35_1	['C(C(C(CC(CO)=O)O)O)=O']	['C1(C(C(C(C(C1)O)O)O)O)=O']	Knoevenagel H
36_0	['C(C(C(C(C(C)=O)O)O)O)=O']	['C1(C(C(C(C(C1)O)O)O)O)=O']	Aldol Condensation
38_0	['C(CC(C(C(C=O)O)O)O)=O']	['C(C1C(C(C(C1O)O)O)O)=O']	Aldol Condensation
38_1	['C(CC(C(C(C=O)O)O)O)=O']	['C(C1C(C(C(C1O)O)O)O)=O']	Knoevenagel C
39_0	['C(CO)=O', 'C(CO)=O']	['C(C(C(CO)O)O)=O']	Aldol Condensation
39_1	['C(CO)=O', 'C(CO)=O']	['C(C(C(CO)O)O)=O']	Knoevenagel H
40_0	['C(CO)=O', 'C(C(C(CO)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)=O']	Aldol Condensation
40_1	['C(CO)=O', 'C(C(C(CO)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)=O']	Knoevenagel H
42_0	['O', 'C(C(CC(C(CO)O)O)=O)=O']	['C(C(CC(C(CO)O)O)O)(O)=O']	Benzilic Acid Rearrangement
42_1	['O', 'C(C(CC(C(CO)O)O)=O)=O']	['C(C(CC(C(CO)O)O)O)(O)=O']	Cannizarro 1
44_0	['C(C(C(C(C(CO)O)O)O)O)(O)=O']	['O', 'C(C(C(C(C(CO)O)O)O)=O)=O']	Benzilic Acid Rearrangement (inverse)
45_0	['C(C(C(CO)O)O)=O']	['C(CO)=O', 'C(CO)=O']	Retro Aldol
45_1	['C(C(C(CO)O)O)=O']	['C(CO)=O', 'C(CO)=O']	Knoevenagel H (inv)
48_0	['C(CO)(C(C(C(CO)O)O)O)=O']	['C(CO)(CO)=O', 'C(C(CO)O)=O']	Retro Aldol
48_1	['C(CO)(C(C(C(CO)O)O)O)=O']	['C(CO)(CO)=O', 'C(C(CO)O)=O']	Knoevenagel H (inv)
50_0	['C(C(CC(C(CO)O)O)=O)=O']	['C(C(CO)O)=O', 'C(C(C)=O)=O']	Retro Aldol
52_0	['C(CC(C(C(CO)O)O)=O)=O']	['C(CO)=O', 'C(CC(CO)=O)=O']	Retro Aldol
52_1	['C(CC(C(C(CO)O)O)=O)=O']	['C(CO)=O', 'C(CC(CO)=O)=O']	Knoevenagel H (inv)
54_0	['C(C(C(CC(CO)O)=O)O)=O']	['C(CO)=O', 'C(C(C(C)=O)O)=O']	Retro Aldol
57_0	['C(CC(C=O)O)(C(CO)O)=O']	['C(C=O)=O', 'C(C)(C(CO)O)=O']	Retro Aldol
60_0	['C(CC(C=O)O)(C(CO)O)=O']	['C(C(CC(CO)=O)O)=O', 'C=O']	Retro Aldol
60_1	['C(CC(C=O)O)(C(CO)O)=O']	['C(C(CC(CO)=O)O)=O', 'C=O']	Knoevenagel H (inv)
62_0	['C(C(C(C=O)O)O)(CCO)=O']	['C(CO)=O', 'C(C(CCO)=O)=O']	Retro Aldol
62_1	['C(C(C(C=O)O)O)(CCO)=O']	['C(CO)=O', 'C(C(CCO)=O)=O']	Knoevenagel H (inv)
64_0	['C(C(C(C=O)O)O)(CCO)=O']	['C(C=O)=O', 'C(CO)(CCO)=O']	Retro Aldol
64_1	['C(C(C(C=O)O)O)(CCO)=O']	['C(C=O)=O', 'C(CO)(CCO)=O']	Knoevenagel H (inv)
66_0	['C(C(C(C=O)O)O)(CCO)=O']	['C=O', 'C(C(C(C(C)=O)O)O)=O']	Retro Aldol
67_0	['C(C(C(CC(CO)=O)O)O)=O']	['C(CO)=O', 'C(CC(CO)=O)=O']	Retro Aldol
67_1	['C(C(C(CC(CO)=O)O)O)=O']	['C(CO)=O', 'C(CC(CO)=O)=O']	Knoevenagel H (inv)
70_0	['C(C(C(CC(CO)=O)O)O)=O']	['C(C(C=O)O)=O', 'C(C)(CO)=O']	Retro Aldol
71_0	['C(C(C(C(C(C)=O)O)O)O)=O']	['C(CO)=O', 'C(C(C(C)=O)O)=O']	Retro Aldol
71_1	['C(C(C(C(C(C)=O)O)O)O)=O']	['C(CO)=O', 'C(C(C(C)=O)O)=O']	Knoevenagel H (inv)
72_0	['C(C(C(C(C(C)=O)O)O)O)=O']	['C(C(C=O)O)=O', 'C(C)(CO)=O']	Retro Aldol
72_1	['C(C(C(C(C(C)=O)O)O)O)=O']	['C(C(C=O)O)=O', 'C(C)(CO)=O']	Knoevenagel H (inv)
74_0	['C(CC(C(C(C=O)O)O)O)=O']	['C(CO)=O', 'C(CC(C=O)O)=O']	Retro Aldol
74_1	['C(CC(C(C(C=O)O)O)O)=O']	['C(CO)=O', 'C(CC(C=O)O)=O']	Knoevenagel H (inv)
