Index	Reagents	Products	Rule	Energy Change
5_0	['C=O', 'C(CO)=O']	['C(C(CO)O)=O']	Aldol Condensation	-32.62
5_1	['C=O', 'C(CO)=O']	['C(C(CO)O)=O']	Knoevenagel H	-32.62
7_0	['C(CO)=O', 'C(CO)=O']	['C(C(C(CO)O)O)=O']	Aldol Condensation	-16.39
7_1	['C(CO)=O', 'C(CO)=O']	['C(C(C(CO)O)O)=O']	Knoevenagel H	-16.39
8_0	['C(CO)=O']	['C(CO)=O']	Keto-enol migration twice	0.0
10_0	['N', 'C(CO)=O']	['O', 'C(CN)=O']	Amadori/Heyns Rearrangement	-21.36
13_0	['C=O', 'C=O', 'O']	['CO', 'C(O)=O']	Cannizarro 2, HCHO (oxidation)	-37.85
13_1	['C=O', 'C=O', 'O']	['CO', 'C(O)=O']	Cannizarro 2, HCHO (reduction)	-37.85
15_0	['C=O', 'C(CO)=O', 'O']	['C(O)=O', 'C(CO)O']	Cannizarro 2, HCHO (oxidation)	-27.97
17_0	['C=O', 'C(CO)=O', 'O']	['CO', 'C(CO)(O)=O']	Cannizarro 2, HCHO (reduction)	-52.92
19_0	['C(C(CO)O)=O', 'C(CN)=O']	['C(C(C(C(CO)O)O)N)=O']	Aldol Condensation	23.95
19_1	['C(C(CO)O)=O', 'C(CN)=O']	['C(C(C(C(CO)O)O)N)=O']	Knoevenagel H	23.95
21_0	['C(C(C(CO)O)O)=O', 'C(CN)=O']	['C(C(C(C(C(CO)O)O)O)N)=O']	Aldol Condensation	23.95
21_1	['C(C(C(CO)O)O)=O', 'C(CN)=O']	['C(C(C(C(C(CO)O)O)O)N)=O']	Knoevenagel H	23.95
23_0	['C(CN)=O', 'C(CN)=O']	['C(C(C(CN)O)N)=O']	Aldol Condensation	23.95
23_1	['C(CN)=O', 'C(CN)=O']	['C(C(C(CN)O)N)=O']	Knoevenagel H	23.95
25_0	['C=O', 'C(CN)=O']	['C(C(CO)N)=O']	Aldol Condensation	-22.87
25_1	['C=O', 'C(CN)=O']	['C(C(CO)N)=O']	Knoevenagel H	-22.87
27_0	['C(CO)=O', 'C(C(CO)O)=O']	['C(C(C(C(CO)O)O)O)=O']	Aldol Condensation	-13.37
27_1	['C(CO)=O', 'C(C(CO)O)=O']	['C(C(C(C(CO)O)O)O)=O']	Knoevenagel H	-13.37
29_0	['C(CO)=O', 'C(C(C(CO)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)=O']	Aldol Condensation	-13.37
29_1	['C(CO)=O', 'C(C(C(CO)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)=O']	Knoevenagel H	-13.37
31_0	['C(CO)=O', 'C(CN)=O']	['C(C(C(CN)O)O)=O']	Aldol Condensation	-13.37
31_1	['C(CO)=O', 'C(CN)=O']	['C(C(C(CN)O)O)=O']	Knoevenagel H	-13.37
33_0	['C(CO)=O', 'C(CN)=O']	['C(C(C(CO)O)N)=O']	Aldol Condensation	-6.64
33_1	['C(CO)=O', 'C(CN)=O']	['C(C(C(CO)O)N)=O']	Knoevenagel H	-6.64
35_0	['C(CO)(O)=O']	['O', 'C(C=O)=O']	Benzilic Acid Rearrangement (inverse)	36.99
36_0	['C(C(CO)O)=O']	['C=O', 'C(CO)=O']	Retro Aldol	32.62
36_1	['C(C(CO)O)=O']	['C=O', 'C(CO)=O']	Knoevenagel H (inv)	32.62
37_0	['C(C(C(CO)O)O)=O']	['C(CO)=O', 'C(CO)=O']	Retro Aldol	16.39
37_1	['C(C(C(CO)O)O)=O']	['C(CO)=O', 'C(CO)=O']	Knoevenagel H (inv)	16.39
39_0	['C(C(CO)O)=O']	['C(CO)(CO)=O']	Keto-enol migration twice	-2.18
41_0	['C(C(C(CO)O)O)=O']	['C(CO)(C(CO)O)=O']	Keto-enol migration twice	-2.0
43_0	['C(C(CO)O)=O', 'C(CN)=O']	['O', 'C(CNCC(CO)=O)=O']	Amadori/Heyns Rearrangement	7.08
45_0	['C(C(C(CO)O)O)=O', 'C(CN)=O']	['O', 'C(CNCC=O)(C(CO)O)=O']	Amadori/Heyns Rearrangement	7.08
