Index	Reagents	Products	Rule	Energy Change
3_0	['C(C(C)=O)(O)=O', 'C(C(C)=O)(O)=O']	['C(C(C)(CC(C(O)=O)=O)O)(O)=O']	Aldol Condensation	-12.87
5_0	['C(C(C)=O)(O)=O', 'O']	['C(C(CO)O)(O)=O']	Hydration of C(=O)C	39.62
8_0	['C(C(C)=O)(O)=O']	['C(C)=O', 'C(=O)=O']	Alpha-Keto Acid Decarboxylation	-58.14
10_0	['C(C)=O', 'C(C)=O']	['C(CC(C)O)=O']	Aldol Condensation	-6.29
12_0	['C(C)=O', 'C(=O)=O']	['C(CC(O)=O)=O']	Aldol Condensation	49.07
14_0	['C(C(C)=O)(O)=O', 'C(C)=O']	['C(C(CC(C)O)=O)(O)=O']	Aldol Condensation	-11.91
16_0	['C(C(C)=O)(O)=O', 'C(C)=O']	['C(C(C)(CC=O)O)(O)=O']	Aldol Condensation	-7.26
18_0	['C(C(C)=O)(O)=O', 'C(=O)=O']	['C(CC(C(O)=O)=O)(O)=O']	Aldol Condensation	60.3
20_0	['C(C(C)(CC(C(O)=O)=O)O)(O)=O']	['O', 'C(C(O)=O)(CC(C(C)=O)=O)=O']	Benzilic Acid Rearrangement (inverse)	2.44
22_0	['C(C(CO)O)(O)=O']	['O', 'C(C(CO)=O)=O']	Benzilic Acid Rearrangement (inverse)	15.27
23_0	['C(C(C)(CC(C(O)=O)=O)O)(O)=O']	['C(C(C)=O)(O)=O', 'C(C(C)=O)(O)=O']	Retro Aldol	12.87
25_0	['C(C(CO)O)(O)=O', 'C(C)=O']	['C(C(CO)(C(C)O)O)(O)=O']	Knoevenagel C	-7.87
25_1	['C(C(CO)O)(O)=O', 'C(C)=O']	['C(C(CO)(C(C)O)O)(O)=O']	Knoevenagel H	-7.87
27_0	['C(C(CO)O)(O)=O', 'C(=O)=O']	['C(C(C(O)=O)(CO)O)(O)=O']	Knoevenagel C	57.17
27_1	['C(C(CO)O)(O)=O', 'C(=O)=O']	['C(C(C(O)=O)(CO)O)(O)=O']	Knoevenagel H	57.17
29_0	['C(C(C)=O)(O)=O', 'C(C(CO)O)(O)=O']	['C(C(CO)(C(C(O)=O)(C)O)O)(O)=O']	Knoevenagel C	-8.84
29_1	['C(C(C)=O)(O)=O', 'C(C(CO)O)(O)=O']	['C(C(CO)(C(C(O)=O)(C)O)O)(O)=O']	Knoevenagel H	-8.84
32_0	['C(C(CO)O)(O)=O']	['C=O', 'C(CO)(O)=O']	Knoevenagel H (inv)	9.87
33_0	['C(C(CO)O)(O)=O']	['O', 'C(CC(O)=O)=O']	Elimination + enol to keto	-48.7
34_0	['C(C(CO)O)(O)=O']	['C(C(C)=O)(O)=O', 'O']	Elimination + enol to keto	-39.62
36_0	['C(C(C)(CC(C(O)=O)=O)O)(O)=O']	['O', 'C(C(C)=CC(C(O)=O)=O)(O)=O']	Elimination2	0.4
38_0	['C(C(C)(CC(C(O)=O)=O)O)(O)=O']	['O', 'C=C(C(O)=O)CC(C(O)=O)=O']	Elimination2	0.4
40_0	['O', 'C(C(C)(CC(C(O)=O)=O)O)(O)=O']	['C(C(C)(C(C(C(O)=O)O)O)O)(O)=O']	Hydration of C(=O)C	41.01
42_0	['O', 'C(C)=O']	['C(CO)O']	Hydration of C(=O)C	43.23
44_0	['C(C(C)(CC(C(O)=O)=O)O)(O)=O']	['C1(C(C)(CC(C(O)=O)(O)O1)O)=O']	Hemiacetal Formation for 5 membered rings	11.74
45_0	['C(C(C)(CC(C(O)=O)=O)O)(O)=O']	['C(=O)=O', 'C(C(C)(CC=O)O)(O)=O']	Alpha-Keto Acid Decarboxylation	-52.53
47_0	['C(C(C)(CC(C(O)=O)=O)O)(O)=O']	['O', 'C(C1(C)CC(C(O1)=O)=O)(O)=O']	Ring Closure 5 membered O, O	-23.62
49_0	['C(C(C)(CC(C(O)=O)=O)O)(O)=O']	['O', 'C1(C(C)(CC(C(O1)=O)=O)O)=O']	Ring Closure 6 membered O, O	-14.03
51_0	['C(C(O)=O)(CC(C(C)=O)=O)=O']	['C(C1(CC(C(C1)=O)=O)O)(O)=O']	Aldol Condensation	-87.69
53_0	['C(CC(C)O)=O', 'C(CC(C)O)=O']	['C(C(C(C)O)C(CC(C)O)O)=O']	Aldol Condensation	-3.62
53_1	['C(CC(C)O)=O', 'C(CC(C)O)=O']	['C(C(C(C)O)C(CC(C)O)O)=O']	Knoevenagel C	-3.62
55_0	['C(CC(C)O)=O', 'C(CC(O)=O)=O']	['C(C(C(CC(O)=O)O)C(C)O)=O']	Aldol Condensation	6.06
55_1	['C(CC(C)O)=O', 'C(CC(O)=O)=O']	['C(C(C(CC(O)=O)O)C(C)O)=O']	Knoevenagel C	6.06
57_0	['C(CC(C)O)=O', 'C(CC(O)=O)=O']	['C(C(C=O)C(CC(C)O)O)(O)=O']	Aldol Condensation	6.06
57_1	['C(CC(C)O)=O', 'C(CC(O)=O)=O']	['C(C(C=O)C(CC(C)O)O)(O)=O']	Knoevenagel C	6.06
59_0	['C(CC(C)O)=O', 'C(C(CO)=O)=O']	['C(C(C(C)O)C(C(CO)=O)O)=O']	Aldol Condensation	-3.62
59_1	['C(CC(C)O)=O', 'C(C(CO)=O)=O']	['C(C(C(C)O)C(C(CO)=O)O)=O']	Knoevenagel C	-3.62
61_0	['C(CC(C)O)=O', 'C(C(CO)=O)=O']	['C(C(C(C)O)C(C=O)(CO)O)=O']	Aldol Condensation	1.02
61_1	['C(CC(C)O)=O', 'C(C(CO)=O)=O']	['C(C(C(C)O)C(C=O)(CO)O)=O']	Knoevenagel C	1.02
63_0	['C(CC(C)O)=O', 'C(C(CO)=O)=O']	['C(C(C(C(CC(C)O)O)O)=O)=O']	Aldol Condensation	-10.35
63_1	['C(CC(C)O)=O', 'C(C(CO)=O)=O']	['C(C(C(C(CC(C)O)O)O)=O)=O']	Knoevenagel H	-10.35
65_0	['C(CC(C)O)=O', 'C=O']	['C(C(CO)C(C)O)=O']	Aldol Condensation	-22.87
65_1	['C(CC(C)O)=O', 'C=O']	['C(C(CO)C(C)O)=O']	Knoevenagel C	-22.87
67_0	['C(CC(O)=O)=O', 'C(CC(O)=O)=O']	['C(C(C=O)C(CC(O)=O)O)(O)=O']	Aldol Condensation	15.75
67_1	['C(CC(O)=O)=O', 'C(CC(O)=O)=O']	['C(C(C=O)C(CC(O)=O)O)(O)=O']	Knoevenagel C	15.75
69_0	['C(CC(O)=O)=O', 'C(C(CO)=O)=O']	['C(C(C=O)C(C(CO)=O)O)(O)=O']	Aldol Condensation	6.06
69_1	['C(CC(O)=O)=O', 'C(C(CO)=O)=O']	['C(C(C=O)C(C(CO)=O)O)(O)=O']	Knoevenagel C	6.06
71_0	['C(CC(O)=O)=O', 'C(C(CO)=O)=O']	['C(C(C=O)C(C=O)(CO)O)(O)=O']	Aldol Condensation	10.71
71_1	['C(CC(O)=O)=O', 'C(C(CO)=O)=O']	['C(C(C=O)C(C=O)(CO)O)(O)=O']	Knoevenagel C	10.71
73_0	['C(CC(O)=O)=O', 'C(C(CO)=O)=O']	['C(CC(C(C(C=O)=O)O)O)(O)=O']	Aldol Condensation	-0.66
73_1	['C(CC(O)=O)=O', 'C(C(CO)=O)=O']	['C(CC(C(C(C=O)=O)O)O)(O)=O']	Knoevenagel H	-0.66
75_0	['C(CC(O)=O)=O', 'C=O']	['C(C(C=O)CO)(O)=O']	Aldol Condensation	-13.19
75_1	['C(CC(O)=O)=O', 'C=O']	['C(C(C=O)CO)(O)=O']	Knoevenagel C	-13.19
77_0	['C(C(CC(C)O)=O)(O)=O', 'C=O']	['C(C(C(CO)C(C)O)=O)(O)=O']	Aldol Condensation	-22.87
77_1	['C(C(CC(C)O)=O)(O)=O', 'C=O']	['C(C(C(CO)C(C)O)=O)(O)=O']	Knoevenagel C	-22.87
79_0	['C(C(C)(CC=O)O)(O)=O', 'C=O']	['C(C(CO)C(C(O)=O)(C)O)=O']	Aldol Condensation	-22.87
79_1	['C(C(C)(CC=O)O)(O)=O', 'C=O']	['C(C(CO)C(C(O)=O)(C)O)=O']	Knoevenagel C	-22.87
81_0	['C(CC(C(O)=O)=O)(O)=O', 'C=O']	['C(C(C(C(O)=O)=O)CO)(O)=O']	Aldol Condensation	-30.03
81_1	['C(CC(C(O)=O)=O)(O)=O', 'C=O']	['C(C(C(C(O)=O)=O)CO)(O)=O']	Knoevenagel C	-30.03
83_0	['C(C(O)=O)(CC(C(C)=O)=O)=O', 'C=O']	['C(C(C(C(C(C)=O)=O)CO)=O)(O)=O']	Aldol Condensation	-26.12
83_1	['C(C(O)=O)(CC(C(C)=O)=O)=O', 'C=O']	['C(C(C(C(C(C)=O)=O)CO)=O)(O)=O']	Knoevenagel C	-26.12
85_0	['C(C(O)=O)(CC(C(C)=O)=O)=O', 'C=O']	['C(C(CC(C(CCO)=O)=O)=O)(O)=O']	Aldol Condensation	-25.21
87_0	['C(C(CO)=O)=O', 'C(C(CO)=O)=O']	['C(CO)(C(C(C(C=O)=O)O)O)=O']	Aldol Condensation	-10.35
87_1	['C(C(CO)=O)=O', 'C(C(CO)=O)=O']	['C(CO)(C(C(C(C=O)=O)O)O)=O']	Knoevenagel H	-10.35
89_0	['C(C(CO)=O)=O', 'C(C(CO)=O)=O']	['C(C(CO)(C(C(C=O)=O)O)O)=O']	Aldol Condensation	-5.7
89_1	['C(C(CO)=O)=O', 'C(C(CO)=O)=O']	['C(C(CO)(C(C(C=O)=O)O)O)=O']	Knoevenagel H	-5.7
91_0	['C(C(CO)=O)=O', 'C=O']	['C(C(C(CO)O)=O)=O']	Aldol Condensation	-29.6
91_1	['C(C(CO)=O)=O', 'C=O']	['C(C(C(CO)O)=O)=O']	Knoevenagel H	-29.6
93_0	['C=O', 'C=C(C(O)=O)CC(C(O)=O)=O']	['C=C(C(O)=O)C(C(C(O)=O)=O)CO']	Aldol Condensation	-26.12
95_0	['C=O', 'C(C1(C)CC(C(O1)=O)=O)(O)=O']	['C(C1(C)C(C(C(O1)=O)=O)CO)(O)=O']	Aldol Condensation	-29.45
95_1	['C=O', 'C(C1(C)CC(C(O1)=O)=O)(O)=O']	['C(C1(C)C(C(C(O1)=O)=O)CO)(O)=O']	Knoevenagel C	-29.45
97_0	['C=O', 'C1(C(C)(CC(C(O1)=O)=O)O)=O']	['C1(C(C)(C(C(C(O1)=O)=O)CO)O)=O']	Aldol Condensation	-29.45
97_1	['C=O', 'C1(C(C)(CC(C(O1)=O)=O)O)=O']	['C1(C(C)(C(C(C(O1)=O)=O)CO)O)=O']	Knoevenagel C	-29.45
99_0	['C(C)=O', 'C(CC(C)O)=O']	['C(CC(CC(C)O)O)=O']	Aldol Condensation	-6.12
101_0	['C(C)=O', 'C(CC(C)O)=O']	['C(C(C(C)O)C(C)O)=O']	Aldol Condensation	-3.79
101_1	['C(C)=O', 'C(CC(C)O)=O']	['C(C(C(C)O)C(C)O)=O']	Knoevenagel C	-3.79
103_0	['C(C)=O', 'C(CC(O)=O)=O']	['C(CC(CC=O)O)(O)=O']	Aldol Condensation	3.56
105_0	['C(C)=O', 'C(CC(O)=O)=O']	['C(C(C=O)C(C)O)(O)=O']	Aldol Condensation	5.9
105_1	['C(C)=O', 'C(CC(O)=O)=O']	['C(C(C=O)C(C)O)(O)=O']	Knoevenagel C	5.9
107_0	['C(C)=O', 'C(C(CC(C)O)=O)(O)=O']	['C(C(CC(C)O)(CC=O)O)(O)=O']	Aldol Condensation	-1.48
109_0	['C(C)=O', 'C(C(CC(C)O)=O)(O)=O']	['C(C(C(C(C)O)C(C)O)=O)(O)=O']	Aldol Condensation	-3.79
109_1	['C(C)=O', 'C(C(CC(C)O)=O)(O)=O']	['C(C(C(C(C)O)C(C)O)=O)(O)=O']	Knoevenagel C	-3.79
111_0	['C(C)=O', 'C(C(C)(CC=O)O)(O)=O']	['C(C(C)(CC(CC=O)O)O)(O)=O']	Aldol Condensation	-6.12
113_0	['C(C)=O', 'C(C(C)(CC=O)O)(O)=O']	['C(C(C(C)O)C(C(O)=O)(C)O)=O']	Aldol Condensation	-3.79
113_1	['C(C)=O', 'C(C(C)(CC=O)O)(O)=O']	['C(C(C(C)O)C(C(O)=O)(C)O)=O']	Knoevenagel C	-3.79
115_0	['C(C)=O', 'C(CC(C(O)=O)=O)(O)=O']	['C(CC(C(O)=O)(CC=O)O)(O)=O']	Aldol Condensation	-8.65
117_0	['C(C)=O', 'C(CC(C(O)=O)=O)(O)=O']	['C(C(C(C(O)=O)=O)C(C)O)(O)=O']	Aldol Condensation	-10.95
117_1	['C(C)=O', 'C(CC(C(O)=O)=O)(O)=O']	['C(C(C(C(O)=O)=O)C(C)O)(O)=O']	Knoevenagel C	-10.95
119_0	['C(C)=O', 'C(C(CO)=O)=O']	['C(CC(C(CO)=O)O)=O']	Aldol Condensation	-6.12
121_0	['C(C)=O', 'C(C(CO)=O)=O']	['C(C(CO)(CC=O)O)=O']	Aldol Condensation	-1.48
123_0	['C(C)=O', 'C(C(CO)=O)=O']	['C(C(C(C(C)O)O)=O)=O']	Aldol Condensation	-10.51
123_1	['C(C)=O', 'C(C(CO)=O)=O']	['C(C(C(C(C)O)O)=O)=O']	Knoevenagel H	-10.51
125_0	['C(C)=O', 'C=O']	['C(CCO)=O']	Aldol Condensation	-25.37
126_0	['C(=O)=O', 'C(CC(C)O)=O']	['C(C(C=O)C(C)O)(O)=O']	Aldol Condensation	61.26
126_1	['C(=O)=O', 'C(CC(C)O)=O']	['C(C(C=O)C(C)O)(O)=O']	Knoevenagel C	61.26
128_0	['C(=O)=O', 'C(CC(O)=O)=O']	['C(C(C(O)=O)C(O)=O)=O']	Aldol Condensation	70.94
128_1	['C(=O)=O', 'C(CC(O)=O)=O']	['C(C(C(O)=O)C(O)=O)=O']	Knoevenagel C	70.94
129_0	['C(=O)=O', 'C(C(CC(C)O)=O)(O)=O']	['C(C(C(C(O)=O)=O)C(C)O)(O)=O']	Aldol Condensation	61.26
129_1	['C(=O)=O', 'C(C(CC(C)O)=O)(O)=O']	['C(C(C(C(O)=O)=O)C(C)O)(O)=O']	Knoevenagel C	61.26
131_0	['C(=O)=O', 'C(C(C)(CC=O)O)(O)=O']	['C(C(C=O)C(C(O)=O)(C)O)(O)=O']	Aldol Condensation	61.26
131_1	['C(=O)=O', 'C(C(C)(CC=O)O)(O)=O']	['C(C(C=O)C(C(O)=O)(C)O)(O)=O']	Knoevenagel C	61.26
