Index	Reagents	Products	Rule	Energy Change
11_0	['C=O', 'C=O', 'O']	['CO', 'C(O)=O']	Cannizarro 2, HCHO (oxidation)	-37.85
11_1	['C=O', 'C=O', 'O']	['CO', 'C(O)=O']	Cannizarro 2, HCHO (reduction)	-37.85
13_0	['N', 'C#CC#N']	['C(C(N)=C)#N']	Alkyne Addition, N, HH	192.82
15_0	['N', 'C#CC#N']	['C(C=CN)#N']	Alkyne Addition, N, HH	191.21
15_1	['N', 'C#CC#N']	['C(C=CN)#N']	Michael Addition 3,0, 	191.21
17_0	['C#N', 'C#CC#N']	['C(C(C#N)=C)#N']	Alkyne Addition, C	NaN
19_0	['C#N', 'C#CC#N']	['C(C=CC#N)#N']	Alkyne Addition, C	NaN
21_0	['N', 'C#N']	['C(N)=N']	Nitrile Amination	NaN
23_0	['N', 'C#CC#N']	['C#CC(N)=N']	Nitrile Amination	142.68
25_0	['C#N', 'C#N']	['C(C=N)#N']	HCN Addition to Nitriles	NaN
27_0	['C=O', 'C#N']	['C(CO)#N']	Cyanohydrin Formation	NaN
29_0	['C=O', 'N', 'C#N']	['O', 'C(CN)#N']	Strecker Synthesis	NaN
31_0	['C#N', 'O']	['C(N)=O']	Nitrile Hydrolysis	NaN
33_0	['C#CC#N', 'O']	['C#CC(N)=O']	Nitrile Hydrolysis	87.64
35_0	['N', 'C#CC(N)=N']	['C=C(C(N)=N)N']	Alkyne Addition, N, HH	192.82
37_0	['N', 'C#CC(N)=N']	['C(N)=CC(N)=N']	Alkyne Addition, N, HH	191.21
39_0	['N', 'C#CC(N)=O']	['C=C(C(N)=O)N']	Alkyne Addition, N, HH	192.82
41_0	['N', 'C#CC(N)=O']	['C(N)=CC(N)=O']	Alkyne Addition, N, HH	191.21
41_1	['N', 'C#CC(N)=O']	['C(N)=CC(N)=O']	Michael Addition 1,0, 	191.21
43_0	['C(C(N)=C)#N', 'C#CC(N)=N']	['C(C(NC(C(N)=N)=C)=C)#N']	Alkyne Addition, N, HC	165.09
45_0	['C(C(N)=C)#N', 'C#CC(N)=N']	['C(C(NC=CC(N)=N)=C)#N']	Alkyne Addition, N, HC	163.48
47_0	['C(C(N)=C)#N', 'C#CC(N)=O']	['C(C(NC(C(N)=O)=C)=C)#N']	Alkyne Addition, N, HC	165.09
49_0	['C(C(N)=C)#N', 'C#CC(N)=O']	['C(C(NC=CC(N)=O)=C)#N']	Alkyne Addition, N, HC	163.48
49_1	['C(C(N)=C)#N', 'C#CC(N)=O']	['C(C(NC=CC(N)=O)=C)#N']	Michael Addition 1,0, 	163.48
51_0	['C(C=CN)#N', 'C#CC(N)=N']	['C(C=CNC(C(N)=N)=C)#N']	Alkyne Addition, N, HC	165.09
53_0	['C(C=CN)#N', 'C#CC(N)=N']	['C(C=CNC=CC(N)=N)#N']	Alkyne Addition, N, HC	163.48
55_0	['C(C=CN)#N', 'C#CC(N)=O']	['C(C=CNC(C(N)=O)=C)#N']	Alkyne Addition, N, HC	165.09
57_0	['C(C=CN)#N', 'C#CC(N)=O']	['C(C=CNC=CC(N)=O)#N']	Alkyne Addition, N, HC	163.48
57_1	['C(C=CN)#N', 'C#CC(N)=O']	['C(C=CNC=CC(N)=O)#N']	Michael Addition 1,0, 	163.48
59_0	['C(N)=N', 'C#CC(N)=N']	['C(NC(C(N)=N)=C)=N']	Alkyne Addition, N, HC	165.09
61_0	['C(N)=N', 'C#CC(N)=N']	['C(NC=CC(N)=N)=N']	Alkyne Addition, N, HC	-166.6
63_0	['C(N)=N', 'C#CC(N)=O']	['C(NC(C(N)=O)=C)=N']	Alkyne Addition, N, HC	-134.14
65_0	['C(N)=N', 'C#CC(N)=O']	['C(NC=CC(N)=O)=N']	Alkyne Addition, N, HC	-135.75
65_1	['C(N)=N', 'C#CC(N)=O']	['C(NC=CC(N)=O)=N']	Michael Addition 1,0, 	-135.75
67_0	['C#CC(N)=N', 'C#CC(N)=N']	['C#CC(NC(C(N)=N)=C)=N']	Alkyne Addition, N, HC	165.09
69_0	['C#CC(N)=N', 'C#CC(N)=N']	['C#CC(NC=CC(N)=N)=N']	Alkyne Addition, N, HC	-166.6
71_0	['C#CC(N)=N', 'C(CN)#N']	['C(CNC(C(N)=N)=C)#N']	Alkyne Addition, N, HC	165.09
73_0	['C#CC(N)=N', 'C(CN)#N']	['C(CNC=CC(N)=N)#N']	Alkyne Addition, N, HC	163.48
75_0	['C#CC(N)=N', 'C#CC(N)=O']	['C#CC(NC(C(N)=O)=C)=N']	Alkyne Addition, N, HC	165.09
77_0	['C#CC(N)=N', 'C#CC(N)=O']	['C#CC(NC=CC(N)=O)=N']	Alkyne Addition, N, HC	-135.75
77_1	['C#CC(N)=N', 'C#CC(N)=O']	['C#CC(NC=CC(N)=O)=N']	Michael Addition 1,0, 	-135.75
79_0	['C(CN)#N', 'C#CC(N)=O']	['C(CNC(C(N)=O)=C)#N']	Alkyne Addition, N, HC	165.09
81_0	['C(CN)#N', 'C#CC(N)=O']	['C(CNC=CC(N)=O)#N']	Alkyne Addition, N, HC	163.48
81_1	['C(CN)#N', 'C#CC(N)=O']	['C(CNC=CC(N)=O)#N']	Michael Addition 1,0, 	163.48
83_0	['C#CC#N', 'C(C(N)=C)#N']	['C(C(NC(C#N)=C)=C)#N']	Alkyne Addition, N, HC	165.09
85_0	['C#CC#N', 'C(C(N)=C)#N']	['C(C=CNC(C#N)=C)#N']	Alkyne Addition, N, HC	163.48
85_1	['C#CC#N', 'C(C(N)=C)#N']	['C(C=CNC(C#N)=C)#N']	Michael Addition 3,0, 	163.48
86_0	['C#CC#N', 'C(C=CN)#N']	['C(C=CNC(C#N)=C)#N']	Alkyne Addition, N, HC	165.09
88_0	['C#CC#N', 'C(C=CN)#N']	['C(C=CNC=CC#N)#N']	Alkyne Addition, N, HC	163.48
88_1	['C#CC#N', 'C(C=CN)#N']	['C(C=CNC=CC#N)#N']	Michael Addition 3,0, 	163.48
90_0	['C#CC#N', 'C(N)=N']	['C(C(NC=N)=C)#N']	Alkyne Addition, N, HC	-134.14
92_0	['C#CC#N', 'C(N)=N']	['C(C=CNC=N)#N']	Alkyne Addition, N, HC	-135.75
92_1	['C#CC#N', 'C(N)=N']	['C(C=CNC=N)#N']	Michael Addition 3,0, 	-135.75
94_0	['C#CC#N', 'C#CC(N)=N']	['C(C(NC(C#C)=N)=C)#N']	Alkyne Addition, N, HC	-134.14
96_0	['C#CC#N', 'C#CC(N)=N']	['C(C=CNC(C#C)=N)#N']	Alkyne Addition, N, HC	-135.75
96_1	['C#CC#N', 'C#CC(N)=N']	['C(C=CNC(C#C)=N)#N']	Michael Addition 3,0, 	-135.75
98_0	['C#CC#N', 'C(CN)#N']	['C(C(NCC#N)=C)#N']	Alkyne Addition, N, HC	165.09
100_0	['C#CC#N', 'C(CN)#N']	['C(C=CNCC#N)#N']	Alkyne Addition, N, HC	163.48
100_1	['C#CC#N', 'C(CN)#N']	['C(C=CNCC#N)#N']	Michael Addition 3,0, 	163.48
102_0	['C#N', 'C#CC(N)=N']	['C(C(C(N)=N)=C)#N']	Alkyne Addition, C	NaN
104_0	['C#N', 'C#CC(N)=N']	['C(C=CC(N)=N)#N']	Alkyne Addition, C	NaN
106_0	['C#N', 'C#CC(N)=O']	['C(C(C(N)=O)=C)#N']	Alkyne Addition, C	NaN
108_0	['C#N', 'C#CC(N)=O']	['C(C=CC(N)=O)#N']	Alkyne Addition, C	NaN
110_0	['C=O', 'C(CO)#N']	['C(C(CO)O)#N']	Knoevenagel H	-29.6
112_0	['C=O', 'C(CN)#N']	['C(C(CO)N)#N']	Knoevenagel H	-22.87
113_0	['C(C(N)=C)#N']	['N', 'C#CC#N']	Alkyne Addition, N, HH, inverse	-192.82
114_0	['C(C=CN)#N']	['N', 'C#CC#N']	Alkyne Addition, N, HH, inverse	-191.21
116_0	['C(C(N)=C)#N']	['C#N', 'C#CN']	Alkyne Addition, C, inverse	NaN
117_0	['C(C=CN)#N']	['C#N', 'C#CN']	Alkyne Addition, C, inverse	NaN
118_0	['C(C(C#N)=C)#N']	['C#N', 'C#CC#N']	Alkyne Addition, C, inverse	NaN
119_0	['C(C=CC#N)#N']	['C#N', 'C#CC#N']	Alkyne Addition, C, inverse	NaN
121_0	['C(C(N)=C)#N', 'C(C(N)=C)#N']	['C(C(NC(C(N)=C)=N)=C)#N']	Nitrile Amination	-184.29
123_0	['C(C(N)=C)#N', 'C(C=CN)#N']	['C(C=CNC(C(N)=C)=N)#N']	Nitrile Amination	-184.29
125_0	['C(C(N)=C)#N', 'C(C=CN)#N']	['C(C(NC(C=CN)=N)=C)#N']	Nitrile Amination	-184.29
127_0	['C(C(N)=C)#N', 'C(C(C#N)=C)#N']	['C(C(C(NC(C#N)=C)=N)=C)#N']	Nitrile Amination	-168.45
129_0	['C(C(N)=C)#N', 'C(C=CC#N)#N']	['C(C=CC(NC(C#N)=C)=N)#N']	Nitrile Amination	-184.29
131_0	['C(C(N)=C)#N', 'C(N)=N']	['C(NC(C(N)=C)=N)=N']	Nitrile Amination	118.08
133_0	['C(C(N)=C)#N', 'C#CC(N)=N']	['C#CC(NC(C(N)=C)=N)=N']	Nitrile Amination	118.08
135_0	['C(C(N)=C)#N', 'C(C=N)#N']	['C(C(NC(C=N)=N)=C)#N']	Nitrile Amination	-168.45
137_0	['C(C(N)=C)#N', 'C(CO)#N']	['C(C(NC(CO)=N)=C)#N']	Nitrile Amination	-184.29
139_0	['C(C(N)=C)#N', 'C(CN)#N']	['C(CNC(C(N)=C)=N)#N']	Nitrile Amination	-184.29
141_0	['C(C(N)=C)#N', 'C(CN)#N']	['C(C(NC(CN)=N)=C)#N']	Nitrile Amination	-196.02
143_0	['C(C(N)=C)#N', 'C(N)=O']	['C(NC(C(N)=C)=N)=O']	Nitrile Amination	118.08
145_0	['C(C(N)=C)#N', 'C#CC(N)=O']	['C#CC(NC(C(N)=C)=N)=O']	Nitrile Amination	102.97
147_0	['C(C=CN)#N', 'C(C=CN)#N']	['C(C=CNC(C=CN)=N)#N']	Nitrile Amination	-184.29
149_0	['C(C=CN)#N', 'C(C(C#N)=C)#N']	['C(C(C(NC=CC#N)=N)=C)#N']	Nitrile Amination	-168.45
151_0	['C(C=CN)#N', 'C(C=CC#N)#N']	['C(C=CC(NC=CC#N)=N)#N']	Nitrile Amination	-184.29
153_0	['C(C=CN)#N', 'C(N)=N']	['C(NC(C=CN)=N)=N']	Nitrile Amination	118.08
155_0	['C(C=CN)#N', 'C#CC(N)=N']	['C#CC(NC(C=CN)=N)=N']	Nitrile Amination	118.08
157_0	['C(C=CN)#N', 'C(C=N)#N']	['C(C=CNC(C=N)=N)#N']	Nitrile Amination	-184.29
159_0	['C(C=CN)#N', 'C(CO)#N']	['C(C=CNC(CO)=N)#N']	Nitrile Amination	-184.29
161_0	['C(C=CN)#N', 'C(CN)#N']	['C(CNC(C=CN)=N)#N']	Nitrile Amination	-184.29
163_0	['C(C=CN)#N', 'C(CN)#N']	['C(C=CNC(CN)=N)#N']	Nitrile Amination	-184.29
165_0	['C(C=CN)#N', 'C(N)=O']	['C(NC(C=CN)=N)=O']	Nitrile Amination	118.08
167_0	['C(C=CN)#N', 'C#CC(N)=O']	['C#CC(NC(C=CN)=N)=O']	Nitrile Amination	102.97
169_0	['C(C(C#N)=C)#N', 'C(N)=N']	['C(C(C(NC=N)=N)=C)#N']	Nitrile Amination	118.08
171_0	['C(C(C#N)=C)#N', 'C#CC(N)=N']	['C(C(C(NC(C#C)=N)=N)=C)#N']	Nitrile Amination	121.21
173_0	['C(C(C#N)=C)#N', 'C(CN)#N']	['C(C(C(NCC#N)=N)=C)#N']	Nitrile Amination	-168.45
175_0	['C(C(C#N)=C)#N', 'C(N)=O']	['C(C(C(NC=O)=N)=C)#N']	Nitrile Amination	118.08
177_0	['C(C(C#N)=C)#N', 'C#CC(N)=O']	['C(C(C(NC(C#C)=O)=N)=C)#N']	Nitrile Amination	102.97
179_0	['C(C=CC#N)#N', 'C(N)=N']	['C(C=CC(NC=N)=N)#N']	Nitrile Amination	118.08
181_0	['C(C=CC#N)#N', 'C#CC(N)=N']	['C(C=CC(NC(C#C)=N)=N)#N']	Nitrile Amination	118.08
183_0	['C(C=CC#N)#N', 'C(CN)#N']	['C(C=CC(NCC#N)=N)#N']	Nitrile Amination	-184.29
185_0	['C(C=CC#N)#N', 'C(N)=O']	['C(C=CC(NC=O)=N)#N']	Nitrile Amination	118.08
187_0	['C(C=CC#N)#N', 'C#CC(N)=O']	['C(C=CC(NC(C#C)=O)=N)#N']	Nitrile Amination	102.97
189_0	['C(N)=N', 'C(C=N)#N']	['C(NC(C=N)=N)=N']	Nitrile Amination	118.08
191_0	['C(N)=N', 'C(CO)#N']	['C(NC(CO)=N)=N']	Nitrile Amination	118.08
193_0	['C(N)=N', 'C(CN)#N']	['C(NC(CN)=N)=N']	Nitrile Amination	118.08
195_0	['C#CC(N)=N', 'C(C=N)#N']	['C#CC(NC(C=N)=N)=N']	Nitrile Amination	118.08
197_0	['C#CC(N)=N', 'C(CO)#N']	['C#CC(NC(CO)=N)=N']	Nitrile Amination	118.08
199_0	['C#CC(N)=N', 'C(CN)#N']	['C#CC(NC(CN)=N)=N']	Nitrile Amination	118.08
201_0	['C(C=N)#N', 'C(CN)#N']	['C(CNC(C=N)=N)#N']	Nitrile Amination	-121.76
203_0	['C(C=N)#N', 'C(N)=O']	['C(NC(C=N)=N)=O']	Nitrile Amination	118.08
205_0	['C(C=N)#N', 'C#CC(N)=O']	['C#CC(NC(C=N)=N)=O']	Nitrile Amination	102.97
207_0	['C(CO)#N', 'C(CN)#N']	['C(CNC(CO)=N)#N']	Nitrile Amination	-184.29
209_0	['C(CO)#N', 'C(N)=O']	['C(NC(CO)=N)=O']	Nitrile Amination	118.08
211_0	['C(CO)#N', 'C#CC(N)=O']	['C#CC(NC(CO)=N)=O']	Nitrile Amination	102.97
213_0	['C(CN)#N', 'C(CN)#N']	['C(CNC(CN)=N)#N']	Nitrile Amination	-196.02
215_0	['C(CN)#N', 'C(N)=O']	['C(NC(CN)=N)=O']	Nitrile Amination	90.51
217_0	['C(CN)#N', 'C#CC(N)=O']	['C#CC(NC(CN)=N)=O']	Nitrile Amination	75.4
218_0	['N', 'C(C(N)=C)#N']	['C=C(C(N)=N)N']	Nitrile Amination	142.68
219_0	['N', 'C(C=CN)#N']	['C(N)=CC(N)=N']	Nitrile Amination	142.68
220_0	['N', 'C(C(C#N)=C)#N']	['C(C(C(N)=N)=C)#N']	Nitrile Amination	142.68
221_0	['N', 'C(C=CC#N)#N']	['C(C=CC(N)=N)#N']	Nitrile Amination	142.68
223_0	['N', 'C(C=N)#N']	['C(C(N)=N)=N']	Nitrile Amination	142.68
225_0	['N', 'C(CO)#N']	['C(CO)(N)=N']	Nitrile Amination	142.68
227_0	['N', 'C(CN)#N']	['C(CN)(N)=N']	Nitrile Amination	142.68
228_0	['C#CC#N', 'C(C(N)=C)#N']	['C(C(NC(C#C)=N)=C)#N']	Nitrile Amination	-184.29
229_0	['C#CC#N', 'C(C=CN)#N']	['C(C=CNC(C#C)=N)#N']	Nitrile Amination	-184.29
231_0	['C#CC#N', 'C(N)=N']	['C#CC(NC=N)=N']	Nitrile Amination	118.08
233_0	['C#CC#N', 'C#CC(N)=N']	['C#CC(NC(C#C)=N)=N']	Nitrile Amination	118.08
235_0	['C#CC#N', 'C(CN)#N']	['C(CNC(C#C)=N)#N']	Nitrile Amination	-184.29
237_0	['C#CC#N', 'C(N)=O']	['C#CC(NC=O)=N']	Nitrile Amination	118.08
239_0	['C#CC#N', 'C#CC(N)=O']	['C#CC(NC(C#C)=N)=O']	Nitrile Amination	102.97
240_0	['C#N', 'C(C(N)=C)#N']	['C(C(NC=N)=C)#N']	Nitrile Amination	NaN
241_0	['C#N', 'C(C=CN)#N']	['C(C=CNC=N)#N']	Nitrile Amination	NaN
243_0	['C#N', 'C(N)=N']	['C(NC=N)=N']	Nitrile Amination	NaN
244_0	['C#N', 'C#CC(N)=N']	['C#CC(NC=N)=N']	Nitrile Amination	NaN
246_0	['C#N', 'C(CN)#N']	['C(CNC=N)#N']	Nitrile Amination	NaN
248_0	['C#N', 'C(N)=O']	['C(NC=N)=O']	Nitrile Amination	NaN
250_0	['C#N', 'C#CC(N)=O']	['C#CC(NC=N)=O']	Nitrile Amination	NaN
252_0	['C#N', 'C(C=N)#N']	['C(C(C#N)N)#N']	CN addition to iminonitriles	NaN
253_0	['O', 'C(N)=O']	['N', 'C(O)=O']	Amide Hydrolysis	-27.7
255_0	['O', 'C#CC(N)=O']	['N', 'C#CC(O)=O']	Amide Hydrolysis	-11.95
257_0	['C#N', 'C(C(N)=C)#N']	['C(C(C#N)(C)N)#N']	Alkene Addition, CN	NaN
259_0	['C#N', 'C(C(N)=C)#N']	['C(CC(C#N)N)#N']	Alkene Addition, CN	NaN
261_0	['C#N', 'C(C=CN)#N']	['C(C(C#N)CN)#N']	Alkene Addition, CN	NaN
262_0	['C#N', 'C(C=CN)#N']	['C(CC(C#N)N)#N']	Alkene Addition, CN	NaN
264_0	['C#N', 'C(C(C#N)=C)#N']	['C(C(C#N)(C#N)C)#N']	Alkene Addition, CN	NaN
266_0	['C#N', 'C(C(C#N)=C)#N']	['C(C(C#N)CC#N)#N']	Alkene Addition, CN	NaN
267_0	['C#N', 'C(C=CC#N)#N']	['C(C(C#N)CC#N)#N']	Alkene Addition, CN	NaN
268_0	['O', 'C(C(N)=C)#N']	['C(C(CO)N)#N']	Deydration of Amines (inverse)	5.55
268_1	['O', 'C(C(N)=C)#N']	['C(C(CO)N)#N']	Hydration of C=C(O)	5.55
270_0	['O', 'C(C=CN)#N']	['C(C(CN)O)#N']	Deydration of Amines (inverse)	-27.14
270_1	['O', 'C(C=CN)#N']	['C(C(CN)O)#N']	Hydration of C=C(O)	-27.14
272_0	['O', 'C(C(C#N)=C)#N']	['C(C(C#N)(C)O)#N']	Hydration of C=C(O)	-2.92
274_0	['O', 'C(C(C#N)=C)#N']	['C(C(C#N)CO)#N']	Hydration of C=C(O)	5.55
276_0	['O', 'C(C=CC#N)#N']	['C(CC(C#N)O)#N']	Hydration of C=C(O)	0.43
278_0	['O', 'C(C(N)=C)#N']	['N', 'C(C(C)=O)#N']	Enamine Hydration and Elimination	-55.82
280_0	['O', 'C(C=CN)#N']	['N', 'C(CC=O)#N']	Enamine Hydration and Elimination	-47.82
282_0	['C(C(N)=C)#N', 'C(C(N)=C)#N']	['C(C(CNC(C#N)=C)N)#N']	Deamination of Vicinal Diamine, (inverse)	-12.94
282_1	['C(C(N)=C)#N', 'C(C(N)=C)#N']	['C(C(CNC(C#N)=C)N)#N']	Michael Addition 2,0, 	-12.94
284_0	['C(C(N)=C)#N', 'C(C=CN)#N']	['C(C(CNC=CC#N)N)#N']	Deamination of Vicinal Diamine, (inverse)	-12.94
284_1	['C(C(N)=C)#N', 'C(C=CN)#N']	['C(C(CNC=CC#N)N)#N']	Michael Addition 2,0, 	-12.94
286_0	['C(C(N)=C)#N', 'C(C=CN)#N']	['C(C(CN)NC(C#N)=C)#N']	Deamination of Vicinal Diamine, (inverse)	-38.9
288_0	['C(C(N)=C)#N', 'C(CN)#N']	['C(C(CNCC#N)N)#N']	Deamination of Vicinal Diamine, (inverse)	-12.94
288_1	['C(C(N)=C)#N', 'C(CN)#N']	['C(C(CNCC#N)N)#N']	Michael Addition 2,0, 	-12.94
290_0	['C(C=CN)#N', 'C(C=CN)#N']	['C(C(CN)NC=CC#N)#N']	Deamination of Vicinal Diamine, (inverse)	-38.9
292_0	['C(C=CN)#N', 'C(CN)#N']	['C(C(CN)NCC#N)#N']	Deamination of Vicinal Diamine, (inverse)	-38.9
294_0	['N', 'C(C(N)=C)#N']	['C(C(CN)N)#N']	Deamination of Vicinal Diamine, (inverse)	-12.78
294_1	['N', 'C(C(N)=C)#N']	['C(C(CN)N)#N']	Michael Addition 2,0, 	-12.78
295_0	['N', 'C(C=CN)#N']	['C(C(CN)N)#N']	Deamination of Vicinal Diamine, (inverse)	-11.18
297_0	['C(C(N)=C)#N', 'C(C(C#N)=C)#N']	['C(C(C#N)(C)NC(C#N)=C)#N']	Deamination 3 (inverse)	-10.0
299_0	['C(C(N)=C)#N', 'C(C(C#N)=C)#N']	['C(C(C#N)CNC(C#N)=C)#N']	Deamination 3 (inverse)	-12.94
299_1	['C(C(N)=C)#N', 'C(C(C#N)=C)#N']	['C(C(C#N)CNC(C#N)=C)#N']	Michael Addition 2,0, 	-12.94
301_0	['C(C(N)=C)#N', 'C(C=CC#N)#N']	['C(C(NC(C#N)CC#N)=C)#N']	Deamination 3 (inverse)	-11.33
301_1	['C(C(N)=C)#N', 'C(C=CC#N)#N']	['C(C(NC(C#N)CC#N)=C)#N']	Michael Addition 2,0, 	-11.33
