Index,dG_prime_kJ_mol,sigma_kJ_mol,estimable,spontaneous_point,spontaneous_95
5_0,-32.6190285176441,2.086396448326868,True,True,True
5_1,-32.6190285176441,2.086396448326868,True,True,True
7_0,-16.392518396181572,3.1212394294733836,True,True,True
7_1,-16.392518396181572,3.1212394294733836,True,True,True
8_0,0.0,0.0,True,False,False
10_0,-22.088400888768632,2.3742801700159384,True,True,True
13_0,-81.69411974308608,4.250785827015578,True,True,True
13_1,-81.69411974308608,4.250785827015578,True,True,True
15_0,-71.8144330059626,2.6739030734104774,True,True,True
17_0,-96.78248684657336,4.024979471400409,True,True,True
19_0,-17.45074851296522,4.104434803922337,True,True,True
19_1,-17.45074851296522,4.104434803922337,True,True,True
21_0,-17.450765806758568,4.104434803922337,True,True,True
21_1,-17.450765806758568,4.104434803922337,True,True,True
23_0,-31.28014540603749,7.931452637419445,True,True,True
23_1,-31.28014540603749,7.931452637419445,True,True,True
25_0,-36.70088797004945,4.24864687626601,True,True,True
25_1,-36.70088797004945,4.24864687626601,True,True,True
27_0,-13.368871766766233,1.6477739594969991,True,True,True
27_1,-13.368871766766233,1.6477739594969991,True,True,True
29_0,-13.368889060559695,1.6477739594969991,True,True,True
29_1,-13.368889060559695,1.6477739594969991,True,True,True
31_0,-27.201272165950343,4.208735624532944,True,True,True
31_1,-27.201272165950343,4.208735624532944,True,True,True
33_0,-20.474395142380445,4.310594307934472,True,True,True
33_1,-20.474395142380445,4.310594307934472,True,True,True
35_0,80.85554143820622,1.9515616981747783,True,False,False
36_0,32.61902851764407,2.086396448326868,True,False,False
36_1,32.61902851764407,2.086396448326868,True,False,False
37_0,16.392518396181572,3.1212394294733836,True,False,False
37_1,16.392518396181572,3.1212394294733836,True,False,False
39_0,-2.178034142106867,2.230014295891439,True,True,False
41_0,-2.0014766670836934,0.46843488369744113,True,True,True
43_0,-34.321839540379074,3.0176933348734756,True,True,True
45_0,-34.32185683417248,3.017693334873476,True,True,True
47_0,-34.898579526252774,3.7145914954722428,True,True,True
