Index,dG_prime_kJ_mol,sigma_kJ_mol,estimable,spontaneous_point,spontaneous_95
4_0,-32.6190285176441,2.086396448326868,True,True,True
4_1,-32.6190285176441,2.086396448326868,True,True,True
6_0,-16.392518396181572,3.1212394294733836,True,True,True
6_1,-16.392518396181572,3.1212394294733836,True,True,True
7_0,0.0,0.0,True,False,False
10_0,-81.69411974308608,4.250785827015578,True,True,True
10_1,-81.69411974308608,4.250785827015578,True,True,True
12_0,-71.8144330059626,2.6739030734104774,True,True,True
14_0,-96.78248684657336,4.024979471400409,True,True,True
16_0,-13.368871766766233,1.6477739594969991,True,True,True
16_1,-13.368871766766233,1.6477739594969991,True,True,True
18_0,-13.368889060559695,1.6477739594969991,True,True,True
18_1,-13.368889060559695,1.6477739594969991,True,True,True
20_0,80.85554143820622,1.9515616981747783,True,False,False
21_0,32.61902851764407,2.086396448326868,True,False,False
21_1,32.61902851764407,2.086396448326868,True,False,False
22_0,16.392518396181572,3.1212394294733836,True,False,False
22_1,16.392518396181572,3.1212394294733836,True,False,False
24_0,-2.178034142106867,2.230014295891439,True,True,False
26_0,-2.0014766670836934,0.46843488369744113,True,True,True
28_0,-74.2316140820929,2.771455541399321,True,True,True
30_0,-68.79081458200073,2.1230413805936985,True,True,True
32_0,-74.00821174053053,3.4527678450068495,True,True,True
34_0,-74.0082371522567,3.4527678450068495,True,True,True
36_0,-7.704122220141926,1.0089001392175116,True,True,True
36_1,-7.704122220141926,1.0089001392175116,True,True,True
38_0,-26.954261677226327,1.5999741265311842,True,True,True
38_1,-26.954261677226327,1.5999741265311842,True,True,True
40_0,-26.954278971019903,1.5999741265311844,True,True,True
40_1,-26.954278971019903,1.5999741265311844,True,True,True
41_0,-10.727768849557378,1.7581471621982618,True,True,True
41_1,-10.727768849557378,1.7581471621982618,True,True,True
43_0,-10.72778614335084,1.7581471621982618,True,True,True
43_1,-10.72778614335084,1.7581471621982618,True,True,True
45_0,9.405363266415236,1.8417947080684132,True,False,False
