Index,dG_prime_kJ_mol,sigma_kJ_mol,estimable,spontaneous_point,spontaneous_95
5_0,13.368889060559638,1.6477739594969993,True,False,False
5_1,13.368889060559638,1.6477739594969993,True,False,False
7_0,-2.0015249341370236,0.4684348836974412,True,True,True
9_0,-34.89859682004635,3.7145914954722428,True,True,True
12_0,301.4002792126813,100000.00008918784,False,False,False
12_1,301.4002792126813,100000.00008918784,False,False,False
14_0,-41.014262475201065,1.24685410860712,True,True,True
16_0,-41.014262475201065,1.24685410860712,True,True,True
18_0,-41.014262475201065,1.24685410860712,True,True,True
20_0,-41.014262475201065,1.24685410860712,True,True,True
22_0,-41.014262475201065,1.24685410860712,True,True,True
24_0,-41.014262475201065,1.24685410860712,True,True,True
26_0,-45.40449941646824,1.4156030322241335,True,True,True
28_0,-39.01282031369209,1.2616238877207056,True,True,True
30_0,-26.170277634967533,3.7463383074112966,True,True,True
32_0,-1.4535415716890157,1.1070389810184753,True,True,False
34_0,-4.155446263761974,0.7108983402116479,True,True,True
36_0,-7.006371925503345,1.5166983789025281,True,True,True
38_0,-88.26573860342478,6.979023060153432,True,True,True
38_1,-88.26573860342478,6.979023060153432,True,True,True
40_0,-91.11726384561848,6.908627075808763,True,True,True
40_1,-91.11726384561848,6.908627075808763,True,True,True
41_0,-86.7270269043513,6.945249059557174,True,True,True
43_0,-68.51058941666213,7.0205537434442755,True,True,True
43_1,-68.51058941666213,7.0205537434442755,True,True,True
44_0,-16.392518396181572,3.1212394294733836,True,True,True
44_1,-16.392518396181572,3.1212394294733836,True,True,True
45_0,-13.368889060559695,1.6477739594969991,True,True,True
45_1,-13.368889060559695,1.6477739594969991,True,True,True
47_0,303.4017521274226,100000.00008708918,False,False,False
47_1,303.4017521274226,100000.00008708918,False,False,False
49_0,-303.40175212742264,100000.00008708918,False,False,False
50_0,16.392518396181572,3.1212394294733836,True,False,False
50_1,16.392518396181572,3.1212394294733836,True,False,False
53_0,10.168715929380937,2.277709204753575,True,False,False
53_1,10.168715929380937,2.277709204753575,True,False,False
55_0,10.345242431144413,0.8681795068803962,True,False,False
55_1,10.345242431144413,0.8681795068803962,True,False,False
57_0,4.312391908759906,1.6682331887911208,True,False,False
59_0,13.368889060559752,1.6477739594969993,True,False,False
59_1,13.368889060559752,1.6477739594969993,True,False,False
61_0,-48.288747301253466,7.992520243537185,True,True,True
64_0,5.954995998807192,0.7805433064575087,True,False,False
67_0,29.595376028314462,1.428166683547855,True,False,False
67_1,29.595376028314462,1.428166683547855,True,False,False
69_0,13.368889060559752,1.6477739594969993,True,False,False
69_1,13.368889060559752,1.6477739594969993,True,False,False
71_0,10.345259724937932,0.8681795068803964,True,False,False
71_1,10.345259724937932,0.8681795068803964,True,False,False
73_0,25.205035832195733,1.5919692024838479,True,False,False
74_0,13.368889060559752,1.6477739594969993,True,False,False
74_1,13.368889060559752,1.6477739594969993,True,False,False
77_0,-57.514849475929225,7.777567688041274,True,True,True
78_0,-43.89851035998629,7.990150867457925,True,True,True
78_1,-43.89851035998629,7.990150867457925,True,True,True
79_0,-53.12461253466205,7.791577842946945,True,True,True
79_1,-53.12461253466205,7.791577842946945,True,True,True
81_0,13.368889060559638,1.6477739594969993,True,False,False
81_1,13.368889060559638,1.6477739594969993,True,False,False
84_0,6.124141954711035,1.3032675159556373,True,False,False
85_0,0.0,0.0,True,False,False
87_0,-2.0014766670836934,0.46843488369744113,True,True,True
88_0,2.0015249341370236,0.4684348836974412,True,False,False
90_0,8.277262816136499e-05,0.0,True,False,False
92_0,0.0,0.0,True,False,False
94_0,0.0,0.0,True,False,False
96_0,-2.0014421615087485,0.4684348836974412,True,True,True
98_0,0.0,0.0,True,False,False
100_0,-2.0014421615087485,0.4684348836974412,True,True,True
102_0,0.0,0.0,True,False,False
104_0,-2.0014421615087485,0.4684348836974412,True,True,True
106_0,0.0,0.0,True,False,False
108_0,-2.0014421615087485,0.4684348836974412,True,True,True
110_0,2.001442161508976,0.4684348836974412,True,False,False
112_0,-2.0015860021125604,0.4684348836974412,True,True,True
114_0,0.0,0.0,True,False,False
116_0,-2.001442161508976,0.4684348836974412,True,True,True
118_0,-2.0014421615088622,0.46843488369744113,True,True,True
120_0,-22.088400888768632,2.3742801700159384,True,True,True
122_0,-34.89859682004629,3.714591495472243,True,True,True
124_0,-24.16875270083051,3.75662510802412,True,True,True
126_0,-26.170194862339372,3.7463383074112966,True,True,True
128_0,-26.167274128855524,3.746338307411297,True,True,True
130_0,-26.17027763496742,3.7463383074112966,True,True,True
132_0,-34.89859682004624,3.7145914954722423,True,True,True
