Index,dG_prime_kJ_mol,sigma_kJ_mol,estimable,spontaneous_point,spontaneous_95
3_0,-14.123211956021777,2.3623218470519887,True,True,True
5_0,39.80872243527958,1.366665933036161,True,False,False
8_0,-14.119555935096201,3.2777062758234363,True,True,True
10_0,-6.2932611257516555,2.597682457666115,True,True,True
12_0,5.23145825234505,5.264288501970352,True,False,False
14_0,-11.719842810069792,1.7455924012432995,True,True,True
16_0,-7.077420494938906,1.9109484290684002,True,True,True
18_0,14.96846221737573,3.119423775751975,True,False,False
20_0,418.5853289375363,100000.00009959786,False,False,False
22_0,59.10346862290365,1.5445816537101469,True,False,False
23_0,14.123211956021777,2.3623218470519887,True,False,False
25_0,354.6319469487229,100000.0000920112,False,False,False
25_1,354.6319469487229,100000.0000920112,False,False,False
27_0,738.3465113321389,200000.0001757303,False,False,False
27_1,738.3465113321389,200000.0001757303,False,False,False
29_0,716.3536794182729,200000.000160604,False,False,False
29_1,716.3536794182729,200000.000160604,False,False,False
32_0,9.844753411601374,2.255297363007269,True,False,False
33_0,-48.696820118030644,4.318589609706014,True,True,True
34_0,-39.808722435279535,1.366665933036161,True,True,True
36_0,727.029600511866,200000.00017199066,False,False,False
38_0,0.39924939157373274,1.9071124388522862,True,False,False
40_0,41.014133375681354,1.24685410860712,True,False,False
42_0,43.233938083918815,1.75662726549929,True,False,False
44_0,419.7010967267855,100000.00008981235,False,False,False
45_0,-7.073764474013416,3.0833359080166867,True,True,True
47_0,384.34037486054575,100000.00013430043,False,False,False
49_0,75.26218099900069,3.9162961940863066,True,False,False
51_0,-95.87487231885069,6.857498887922173,True,True,True
53_0,-3.6183827013678638,0.9361853552194984,True,True,True
53_1,-3.6183827013678638,0.9361853552194984,True,True,True
55_0,368.5708400304631,100000.0001659535,False,False,False
55_1,368.5708400304631,100000.0001659535,False,False,False
57_0,368.5708400304631,100000.0001659535,False,False,False
57_1,368.5708400304631,100000.0001659535,False,False,False
59_0,-3.618380524201598,0.9361853552194981,True,True,True
59_1,-3.618380524201598,0.9361853552194981,True,True,True
61_0,1.024164554516119,1.1713947853498272,True,False,False
61_1,1.024164554516119,1.1713947853498272,True,False,False
63_0,-10.345257547771439,0.8681795068803964,True,True,True
63_1,-10.345257547771439,0.8681795068803964,True,True,True
65_0,-22.86850486465886,1.5145585451094703,True,True,True
65_1,-22.86850486465886,1.5145585451094703,True,True,True
67_0,740.7606850357823,200000.0003297136,False,False,False
67_1,740.7606850357823,200000.0003297136,False,False,False
69_0,368.5708422076294,100000.0001659535,False,False,False
69_1,368.5708422076294,100000.0001659535,False,False,False
71_0,373.21338728634726,100000.00016778284,False,False,False
71_1,373.21338728634726,100000.00016778284,False,False,False
73_0,361.8439651840596,100000.00016702033,False,False,False
73_1,361.8439651840596,100000.00016702033,False,False,False
75_0,349.3207178671722,100000.00017566577,False,False,False
75_1,349.3207178671722,100000.00017566577,False,False,False
77_0,339.6366419370036,100000.00008932856,False,False,False
77_1,339.6366419370036,100000.00008932856,False,False,False
79_0,339.6367647005905,100000.00008932856,False,False,False
79_1,339.6367647005905,100000.00008932856,False,False,False
81_0,696.6629012929739,200000.0001610746,False,False,False
81_1,696.6629012929739,200000.0001610746,False,False,False
83_0,-22.86850486465869,1.5145585451094703,True,True,True
83_1,-22.86850486465869,1.5145585451094703,True,True,True
85_0,-25.205144946961354,1.5919692024838479,True,True,True
87_0,-10.345255370605287,0.8681795068803961,True,True,True
87_1,-10.345255370605287,0.8681795068803961,True,True,True
89_0,-5.70271029188757,0.9315174901663511,True,True,True
89_1,-5.70271029188757,0.9315174901663511,True,True,True
91_0,-29.595379711062492,1.428166683547855,True,True,True
91_1,-29.595379711062492,1.428166683547855,True,True,True
93_0,706.2868840025687,200000.00016842928,False,False,False
95_0,-29.445161757655967,1.8798002866586225,True,True,True
95_1,-29.445161757655967,1.8798002866586225,True,True,True
97_0,-29.445161757656024,1.8798002866586223,True,True,True
97_1,-29.445161757656024,1.8798002866586223,True,True,True
99_0,-6.124141954711092,1.3032675159556373,True,True,True
101_0,-3.787501872408484,1.5473028103181918,True,True,True
101_1,-3.787501872408484,1.5473028103181918,True,True,True
103_0,366.06508077712,100000.00017607998,False,False,False
105_0,368.4017208594226,100000.00017354716,False,False,False
105_1,368.4017208594226,100000.00017354716,False,False,False
107_0,361.0235499256691,100000.00009047193,False,False,False
109_0,358.717644929254,100000.00008994735,False,False,False
109_1,358.717644929254,100000.00008994735,False,False,False
111_0,356.3811276105383,100000.0000897376,False,False,False
113_0,358.7177676928409,100000.00008994735,False,False,False
113_1,358.7177676928409,100000.00008994735,False,False,False
115_0,718.0498092816393,200000.00016064057,False,False,False
117_0,715.7439042852243,200000.00015970453,False,False,False
117_1,715.7439042852243,200000.00015970453,False,False,False
119_0,-6.1241397775447695,1.3032675159556373,True,True,True
121_0,-1.4815946988270525,1.503528371791256,True,True,False
123_0,-10.51443807896112,1.4929977932193408,True,True,True
123_1,-10.51443807896112,1.4929977932193408,True,True,True
125_0,-25.37426411800203,2.030710607982847,True,True,True
126_0,379.9264402375193,100000.00011948447,False,False,False
126_1,379.9264402375193,100000.00011948447,False,False,False
128_0,752.1162852428386,200000.00021788393,False,False,False
128_1,752.1162852428386,200000.00021788393,False,False,False
129_0,742.43220931267,200000.0001749695,False,False,False
129_1,742.43220931267,200000.0001749695,False,False,False
131_0,742.4323320762567,200000.0001749695,False,False,False
131_1,742.4323320762567,200000.0001749695,False,False,False
133_0,1099.45846866864,300000.000245528,False,False,False
133_1,1099.45846866864,300000.000245528,False,False,False
135_0,10.694343912664749,3.0558187661019245,True,False,False
135_1,10.694343912664749,3.0558187661019245,True,False,False
137_0,-11.550738858586328,1.2482175220515694,True,True,True
138_0,357.9336083236536,100000.00008625137,False,False,False
138_1,357.9336083236536,100000.00008625137,False,False,False
140_0,-3.4860829522963,4.562455248014836,True,True,False
141_0,730.1234533289727,200000.00019987032,False,False,False
141_1,730.1234533289727,200000.00019987032,False,False,False
143_0,-11.550702692559923,1.2482175220515692,True,True,True
145_0,355.59697041851734,100000.00008214651,False,False,False
147_0,-11.298606648692044,1.6084697322114674,True,True,True
147_1,-11.298606648692044,1.6084697322114674,True,True,True
149_0,-30.800821410342706,1.8724731896822053,True,True,True
150_0,-418.58532893753625,100000.00009959786,False,False,False
151_0,-59.10346862290359,1.5445816537101469,True,True,True
151_1,-59.10346862290359,1.5445816537101469,True,True,True
153_0,54.46097235910912,1.6748504928824857,True,False,False
155_0,-308.04430293267285,100000.00008711002,False,False,False
157_0,-670.5500132871261,200000.00015942552,False,False,False
159_0,-308.04491947962816,100000.00008711002,False,False,False
161_0,-670.5502036859507,200000.00015942552,False,False,False
163_0,80.85554143820622,1.9515616981747783,True,False,False
164_0,60.72266298983146,1.5445816537101467,True,False,False
166_0,418.58545803705584,100000.00009959786,False,False,False
167_0,-344.43891572778483,100000.00012552585,False,False,False
168_0,6.2932611257516555,2.597682457666115,True,False,False
169_0,-5.231458252344993,5.264288501970352,True,True,False
169_1,-5.231458252344993,5.264288501970352,True,True,False
170_0,11.71984281006985,1.7455924012432995,True,False,False
171_0,7.077420494938963,1.9109484290684,True,False,False
172_0,-14.96846221737573,3.119423775751975,True,True,True
172_1,-14.96846221737573,3.119423775751975,True,True,True
173_0,31.596826226903886,1.497746544738635,True,False,False
177_0,-61.468426343706966,7.800755109188709,True,True,True
180_0,-68.79080367034078,2.1230413805936985,True,True,True
182_0,-71.57889080898414,3.519292413618932,True,True,True
