network,generation,basis,target,reachable,chain_depth,reactions
Formose,6,estimable_only,Deoxyribose,yes,3,4
Formose,6,estimable_only,Ribose,yes,2,2
Formose,6,estimable_only,Threose,yes,1,1
Formose,6,estimable_only,Glycerol,yes,2,2
Formose,6,with_unestimable,Deoxyribose,yes,3,4
Formose,6,with_unestimable,Ribose,yes,2,2
Formose,6,with_unestimable,Threose,yes,1,1
Formose,6,with_unestimable,Glycerol,yes,2,2
FormoseAmm,4,estimable_only,Deoxyribose,yes,3,4
FormoseAmm,4,estimable_only,Ribose,yes,2,2
FormoseAmm,4,estimable_only,Threose,yes,1,1
FormoseAmm,4,estimable_only,Glycerol,yes,2,2
FormoseAmm,4,with_unestimable,Deoxyribose,yes,3,4
FormoseAmm,4,with_unestimable,Ribose,yes,2,2
FormoseAmm,4,with_unestimable,Threose,yes,1,1
FormoseAmm,4,with_unestimable,Glycerol,yes,2,2
Glucose,5,estimable_only,Deoxyribose,yes,11,21
Glucose,5,estimable_only,Ribose,yes,11,20
Glucose,5,estimable_only,Threose,yes,3,5
Glucose,5,estimable_only,Glycerol,no,,
Glucose,5,with_unestimable,Deoxyribose,yes,3,3
Glucose,5,with_unestimable,Ribose,yes,4,4
Glucose,5,with_unestimable,Threose,yes,2,2
Glucose,5,with_unestimable,Glycerol,yes,4,4
GlucoseAmm,4,estimable_only,Deoxyribose,no,,
GlucoseAmm,4,estimable_only,Ribose,no,,
GlucoseAmm,4,estimable_only,Threose,yes,3,5
GlucoseAmm,4,estimable_only,Glycerol,no,,
GlucoseAmm,4,with_unestimable,Deoxyribose,yes,3,3
GlucoseAmm,4,with_unestimable,Ribose,yes,4,4
GlucoseAmm,4,with_unestimable,Threose,yes,2,2
GlucoseAmm,4,with_unestimable,Glycerol,yes,4,4
PyruvicAcid,6,estimable_only,Deoxyribose,no,,
PyruvicAcid,6,estimable_only,Ribose,no,,
PyruvicAcid,6,estimable_only,Threose,no,,
PyruvicAcid,6,estimable_only,Glycerol,no,,
PyruvicAcid,6,with_unestimable,Deoxyribose,yes,7,9
PyruvicAcid,6,with_unestimable,Ribose,yes,8,10
PyruvicAcid,6,with_unestimable,Threose,yes,5,9
PyruvicAcid,6,with_unestimable,Glycerol,yes,8,14
