network,generation,pH,compounds,titratable_7_11,reactions,buildable,estimable,unestimable,spontaneous,confident_95,median_sigma,identical_to_pH7
Formose,6,7.0,117874,1,306244,306244,244504,61740,160302,139355,1.94,yes
Formose,6,7.4,117874,1,306244,306244,244504,61740,160286,139386,1.94,differs_by_18
Formose,6,9.0,117874,1,306244,306244,244566,61678,160211,139563,1.94,differs_by_335
Formose,6,11.0,117874,1,306244,306244,244608,61636,160089,139413,1.94,differs_by_905
FormoseAmm,4,7.0,35318,30396,145820,145820,78290,67530,59024,53728,1.43,yes
FormoseAmm,4,7.4,35318,30396,145820,145820,78290,67530,59008,54665,1.43,differs_by_38
FormoseAmm,4,9.0,35318,30396,145820,145820,78300,67520,59129,54748,1.43,differs_by_1013
FormoseAmm,4,11.0,35318,30396,145820,145820,78304,67516,49634,45944,1.43,differs_by_11264
Glucose,5,7.0,48403,1,120997,120997,90816,30181,58293,50795,1.83,yes
Glucose,5,7.4,48403,1,120997,120997,90816,30181,58285,50815,1.83,differs_by_8
Glucose,5,9.0,48403,1,120997,120997,90857,30140,58247,50912,1.83,differs_by_200
Glucose,5,11.0,48403,1,120997,120997,90884,30113,58182,50844,1.83,differs_by_553
GlucoseAmm,4,7.0,26126,14941,108352,108352,73693,34659,49054,42854,1.7,yes
GlucoseAmm,4,7.4,26126,14941,108352,108352,73693,34659,49074,44155,1.7,differs_by_34
GlucoseAmm,4,9.0,26126,14941,108352,108352,73710,34642,49953,43770,1.7,differs_by_2101
GlucoseAmm,4,11.0,26126,14941,108352,108352,73722,34630,45572,41312,1.7,differs_by_7566
PyruvicAcid,6,7.0,63280,1,131064,131064,101147,29917,66695,56511,1.82,yes
PyruvicAcid,6,7.4,63280,1,131064,131064,101147,29917,66688,56504,1.82,differs_by_7
PyruvicAcid,6,9.0,63280,1,131064,131064,101188,29876,66573,56352,1.81,differs_by_196
PyruvicAcid,6,11.0,63280,1,131064,131064,101216,29848,66520,56356,1.81,differs_by_485
