network,generation,products_cumulative,ChEBI
Formose,0,3,3
Formose,1,9,9
Formose,2,32,26
Formose,3,311,67
Formose,4,2959,135
Formose,5,23459,228
FormoseAmm,0,4,4
FormoseAmm,1,11,11
FormoseAmm,2,54,31
FormoseAmm,3,985,84
FormoseAmm,4,35318,201
Glucose,0,2,2
Glucose,1,18,10
Glucose,2,128,39
Glucose,3,1054,81
Glucose,4,7891,166
Glucose,5,48403,257
GlucoseAmm,0,3,3
GlucoseAmm,1,21,12
GlucoseAmm,2,180,44
GlucoseAmm,3,1872,94
GlucoseAmm,4,26126,222
PyruvicAcid,0,2,2
PyruvicAcid,1,6,6
PyruvicAcid,2,25,13
PyruvicAcid,3,145,37
PyruvicAcid,4,1070,88
PyruvicAcid,5,9081,191
PyruvicAcid,6,63280,332
