network,descriptor,mean_abs_shap
Formose,HBA,0.21894
Formose,HBD,0.00782
Formose,HBA+HBD,0.00287
Formose,NumRings,0.38985
Formose,RTB,0.41417
Formose,TPSA,0.38636
Formose,logP,1.583
Formose,MR,0.21175
Formose,exact_mass,0.23312
Formose,Csp3,0.32911
Formose,fmf,0.13096
Formose,QED,0.37038
Formose,HAC,0.0
Formose,NumRingsFused,0.0
Formose,unique_HBAD,0.45317
Formose,max_ring_size,0.21898
Formose,n_chiral_centers,0.15604
Formose,fcsp3_bm,0.612
FormoseAmm,HBA,0.43174
FormoseAmm,HBD,0.06416
FormoseAmm,HBA+HBD,0.16647
FormoseAmm,NumRings,0.02014
FormoseAmm,RTB,0.38815
FormoseAmm,NumAmideBonds,0.02943
FormoseAmm,TPSA,0.18081
FormoseAmm,logP,0.75263
FormoseAmm,MR,0.19479
FormoseAmm,exact_mass,0.1863
FormoseAmm,Csp3,0.62208
FormoseAmm,fmf,0.06117
FormoseAmm,QED,0.34501
FormoseAmm,HAC,0.0
FormoseAmm,NumRingsFused,0.0
FormoseAmm,unique_HBAD,1.01626
FormoseAmm,max_ring_size,0.02686
FormoseAmm,n_chiral_centers,0.25332
FormoseAmm,fcsp3_bm,0.17098
Glucose,HBA,0.17845
Glucose,HBD,0.08248
Glucose,HBA+HBD,0.01449
Glucose,NumRings,0.235
Glucose,RTB,0.70675
Glucose,TPSA,0.39728
Glucose,logP,1.03401
Glucose,MR,0.29049
Glucose,exact_mass,0.07478
Glucose,Csp3,0.33497
Glucose,fmf,0.19484
Glucose,QED,0.43768
Glucose,HAC,0.0
Glucose,NumRingsFused,0.0
Glucose,unique_HBAD,0.0
Glucose,max_ring_size,0.23045
Glucose,n_chiral_centers,0.32382
Glucose,fcsp3_bm,0.50429
GlucoseAmm,HBA,0.17278
GlucoseAmm,HBD,0.08848
GlucoseAmm,HBA+HBD,0.02825
GlucoseAmm,NumRings,0.0306
GlucoseAmm,RTB,0.29246
GlucoseAmm,NumAmideBonds,0.00389
GlucoseAmm,TPSA,0.13421
GlucoseAmm,logP,0.72528
GlucoseAmm,MR,0.12429
GlucoseAmm,exact_mass,0.35913
GlucoseAmm,Csp3,0.36769
GlucoseAmm,fmf,0.06508
GlucoseAmm,QED,0.50478
GlucoseAmm,HAC,0.0
GlucoseAmm,NumRingsFused,0.0
GlucoseAmm,unique_HBAD,0.40762
GlucoseAmm,max_ring_size,0.04694
GlucoseAmm,n_chiral_centers,0.31884
GlucoseAmm,fcsp3_bm,0.19379
