network,generation,length,pathways,mean_dg_kJ_mol,sd_dg_kJ_mol,median_dg_kJ_mol,mean_dg_per_step_kJ_mol,sd_dg_per_step_kJ_mol
Formose,6,1,1,-16.39,0.0,-16.39,-16.39,0.0
Formose,6,2,8,-69.55,32.52,-72.38,-34.77,16.26
Formose,6,3,38,-88.03,35.55,-71.65,-26.42,7.31
Formose,6,4,299,-178.76,62.28,-201.45,-33.43,7.52
Formose,6,5,687,-210.12,61.66,-215.19,-33.0,7.24
Formose,6,6,346,-226.3,56.74,-221.49,-32.08,6.3
Formose,6,7,296,-256.35,64.01,-245.88,-31.49,5.66
Formose,6,8,98,-299.19,78.71,-278.71,-30.36,4.55
Formose,6,9,46,-329.74,65.62,-326.47,-29.44,4.69
Formose,6,10,32,-378.57,73.96,-378.14,-27.47,3.45
Formose,6,11,25,-415.15,79.99,-408.46,-29.26,3.08
Formose,6,12,19,-516.55,89.08,-512.62,-27.63,2.26
Formose,6,13,14,-543.79,92.93,-542.32,-27.97,2.41
Formose,6,14,13,-596.46,61.99,-610.83,-29.5,1.3
Formose,6,15,7,-581.55,67.8,-580.17,-27.91,1.96
Formose,6,16,2,-581.84,1.87,-581.84,-27.71,0.09
Formose,6,17,4,-689.72,3.75,-690.96,-31.35,0.17
FormoseAmm,4,1,1,-16.39,0.0,-16.39,-16.39,0.0
FormoseAmm,4,2,19,-62.98,22.87,-59.57,-27.97,11.92
FormoseAmm,4,3,238,-106.94,37.28,-99.84,-27.61,6.19
FormoseAmm,4,4,1547,-178.01,62.3,-179.96,-30.58,6.28
FormoseAmm,4,5,373,-249.4,72.2,-268.4,-30.24,5.32
FormoseAmm,4,6,141,-260.27,68.68,-244.0,-27.27,4.23
FormoseAmm,4,7,18,-280.33,75.03,-267.72,-27.29,4.04
Glucose,5,1,8,-41.31,1.8,-41.01,-41.31,1.8
Glucose,5,2,29,-65.65,27.86,-55.84,-32.83,13.93
Glucose,5,3,39,-101.83,46.34,-104.23,-32.96,14.71
Glucose,5,4,29,-170.45,47.34,-180.62,-34.8,9.35
Glucose,5,5,95,-196.32,28.31,-203.54,-31.4,4.62
Glucose,5,6,210,-235.26,48.82,-222.4,-32.55,6.5
Glucose,5,7,220,-264.61,58.3,-279.58,-31.47,6.22
Glucose,5,8,110,-323.65,59.74,-322.08,-29.18,4.43
Glucose,5,9,119,-342.41,61.62,-351.59,-27.36,3.01
Glucose,5,10,114,-379.75,90.12,-389.18,-27.75,4.61
Glucose,5,11,147,-394.81,57.65,-394.46,-27.3,3.63
Glucose,5,12,385,-512.95,92.72,-531.38,-29.54,4.03
Glucose,5,13,303,-524.0,96.34,-514.47,-27.76,3.32
Glucose,5,14,196,-575.44,111.63,-585.73,-28.04,3.54
Glucose,5,15,119,-603.7,110.9,-562.37,-27.35,2.68
Glucose,5,16,68,-667.99,121.11,-651.63,-28.51,3.98
Glucose,5,17,28,-679.61,126.46,-727.78,-27.23,3.62
Glucose,5,18,5,-638.15,50.7,-665.91,-28.0,1.44
Glucose,5,19,5,-799.25,128.14,-792.48,-29.49,2.37
Glucose,5,20,4,-887.98,114.86,-943.82,-29.75,1.49
GlucoseAmm,4,1,10,-39.16,5.23,-41.01,-39.16,5.23
GlucoseAmm,4,2,67,-63.63,21.65,-65.18,-31.81,10.82
GlucoseAmm,4,3,196,-95.53,33.77,-89.22,-31.65,11.03
GlucoseAmm,4,4,339,-143.22,44.47,-142.67,-34.12,10.01
GlucoseAmm,4,5,351,-221.07,50.29,-216.9,-32.47,5.35
GlucoseAmm,4,6,464,-241.5,70.67,-229.96,-32.09,6.01
GlucoseAmm,4,7,209,-293.32,88.42,-277.52,-29.58,3.79
GlucoseAmm,4,8,143,-429.23,113.41,-443.95,-32.66,3.91
GlucoseAmm,4,9,65,-465.92,74.91,-462.37,-33.18,3.59
GlucoseAmm,4,10,78,-507.37,54.52,-502.14,-32.33,2.6
GlucoseAmm,4,11,165,-529.87,60.81,-523.99,-31.21,1.73
GlucoseAmm,4,12,116,-552.1,74.17,-563.33,-30.64,1.34
GlucoseAmm,4,13,86,-560.57,56.37,-554.22,-29.12,1.71
GlucoseAmm,4,14,26,-507.64,44.12,-492.24,-28.2,0.75
GlucoseAmm,4,15,11,-569.13,52.36,-547.58,-31.02,2.83
GlucoseAmm,4,16,30,-613.21,40.0,-619.39,-30.29,1.62
GlucoseAmm,4,17,35,-632.63,54.21,-626.12,-29.32,1.01
GlucoseAmm,4,18,5,-621.33,9.23,-624.15,-29.59,0.44
PyruvicAcid,6,3,1,-31.96,0.0,-31.96,-10.65,0.0
