Index,dG_prime_kJ_mol,sigma_kJ_mol,estimable,status
37709_0,,,False,compound_missing
100001_0,-34.339703420693894,6.855124613604928,True,ok
100013_0,-34.9912601752564,4.251488055665673,True,ok
100025_0,-35.589582374527254,1.5313855349933148,True,ok
100037_0,-37.92622245682986,1.419471985772473,True,ok
100049_0,-41.28220110726318,1.1481468746584909,True,ok
10005_0,-29.595381888228985,1.4281666835478557,True,ok
10006_1,-22.86850486465903,1.5145585451094714,True,ok
100083_0,-35.472737182693436,1.5313855349933152,True,ok
100095_0,-31.736426972393247,4.4500398483857895,True,ok
100105_0,-34.874414983422696,4.251488055665673,True,ok
100117_0,-44.42018911829251,1.7164798977213307,True,ok
100129_0,-39.55851128905476,1.4872340339884904,True,ok
10013_0,-22.86850486465869,1.5145585451094714,True,ok
10014_1,-29.595381888228758,1.4281666835478557,True,ok
100160_0,-36.481259609797746,4.161917029357384,True,ok
100170_0,-47.06129203550108,1.562872647719744,True,ok
100181_0,-38.94478100340035,1.7859450248094442,True,ok
100195_0,-42.19961420626322,1.2195452315805004,True,ok
100205_0,-38.4633039959632,4.374406742121653,True,ok
10021_0,-22.86850486465886,1.5145585451094714,True,ok
10022_1,-29.59264229068515,1.4281666835478557,True,ok
100242_0,-44.42018911829234,1.7164798977213307,True,ok
100253_0,-39.6753564808883,1.4872340339884904,True,ok
100265_0,336.9622199302818,100000.00009435901,False,ok
100277_0,333.7073867274189,100000.00008752091,False,ok
100289_0,334.43788554515754,100000.000083552,False,ok
1002_0,401.9484649908356,100000.00009803924,False,ok
100312_0,-41.28220110726329,1.1481468746584909,True,ok
100323_0,-35.472737182693606,1.5313855349933152,True,ok
100339_0,-39.53297839129425,1.2709838388357053,True,ok
10034_0,-22.868504864658917,1.5145585451094714,True,ok
100363_0,-39.55838309126136,1.4872340339884902,True,ok
100375_0,-46.91107190492869,2.0105493673483763,True,ok
10038_0,-29.59538188822887,1.4281666835478557,True,ok
100403_0,-35.47273718269372,1.5313855349933148,True,ok
100415_0,-32.21790397983057,2.0370229565848534,True,ok
10042_0,-29.59538188822887,1.428166683547856,True,ok
100443_0,-42.19961420626362,1.2195452315805002,True,ok
100455_0,-35.47273718269355,1.531385534993315,True,ok
10046_0,-25.205144946961695,1.591969202483848,True,ok
100485_0,-35.47273718269355,1.531385534993315,True,ok
100497_0,-42.67105509423408,1.784923438073647,True,ok
10050_0,-22.868504864658576,1.5145585451094714,True,ok
10051_1,-29.59529521515708,1.428166683547856,True,ok
100532_0,-51.49863679696722,5.344868340838667,True,ok
100543_0,-49.89179217059234,5.489325607364318,True,ok
100557_0,-35.47273718269349,1.531385534993315,True,ok
100568_0,-42.19961420626356,1.2195452315805004,True,ok
100579_0,-66.54762893403944,4.193151533430427,True,ok
100590_0,-64.94078430766456,4.368730497875682,True,ok
100603_0,-41.16535591542947,1.1481468746584909,True,ok
100613_0,-41.16535591542947,1.1481468746584909,True,ok
100625_0,-42.316459398097436,1.2195452315805004,True,ok
100635_0,-39.06156340584175,1.785945024809444,True,ok
100645_0,-42.27391461349805,1.2195452315805007,True,ok
100653_0,-43.92330402447203,1.0064842390919864,True,ok
100669_0,-42.31645939809715,1.2195452315805004,True,ok
100678_0,-44.42018911829234,1.7164798977213307,True,ok
100690_0,-39.6753564808883,1.4872340339884904,True,ok
1006_0,309.44792820766656,100000.00025629513,False,ok
100714_0,-42.3153932971141,1.2195452315805007,True,ok
100725_0,-43.65065733584336,1.8647239333747192,True,ok
100736_0,-41.92696751763452,1.99713313735811,True,ok
10074_1,-22.868504864658632,1.5145585451094714,True,ok
100760_0,-61.54780922302666,4.569765419118111,True,ok
10076_0,-22.868504864658632,1.5145585451094714,True,ok
100782_0,-62.27838470051449,4.4669378112595695,True,ok
100792_0,311.7121799179612,100000.00024467077,False,ok
100807_0,344.12102874326297,100000.00017033813,False,ok
