Index,dG_prime_kJ_mol,sigma_kJ_mol,estimable,status
138727_1,,,False,compound_missing
139388_0,,,False,compound_missing
139699_1,,,False,compound_missing
141319_1,,,False,compound_missing
141450_0,,,False,compound_missing
141715_0,,,False,compound_missing
141719_2,,,False,compound_missing
141745_0,,,False,compound_missing
141767_0,,,False,compound_missing
142571_0,,,False,compound_missing
143040_0,,,False,compound_missing
143124_0,,,False,compound_missing
143135_1,,,False,compound_missing
143301_1,,,False,compound_missing
143381_1,,,False,compound_missing
143455_0,,,False,compound_missing
152537_0,,,False,compound_missing
152547_0,,,False,compound_missing
194622_0,,,False,compound_missing
194627_0,,,False,compound_missing
194633_1,,,False,compound_missing
194640_0,,,False,compound_missing
196672_0,,,False,compound_missing
196701_0,,,False,compound_missing
197111_0,,,False,compound_missing
197214_0,,,False,compound_missing
206043_0,,,False,compound_missing
207629_0,,,False,compound_missing
215556_0,,,False,compound_missing
216801_0,,,False,compound_missing
294745_0,,,False,compound_missing
295092_0,,,False,compound_missing
295367_0,,,False,compound_missing
295375_0,,,False,compound_missing
295381_1,,,False,compound_missing
295389_1,,,False,compound_missing
295639_0,,,False,compound_missing
295645_0,,,False,compound_missing
295653_0,,,False,compound_missing
295662_0,,,False,compound_missing
295671_1,,,False,compound_missing
295679_0,,,False,compound_missing
306154_0,,,False,compound_missing
306159_0,,,False,compound_missing
306164_1,,,False,compound_missing
307734_0,,,False,compound_missing
310519_0,,,False,compound_missing
310525_1,,,False,compound_missing
310532_1,,,False,compound_missing
310541_0,,,False,compound_missing
310783_0,,,False,compound_missing
310901_0,,,False,compound_missing
311011_0,,,False,compound_missing
311684_0,,,False,compound_missing
311697_0,,,False,compound_missing
311707_0,,,False,compound_missing
311718_0,,,False,compound_missing
311731_0,,,False,compound_missing
312076_0,,,False,compound_missing
312580_0,,,False,compound_missing
313026_0,,,False,compound_missing
317592_0,,,False,compound_missing
317605_1,,,False,compound_missing
323029_0,,,False,compound_missing
323502_0,,,False,compound_missing
324779_0,,,False,compound_missing
325035_0,,,False,compound_missing
325223_0,,,False,compound_missing
329175_0,,,False,compound_missing
332165_0,,,False,compound_missing
342094_0,,,False,compound_missing
68320_1,,,False,compound_missing
68328_1,,,False,compound_missing
75283_1,,,False,compound_missing
75797_0,,,False,compound_missing
78084_0,,,False,compound_missing
78090_1,,,False,compound_missing
78098_1,,,False,compound_missing
78299_1,,,False,compound_missing
78309_0,,,False,compound_missing
78428_0,,,False,compound_missing
100001_0,14.962326600610822,1.8777936945172358,True,ok
100009_0,-10.195039594364971,1.43058089589962,True,ok
100015_0,-10.195039594364971,1.43058089589962,True,ok
100023_0,-10.195039594365085,1.4305808958996198,True,ok
10002_1,-10.345259724937705,0.8681795068803965,True,ok
100036_1,-10.195039594365085,1.4305808958996196,True,ok
100044_1,14.962326600610709,1.8777936945172364,True,ok
100052_0,-10.195039594364971,1.4305808958996193,True,ok
100060_1,14.962326600610822,1.8777936945172362,True,ok
10006_0,373.2001854874374,100000.0001201519,False,ok
100076_1,1.0241623773497963,1.1713947853498277,True,ok
100086_0,1.0241623773497963,1.1713947853498274,True,ok
100092_0,14.962326600610709,1.8777936945172362,True,ok
100100_0,1.0241623773497963,1.1713947853498274,True,ok
100108_0,1.0241623773498532,1.1713947853498277,True,ok
100114_1,1.0241623773498532,1.1713947853498277,True,ok
100124_0,14.962326600610595,1.8777936945172358,True,ok
100130_0,14.962326600610709,1.8777936945172355,True,ok
100138_0,-3.6183827013679206,0.9361853552194982,True,ok
100146_0,-3.6183827013678638,0.9361853552194981,True,ok
100152_0,1.0241623773497395,1.1713947853498277,True,ok
10015_1,379.9264402375193,100000.00011948445,False,ok
100168_0,-3.6183827013679775,0.9361853552194982,True,ok
100176_0,-3.61838270136775,0.9361853552194982,True,ok
100184_0,14.962326600610709,1.877793694517236,True,ok
100190_0,-10.195039594365085,1.4305808958996196,True,ok
100198_0,-10.195039594364971,1.4305808958996193,True,ok
100205_1,14.962326600610822,1.8777936945172362,True,ok
100213_0,-3.61838270136775,0.9361853552194983,True,ok
100219_0,-3.6183827013678638,0.9361853552194982,True,ok
100227_0,-3.61838270136775,0.9361853552194982,True,ok
100237_0,-3.6183827013678638,0.9361853552194982,True,ok
100248_0,-3.6183827013678638,0.9361853552194982,True,ok
10025_0,-10.345259724937819,0.8681795068803966,True,ok
100273_0,-3.6182735866019584,0.9361853552194982,True,ok
100283_0,-3.6183827013679775,0.9361853552194982,True,ok
100295_0,14.695454009927403,2.348430618993176,True,ok
100303_1,-10.195009541273748,1.4305808958996191,True,ok
100311_0,1.0241623773498532,1.1713947853498277,True,ok
10031_0,-10.345259724937932,0.8681795068803966,True,ok
100327_1,-10.345258110981945,0.8681795068803966,True,ok
100337_1,14.962326600610709,1.8777936945172358,True,ok
100344_0,-3.61838270136775,0.9361853552194982,True,ok
100351_1,-10.195037417198819,1.4305808958996193,True,ok
100356_1,1.0241645545162328,1.1713947853498274,True,ok
100362_1,-10.345257547771439,0.8681795068803964,True,ok
100369_0,-1.3124755277864324,0.8008297994873768,True,ok
100377_1,-10.195037417198819,1.4305808958996193,True,ok
100383_0,-1.312473248013589,0.8008297994873768,True,ok
100391_1,-10.345255933815679,0.8681795068803966,True,ok
100398_0,1.024164554516119,1.1713947853498274,True,ok
100402_1,-10.345257547771553,0.8681795068803966,True,ok
100411_1,-10.345257547771439,0.8681795068803966,True,ok
100419_1,-10.345257547771666,0.8681795068803965,True,ok
100426_0,1.0241645545162328,1.1713947853498277,True,ok
100434_1,-5.702712469053722,0.9315174901663523,True,ok
100441_1,-5.221239580509575,1.3923039050580552,True,ok
100448_1,-10.345257547771439,0.8681795068803964,True,ok
100458_1,4.8557124012641,4.0300704100587765,True,ok
100466_0,-5.955020606504149,0.7805433064575082,True,ok
100478_0,-10.195037417198705,1.430580895899619,True,ok
100482_1,-5.552492338480988,1.4960306249853896,True,ok
100492_1,-10.345257547771553,0.8681795068803965,True,ok
100502_0,-10.34525754777161,0.8681795068803966,True,ok
100509_0,-5.702712469053836,0.9315174901663522,True,ok
100517_0,-10.345257547771439,0.8681795068803966,True,ok
100523_0,-5.955020606504263,0.7805433064575082,True,ok
100533_0,-10.345257547771325,0.8681795068803965,True,ok
10053_0,6.323016501733605,4.0300704100587765,True,ok
100548_0,-10.345257547771439,0.8681795068803966,True,ok
100556_0,19.337969035553897,2.398971532956497,True,ok
100563_0,-1.3124754770738605,0.8008297994873768,True,ok
100574_0,-1.3124754770735763,0.8008297994873766,True,ok
100580_1,-5.70271013856825,0.9315174901663522,True,ok
100594_0,19.33797126343279,2.398971532956497,True,ok
1005_0,368.5708400304631,100000.0001659535,False,ok
100608_0,-5.955020555791407,0.780543306457508,True,ok
100619_0,12.625688746186938,1.8524296635459208,True,ok
100625_1,-5.552492287768359,1.49603062498539,True,ok
100632_0,-10.34525749705881,0.8681795068803965,True,ok
10063_1,-10.345259724937819,0.8681795068803965,True,ok
100651_0,-1.3124722049157072,0.8008297994873768,True,ok
10065_0,-10.345259724937819,0.8681795068803965,True,ok
100670_0,-10.195036374100596,1.430580895899619,True,ok
100678_0,12.625688095525902,1.8524296635459212,True,ok
100683_0,-5.552492938429509,1.4960306249853905,True,ok
100690_0,12.625688095525902,1.8524296635459212,True,ok
100697_0,-5.5524929384293955,1.4960306249853907,True,ok
100705_0,-10.34525814772013,0.8681795068803966,True,ok
