basis,network,target,target_steps,controls,control_median_steps,control_min_steps,control_max_steps,controls_strictly_faster,p_value,percentile,mean_tanimoto_of_controls
estimable_only,Formose,Deoxyribose,3,50,5,2,11,1,0.0392,2.0,0.408
estimable_only,Formose,Ribose,2,50,5,1,13,1,0.0392,2.0,0.393
estimable_only,Formose,Threose,1,49,6,2,14,0,0.02,0.0,0.394
estimable_only,Formose,Glycerol,2,43,5,1,13,1,0.0455,2.3,0.369
estimable_only,Formose,Glyoxylate,6,50,6,1,13,23,0.4706,46.0,0.184
estimable_only,FormoseAmm,Deoxyribose,3,50,4,2,5,1,0.0392,2.0,0.415
estimable_only,FormoseAmm,Ribose,2,50,4,1,6,1,0.0392,2.0,0.404
estimable_only,FormoseAmm,Threose,1,47,3,2,6,0,0.0208,0.0,0.413
estimable_only,FormoseAmm,Glycerol,2,48,4,2,5,0,0.0204,0.0,0.336
estimable_only,FormoseAmm,Glyoxylate,3,50,4,2,6,1,0.0392,2.0,0.16
estimable_only,Glucose,Deoxyribose,11,50,8,1,13,33,0.6667,66.0,0.388
estimable_only,Glucose,Ribose,11,50,10,1,15,27,0.549,54.0,0.396
estimable_only,Glucose,Threose,3,47,9,1,15,1,0.0417,2.1,0.403
estimable_only,Glucose,Glyoxylate,11,49,11,1,16,24,0.5,49.0,0.216
estimable_only,GlucoseAmm,Threose,3,47,5,1,14,3,0.0833,6.4,0.41
estimable_only,GlucoseAmm,Glyoxylate,5,50,5,1,12,13,0.2745,26.0,0.188
with_unestimable,Formose,Deoxyribose,3,50,5,3,10,0,0.0196,0.0,0.428
with_unestimable,Formose,Ribose,2,50,4,1,10,1,0.0392,2.0,0.398
with_unestimable,Formose,Threose,1,49,6,2,10,0,0.02,0.0,0.404
with_unestimable,Formose,Glycerol,2,47,5,1,10,1,0.0417,2.1,0.363
with_unestimable,Formose,Glyoxylate,4,50,6,1,11,6,0.1373,12.0,0.209
with_unestimable,FormoseAmm,Deoxyribose,3,50,4,2,6,1,0.0392,2.0,0.417
with_unestimable,FormoseAmm,Ribose,2,50,4,1,5,1,0.0392,2.0,0.404
with_unestimable,FormoseAmm,Threose,1,47,3,2,5,0,0.0208,0.0,0.412
with_unestimable,FormoseAmm,Glycerol,2,49,4,2,5,0,0.02,0.0,0.314
with_unestimable,FormoseAmm,Glyoxylate,3,50,4,2,6,1,0.0392,2.0,0.178
with_unestimable,Glucose,Deoxyribose,3,50,5,2,7,2,0.0588,4.0,0.412
with_unestimable,Glucose,Ribose,4,50,5,1,9,4,0.098,8.0,0.396
with_unestimable,Glucose,Threose,2,49,5,1,11,1,0.04,2.0,0.395
with_unestimable,Glucose,Glycerol,4,45,5,2,11,7,0.1739,15.6,0.36
with_unestimable,Glucose,Glyoxylate,3,50,6,2,11,1,0.0392,2.0,0.2
with_unestimable,GlucoseAmm,Deoxyribose,3,50,4,2,6,2,0.0588,4.0,0.409
with_unestimable,GlucoseAmm,Ribose,4,50,5,1,8,7,0.1569,14.0,0.4
with_unestimable,GlucoseAmm,Threose,2,47,5,1,6,2,0.0625,4.3,0.411
with_unestimable,GlucoseAmm,Glycerol,4,48,5,2,7,6,0.1429,12.5,0.357
with_unestimable,GlucoseAmm,Glyoxylate,3,50,5,3,7,0,0.0196,0.0,0.175
with_unestimable,PyruvicAcid,Deoxyribose,7,50,8,5,10,3,0.0784,6.0,0.43
with_unestimable,PyruvicAcid,Ribose,8,50,8,3,11,16,0.3333,32.0,0.4
with_unestimable,PyruvicAcid,Threose,5,49,8,5,11,0,0.02,0.0,0.406
with_unestimable,PyruvicAcid,Glycerol,8,44,8,5,11,17,0.4,38.6,0.362
with_unestimable,PyruvicAcid,Glyoxylate,7,50,9,4,12,5,0.1176,10.0,0.203
