network,generation,target,depth_all_rules,depth_without_migration,survives,migration_reactions,spontaneous_reactions
Formose,6,Deoxyribose,3,,no,21278,139386
Formose,6,Ribose,2,2,yes,21278,139386
Formose,6,Threose,1,1,yes,21278,139386
Formose,6,Glycerol,2,2,yes,21278,139386
Formose,6,Glyoxylate,6,,no,21278,139386
FormoseAmm,4,Deoxyribose,3,4,yes,1511,54665
FormoseAmm,4,Ribose,2,2,yes,1511,54665
FormoseAmm,4,Threose,1,1,yes,1511,54665
FormoseAmm,4,Glycerol,2,2,yes,1511,54665
FormoseAmm,4,Glyoxylate,3,3,yes,1511,54665
Glucose,5,Deoxyribose,11,,no,10018,50815
Glucose,5,Ribose,11,,no,10018,50815
Glucose,5,Threose,3,,no,10018,50815
Glucose,5,Glycerol,,,n/a,10018,50815
Glucose,5,Glyoxylate,11,,no,10018,50815
GlucoseAmm,4,Deoxyribose,,,n/a,2993,44155
GlucoseAmm,4,Ribose,,,n/a,2993,44155
GlucoseAmm,4,Threose,3,,no,2993,44155
GlucoseAmm,4,Glycerol,,,n/a,2993,44155
GlucoseAmm,4,Glyoxylate,5,,no,2993,44155
PyruvicAcid,6,Deoxyribose,,,n/a,6511,56504
PyruvicAcid,6,Ribose,,,n/a,6511,56504
PyruvicAcid,6,Threose,,,n/a,6511,56504
PyruvicAcid,6,Glycerol,,,n/a,6511,56504
PyruvicAcid,6,Glyoxylate,,,n/a,6511,56504
