rule,reactions,median_dG_pH7.4,q1_dG_pH7.4,q3_dG_pH7.4,distinct_dG,share_exergonic,median_shift_pH7_to_11
Aldol Condensation,76279,-6.12,-22.87,-3.62,1529,0.809,0.0
Transamination (inverse),56320,-8.7,-8.7,0.03,248,0.615,9.65
Elimination2,54522,-2.86,-26.46,-0.43,93,0.762,0.0
"Michael Addition 0,2, ",46621,-39.42,-43.81,-34.12,1342,0.945,0.0
Knoevenagel H,41887,-10.73,-29.45,-7.7,1183,0.903,-0.0
Knoevenagel C,37185,-10.2,-26.95,-3.19,867,0.853,0.0
Elimination + enol to keto,36800,-41.01,-48.36,-36.93,89,1.0,-0.0
Retro Aldol,35951,8.98,3.62,26.95,1447,0.123,0.07
"Cannizarro 2, HCHO (oxidation)",28311,-68.79,-68.79,-68.79,42,1.0,-22.82
Hydration of C(=O)C,19795,41.01,36.93,45.4,70,0.0,-0.0
Hemiacetal Formation for 5 membered rings,19491,-0.27,-13.3,6.45,204,0.529,0.0
Knoevenagel H (inv),15602,13.37,7.7,29.6,814,0.078,-0.0
Hydration of C=C(O),13810,0.43,-0.4,3.69,51,0.273,0.0
Knoevenagel C (inverse),12843,13.52,3.62,26.95,534,0.132,-0.0
"Michael Addition 0,2, (reverse)",12600,38.94,33.35,45.29,777,0.029,-0.0
Hemiacetal Formation for 6 membered rings,11046,-6.5,-20.65,7.28,272,0.613,-0.21
Transamination,10185,8.55,-0.03,8.7,140,0.478,-2.88
Keto-enol migration twice,10126,-2.0,-2.0,2.0,72,0.545,0.0
Amadori/Heyns Rearrangement,8909,-23.89,-34.37,-11.76,453,0.965,-9.39
Mannich Addition,6345,-25.64,-32.89,-18.49,182,0.994,-10.77
"Strecker Degradation, HC",4903,-30.52,-33.41,-3.75,75,0.976,13.38
Hemiacetal Formation for 7 membered rings,4571,-14.27,-23.5,2.07,217,0.727,0.0
"Hemiacetal Formation for 5 membered rings, inverse",3641,4.92,-1.81,13.45,139,0.39,0.0
"Strecker Degradation, CC",3090,4.98,-21.8,4.98,49,0.424,7.66
Amadori Rearrangement,2838,-25.59,-26.17,-11.76,131,0.967,-10.79
"Hemiacetal Formation for 6 membered rings, inverse",1831,6.92,-3.75,19.05,153,0.322,0.0
Dehydration of Amines,1241,-3.68,-5.55,-0.43,53,0.922,3.25
