INCHIKEY	Generation	NetworkSmiles	MinimumPathwayLength	MinimumPathwayEnergy
YTBSYETUWUMLBZ	G1	C(C(C(CO)O)O)=O	2	-26.65
XBBIACPUMILHFE	G1	C(CN)(C(C(C(CO)O)O)O)=O	1	-20.34
ZGCHLOWZNKRZSN	G1	C(C(CC(C(CO)O)O)=O)=O	1	-41.01
RXVDSZVTHMJWNV	G1	C(CC(C(C(CO)O)O)=O)=O	1	-53.84
QBHBJCPWTMMDIG	G1	C(C(C(CC(CO)O)=O)O)=O	1	-97.97
LVYQXQPAYHNLQF	G1	C(CC(C=O)O)(C(CO)O)=O	1	-41.01
KTQQRSZBGCOSES	G1	C(C(C(C=O)O)O)(CCO)=O	1	-41.01
ZNSXGNZNZVWMBM	G1	C(C(C(CC(CO)=O)O)O)=O	1	-41.01
MKKWPESNDMZCAX	G1	C(C(C(C(C(C)=O)O)O)O)=O	1	-45.4
DRFVLWXFACEMHK	G1	C(CC(C(C(C=O)O)O)O)=O	1	-39.01
FOEXHEVNPRRHDY	G1	C(C(C(C(C(CO)O)O)N)O)=O	1	-11.61
