INCHIKEY	Generation	NetworkSmiles	MinimumPathwayLength	MinimumPathwayEnergy
YTBSYETUWUMLBZ	G1	C(C(C(CO)O)O)=O	1.0	-16.39
PYMYPHUHKUWMLA	G2	C(C(C(C(CO)O)O)O)=O	2.0	-45.99
JIDVIMQFVJVPPX	G2	C(C(C(CN)O)O)=O	2.0	-34.73
UQNPMNUVBRVOCQ	G2	C(C(C(CO)O)N)=O	2.0	-28.0
UQPHVQVXLPRNCX	G2	C(CO)(C(CO)O)=O	2.0	-18.39
WZDHWMRAASHPBX	G2	C(CN)(C(CO)O)=O	2.0	-36.73
PEDCQBHIVMGVHV	G2	C(C(CO)O)O	2.0	-63.01
UNXHWFMMPAWVPI	G2	C(C(C(CO)O)O)O	2.0	-41.34
RBNPOMFGQQGHHO	G2	C(C(CO)O)(O)=O	2.0	-62.79
JPIJQSOTBSSVTP	G2	C(C(C(CO)O)O)(O)=O	2.0	-46.56
MMZWUQKSIXGQLM	G2	C(C(CO)(C(CN)O)O)=O	2.0	-61.68
MGKXNCNVFOFGIA	G2	C(C(C(CO)O)(C(CN)O)O)=O	2.0	-45.45
OUEKYUKJSLEOIU	G2	C(C(CO)(CO)O)=O	2.0	-59.56999999999999
XUSNIIKGKKSRDZ	G2	C(C(CO)(C(CO)O)O)=O	2.0	-43.34
KXMAOQJMLAAVJY	G2	C(C(C(CO)N)O)=O	2.0	-28.0
FMAORJIQYMIRHF	G2	C1C(C(C(O)O1)O)O	2.0	-17.990000000000002
