INCHIKEY	Generation	NetworkSmiles	MinimumPathwayLength	MinimumPathwayEnergy
YTBSYETUWUMLBZ	G1	C(C(C(CO)O)O)=O	1	-16.39
PYMYPHUHKUWMLA	G2	C(C(C(C(CO)O)O)O)=O	2	-45.989999999999995
UQPHVQVXLPRNCX	G2	C(CO)(C(CO)O)=O	2	-18.39
PEDCQBHIVMGVHV	G2	C(C(CO)O)O	2	-63.01
UNXHWFMMPAWVPI	G2	C(C(C(CO)O)O)O	2	-41.34
RBNPOMFGQQGHHO	G2	C(C(CO)O)(O)=O	2	-62.79
JPIJQSOTBSSVTP	G2	C(C(C(CO)O)O)(O)=O	2	-46.56
OUEKYUKJSLEOIU	G2	C(C(CO)(CO)O)=O	2	-59.56999999999999
XUSNIIKGKKSRDZ	G2	C(C(CO)(C(CO)O)O)=O	2	-43.34
FMAORJIQYMIRHF	G2	C1C(C(C(O)O1)O)O	2	-17.990000000000002
XIIKTJZKWRJKSI	G3	C(C(C(C(CO)=O)O)O)=O	NaN	NaN
DPJVCISCLBZLDP	G3	C(CC(C(C(CO)=O)O)O)=O	NaN	NaN
HWDQZMAZCTUFGO	G3	C(C(C=O)C(CO)(CO)O)=O	NaN	NaN
HCDKHGUYCIRFGC	G3	C(C(C)(C(C(CO)=O)O)O)=O	3	-118.35
KFHNTUHHTDAEOF	G3	C(C)(C(C(C(CO)=O)O)O)=O	3	-123.0
GBYNVYGBOCCFCK	G3	C(C(CC(CO)(CO)O)=O)=O	NaN	NaN
MRKRITSFTIHTAQ	G3	C(CO)(C(C(C)O)O)=O	3	-116.34
RLJYTLNHFAJLAE	G3	C(CC(CO)(CO)O)=O	3	-107.29999999999998
IWASYLACXSGJPG	G3	C(C(C(C)O)O)(C(CO)O)=O	3	-100.1
IDBTYBMNHBMAOU	G3	C(CC(CO)(C(CO)O)O)=O	3	-91.07
HQMRFNOKWQUHQC	G3	C(CC(C(CO)(CO)O)O)=O	3	-136.89
AKTMIDGTSNJTSP	G3	C(C(C=O)C(C(CO)O)O)=O	3	-107.87
ZGCHLOWZNKRZSN	G3	C(C(CC(C(CO)O)O)=O)=O	3	-116.6
ASJSAQIRZKANQN	G3	C(CC(C(CO)O)O)=O	3	-109.94
VRYALKFFQXWPIH	G3	C(CC(C(C(CO)O)O)O)=O	3	-93.71
WXYXERHRDKEISL	G3	C(C(CO)O)(C(CO)O)=O	3	-47.99
AVGPOAXYRRIZMM	G3	C(C(C(CO)(CO)O)O)=O	3	-43.349999999999994
ZAQJHHRNXZUBTE	G3	C(CO)(C(C(CO)O)O)=O	3	-47.989999999999995
FAGPJBHKKUOQAR	G3	C(C(CCO)(C(C=O)O)O)=O	3	-66.13
KTQQRSZBGCOSES	G3	C(C(C(C=O)O)O)(CCO)=O	3	-70.77
JOEMRRCMXVASPX	G3	C(C(C(CO)C(CO)O)=O)=O	3	-64.03999999999999
DRFVLWXFACEMHK	G3	C(CC(C(C(C=O)O)O)O)=O	3	-68.77
ZAZMXMODCOTURY	G3	C(C(C(CC(C=O)O)O)O)=O	3	-68.77
HIPAGLNATSXMFT	G3	C(C(C(CO)O)C(C=O)O)=O	3	-62.04
ZNSXGNZNZVWMBM	G3	C(C(C(CC(CO)=O)O)O)=O	3	-70.77000000000001
IEHDXMKHICIRFU	G3	C(CC(CO)(C(C=O)O)O)=O	3	-66.13
SSUDYWNAIOLNKR	G3	C(C(C(CO)=O)C(CO)O)=O	3	-64.05
RXVDSZVTHMJWNV	G3	C(CC(C(C(CO)O)O)=O)=O	3	-83.60000000000001
MKKWPESNDMZCAX	G3	C(C(C(C(C(C)=O)O)O)O)=O	3	-75.16
LTIXNERYDWMFRC	G3	C(C(C(C)(C(C=O)O)O)O)=O	NaN	NaN
QBHBJCPWTMMDIG	G3	C(C(C(CC(CO)O)=O)O)=O	3	-127.73
UFYGCFHQAXXBCF	G3	C(C(CCO)O)(O)=O	3	-72.67
VDSAQEDKJUSZPS	G3	C(C(C(C(CO)O)O)=O)=O	NaN	NaN
HEBKCHPVOIAQTA	G3	C(C(C(C(CO)O)O)O)O	3	-70.94
HXYJZJOQRLOUPP	G3	C(C(CO)(CO)O)O	3	-84.52
SDXWEZQDLHNYFR	G3	C(C(CO)(C(CO)O)O)O	3	-68.28999999999999
OJSKBWPAXWEHAA	G3	C(C(CO)(CO)O)(O)=O	3	-89.74000000000001
CLUAZGGJJOMMPW	G3	C(CO)(C(CO)(C(C)O)O)=O	3	-97.46
WKRKESUWTIYINN	G3	C(C(CO)(C(C)O)O)(O)=O	3	-141.85999999999999
YAVWISVERGTOHY	G3	C(C(CO)(C(C=O)O)O)=O	NaN	NaN
KMZKNPYVLFCBJR	G3	C(C(CO)(C(CC=O)O)O)=O	3	-111.94999999999999
LLKJMSOIEJAFOF	G3	C(C(CO)(C(C=O)(C)O)O)=O	3	-113.71000000000001
KSPZMTWVXVIPRP	G3	C(C(CO)(C(C(C)=O)O)O)=O	3	-118.35
JQKDKERJPQSZLX	G3	C(C(CO)(C(C)O)O)=O	3	-111.69
DXBKAMXGCDVWGR	G3	C(C(C(CO)O)(C(C)O)O)=O	3	-95.46
KNWXMEXZFWGIPP	G3	C(CO)(C(CO)(CO)O)=O	3	-45.34
UZMKAOBHDMJGHD	G3	C(C(C(C)=O)(C(CO)O)O)=O	3	-72.52
JYPFTOPPKDHQEW	G3	C(C(C(C=O)O)O)(O)=O	NaN	NaN
WNQQMTOQQGYXCH	G3	C(CC(C(C(O)=O)O)O)=O	4	-115.17000000000002
AZFXWNDHXWNFRE	G3	C(C(C)(C(C(O)=O)O)O)=O	NaN	NaN
HDGNQJMIIPXNJZ	G3	C(C(C(C(C)=O)O)O)(O)=O	4	-121.56
LOUGYXZSURQALL	G3	C(C(C(C)O)O)(O)=O	NaN	NaN
TXIVWMLJMZFCNJ	G3	C(C(C(CO)O)(CC=O)O)=O	3	-66.13
LVYQXQPAYHNLQF	G3	C(CC(C=O)O)(C(CO)O)=O	3	-70.77
RHBBDYUCVCIMPI	G3	C(C(CO)(CC(CO)=O)O)=O	3	-113.94999999999999
XXCROCVPGJNKKK	G3	C(C(C(CCO)=O)(CO)O)=O	3	-113.94999999999999
VSCZDXPKQZQUMT	G3	C(C(C(C(CO)O)=O)CO)=O	3	-109.87
YVXXPGROVYTBAL	G3	C(C(CC(CO)=O)O)(O)=O	4	-117.17000000000002
GEKHDLNOKHNDDY	G3	C(C(C(CCO)=O)O)(O)=O	4	-117.17000000000002
FNWZJGILAMUKQY	G3	C(CC(C(CO)O)=O)(O)=O	4	-117.17000000000002
UQIGQRSJIKIPKZ	G3	C(C(CC(CO)O)=O)(O)=O	4	-117.17000000000002
HMFHBZSHGGEWLO	G3	C(C1C(C(C(O)O1)O)O)O	3	-47.44
BFZQQKBQRCDWST	G3	C1C(C(C(O)O1)(CO)O)O	3	-50.76
SRBFZHDQGSBBOR	G3	C1C(C(C(C(O)O1)O)O)O	3	-50.3
CUOKHACJLGPRHD	G3	C1(C(C(C(CO)O1)O)O)=O	4	-96.28999999999999
XXBSUZSONOQQGK	G3	C1(C(C(C(CO1)O)O)O)=O	4	-99.14000000000001
