Index	Reagents	Products	Rule	Energy Change
5_0	['C=O', 'C(CO)=O']	['C(C(CO)O)=O']	Aldol Condensation	-32.62
5_1	['C=O', 'C(CO)=O']	['C(C(CO)O)=O']	Knoevenagel H	-32.62
7_0	['C(CO)=O', 'C(CO)=O']	['C(C(C(CO)O)O)=O']	Aldol Condensation	-16.39
7_1	['C(CO)=O', 'C(CO)=O']	['C(C(C(CO)O)O)=O']	Knoevenagel H	-16.39
10_0	['N', 'C(CO)=O']	['O', 'C(CN)=O']	Amadori/Heyns Rearrangement	-21.36
13_0	['C=O', 'C=O', 'O']	['CO', 'C(O)=O']	Cannizarro 2, HCHO (oxidation)	-37.85
13_1	['C=O', 'C=O', 'O']	['CO', 'C(O)=O']	Cannizarro 2, HCHO (reduction)	-37.85
15_0	['C=O', 'C(CO)=O', 'O']	['C(O)=O', 'C(CO)O']	Cannizarro 2, HCHO (oxidation)	-27.97
17_0	['C=O', 'C(CO)=O', 'O']	['CO', 'C(CO)(O)=O']	Cannizarro 2, HCHO (reduction)	-52.92
25_0	['C=O', 'C(CN)=O']	['C(C(CO)N)=O']	Aldol Condensation	-22.87
25_1	['C=O', 'C(CN)=O']	['C(C(CO)N)=O']	Knoevenagel H	-22.87
27_0	['C(CO)=O', 'C(C(CO)O)=O']	['C(C(C(C(CO)O)O)O)=O']	Aldol Condensation	-13.37
27_1	['C(CO)=O', 'C(C(CO)O)=O']	['C(C(C(C(CO)O)O)O)=O']	Knoevenagel H	-13.37
29_0	['C(CO)=O', 'C(C(C(CO)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)=O']	Aldol Condensation	-13.37
29_1	['C(CO)=O', 'C(C(C(CO)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)=O']	Knoevenagel H	-13.37
31_0	['C(CO)=O', 'C(CN)=O']	['C(C(C(CN)O)O)=O']	Aldol Condensation	-13.37
31_1	['C(CO)=O', 'C(CN)=O']	['C(C(C(CN)O)O)=O']	Knoevenagel H	-13.37
33_0	['C(CO)=O', 'C(CN)=O']	['C(C(C(CO)O)N)=O']	Aldol Condensation	-6.64
33_1	['C(CO)=O', 'C(CN)=O']	['C(C(C(CO)O)N)=O']	Knoevenagel H	-6.64
39_0	['C(C(CO)O)=O']	['C(CO)(CO)=O']	Keto-enol migration twice	-2.18
41_0	['C(C(C(CO)O)O)=O']	['C(CO)(C(CO)O)=O']	Keto-enol migration twice	-2.0
47_0	['N', 'C(C(CO)O)=O']	['O', 'C(CO)(CN)=O']	Amadori/Heyns Rearrangement	-20.34
49_0	['N', 'C(C(C(CO)O)O)=O']	['O', 'C(CN)(C(CO)O)=O']	Amadori/Heyns Rearrangement	-20.34
53_0	['C=O', 'O', 'C(C(CO)O)=O']	['C(O)=O', 'C(C(CO)O)O']	Cannizarro 2, HCHO (oxidation)	-30.39
55_0	['C=O', 'O', 'C(C(C(CO)O)O)=O']	['C(O)=O', 'C(C(C(CO)O)O)O']	Cannizarro 2, HCHO (oxidation)	-24.95
57_0	['C=O', 'O', 'C(CN)=O']	['C(O)=O', 'C(CN)O']	Cannizarro 2, HCHO (oxidation)	-13.99
59_0	['C=O', 'O', 'C(C(CO)O)=O']	['CO', 'C(C(CO)O)(O)=O']	Cannizarro 2, HCHO (reduction)	-30.17
61_0	['C=O', 'O', 'C(C(C(CO)O)O)=O']	['CO', 'C(C(C(CO)O)O)(O)=O']	Cannizarro 2, HCHO (reduction)	-30.17
63_0	['C=O', 'O', 'C(CN)=O']	['CO', 'C(CN)(O)=O']	Cannizarro 2, HCHO (reduction)	-34.04
65_0	['C(C(CO)O)=O', 'C(C(CO)O)=O']	['C(C(CO)(C(C(CO)O)O)O)=O']	Knoevenagel C	-7.7
65_1	['C(C(CO)O)=O', 'C(C(CO)O)=O']	['C(C(CO)(C(C(CO)O)O)O)=O']	Knoevenagel H	-7.7
67_0	['C(C(CO)O)=O', 'C(CN)=O']	['C(C(CO)(C(CN)O)O)=O']	Knoevenagel C	-7.7
