Index	Reagents	Products	Rule	Energy Change
11_0	['C=O', 'C=O', 'O']	['CO', 'C(O)=O']	Cannizarro 2, HCHO (oxidation)	-37.85
11_1	['C=O', 'C=O', 'O']	['CO', 'C(O)=O']	Cannizarro 2, HCHO (reduction)	-37.85
61_0	['C(N)=N', 'C#CC(N)=N']	['C(NC=CC(N)=N)=N']	Alkyne Addition, N, HC	-166.6
63_0	['C(N)=N', 'C#CC(N)=O']	['C(NC(C(N)=O)=C)=N']	Alkyne Addition, N, HC	-134.14
65_0	['C(N)=N', 'C#CC(N)=O']	['C(NC=CC(N)=O)=N']	Alkyne Addition, N, HC	-135.75
65_1	['C(N)=N', 'C#CC(N)=O']	['C(NC=CC(N)=O)=N']	Michael Addition 1,0, 	-135.75
69_0	['C#CC(N)=N', 'C#CC(N)=N']	['C#CC(NC=CC(N)=N)=N']	Alkyne Addition, N, HC	-166.6
77_0	['C#CC(N)=N', 'C#CC(N)=O']	['C#CC(NC=CC(N)=O)=N']	Alkyne Addition, N, HC	-135.75
77_1	['C#CC(N)=N', 'C#CC(N)=O']	['C#CC(NC=CC(N)=O)=N']	Michael Addition 1,0, 	-135.75
90_0	['C#CC#N', 'C(N)=N']	['C(C(NC=N)=C)#N']	Alkyne Addition, N, HC	-134.14
92_0	['C#CC#N', 'C(N)=N']	['C(C=CNC=N)#N']	Alkyne Addition, N, HC	-135.75
92_1	['C#CC#N', 'C(N)=N']	['C(C=CNC=N)#N']	Michael Addition 3,0, 	-135.75
94_0	['C#CC#N', 'C#CC(N)=N']	['C(C(NC(C#C)=N)=C)#N']	Alkyne Addition, N, HC	-134.14
96_0	['C#CC#N', 'C#CC(N)=N']	['C(C=CNC(C#C)=N)#N']	Alkyne Addition, N, HC	-135.75
96_1	['C#CC#N', 'C#CC(N)=N']	['C(C=CNC(C#C)=N)#N']	Michael Addition 3,0, 	-135.75
110_0	['C=O', 'C(CO)#N']	['C(C(CO)O)#N']	Knoevenagel H	-29.6
112_0	['C=O', 'C(CN)#N']	['C(C(CO)N)#N']	Knoevenagel H	-22.87
113_0	['C(C(N)=C)#N']	['N', 'C#CC#N']	Alkyne Addition, N, HH, inverse	-192.82
114_0	['C(C=CN)#N']	['N', 'C#CC#N']	Alkyne Addition, N, HH, inverse	-191.21
121_0	['C(C(N)=C)#N', 'C(C(N)=C)#N']	['C(C(NC(C(N)=C)=N)=C)#N']	Nitrile Amination	-184.29
123_0	['C(C(N)=C)#N', 'C(C=CN)#N']	['C(C=CNC(C(N)=C)=N)#N']	Nitrile Amination	-184.29
125_0	['C(C(N)=C)#N', 'C(C=CN)#N']	['C(C(NC(C=CN)=N)=C)#N']	Nitrile Amination	-184.29
127_0	['C(C(N)=C)#N', 'C(C(C#N)=C)#N']	['C(C(C(NC(C#N)=C)=N)=C)#N']	Nitrile Amination	-168.45
129_0	['C(C(N)=C)#N', 'C(C=CC#N)#N']	['C(C=CC(NC(C#N)=C)=N)#N']	Nitrile Amination	-184.29
135_0	['C(C(N)=C)#N', 'C(C=N)#N']	['C(C(NC(C=N)=N)=C)#N']	Nitrile Amination	-168.45
137_0	['C(C(N)=C)#N', 'C(CO)#N']	['C(C(NC(CO)=N)=C)#N']	Nitrile Amination	-184.29
139_0	['C(C(N)=C)#N', 'C(CN)#N']	['C(CNC(C(N)=C)=N)#N']	Nitrile Amination	-184.29
141_0	['C(C(N)=C)#N', 'C(CN)#N']	['C(C(NC(CN)=N)=C)#N']	Nitrile Amination	-196.02
147_0	['C(C=CN)#N', 'C(C=CN)#N']	['C(C=CNC(C=CN)=N)#N']	Nitrile Amination	-184.29
149_0	['C(C=CN)#N', 'C(C(C#N)=C)#N']	['C(C(C(NC=CC#N)=N)=C)#N']	Nitrile Amination	-168.45
151_0	['C(C=CN)#N', 'C(C=CC#N)#N']	['C(C=CC(NC=CC#N)=N)#N']	Nitrile Amination	-184.29
157_0	['C(C=CN)#N', 'C(C=N)#N']	['C(C=CNC(C=N)=N)#N']	Nitrile Amination	-184.29
159_0	['C(C=CN)#N', 'C(CO)#N']	['C(C=CNC(CO)=N)#N']	Nitrile Amination	-184.29
161_0	['C(C=CN)#N', 'C(CN)#N']	['C(CNC(C=CN)=N)#N']	Nitrile Amination	-184.29
163_0	['C(C=CN)#N', 'C(CN)#N']	['C(C=CNC(CN)=N)#N']	Nitrile Amination	-184.29
173_0	['C(C(C#N)=C)#N', 'C(CN)#N']	['C(C(C(NCC#N)=N)=C)#N']	Nitrile Amination	-168.45
183_0	['C(C=CC#N)#N', 'C(CN)#N']	['C(C=CC(NCC#N)=N)#N']	Nitrile Amination	-184.29
201_0	['C(C=N)#N', 'C(CN)#N']	['C(CNC(C=N)=N)#N']	Nitrile Amination	-121.76
207_0	['C(CO)#N', 'C(CN)#N']	['C(CNC(CO)=N)#N']	Nitrile Amination	-184.29
213_0	['C(CN)#N', 'C(CN)#N']	['C(CNC(CN)=N)#N']	Nitrile Amination	-196.02
228_0	['C#CC#N', 'C(C(N)=C)#N']	['C(C(NC(C#C)=N)=C)#N']	Nitrile Amination	-184.29
229_0	['C#CC#N', 'C(C=CN)#N']	['C(C=CNC(C#C)=N)#N']	Nitrile Amination	-184.29
235_0	['C#CC#N', 'C(CN)#N']	['C(CNC(C#C)=N)#N']	Nitrile Amination	-184.29
253_0	['O', 'C(N)=O']	['N', 'C(O)=O']	Amide Hydrolysis	-27.7
255_0	['O', 'C#CC(N)=O']	['N', 'C#CC(O)=O']	Amide Hydrolysis	-11.95
270_0	['O', 'C(C=CN)#N']	['C(C(CN)O)#N']	Deydration of Amines (inverse)	-27.14
270_1	['O', 'C(C=CN)#N']	['C(C(CN)O)#N']	Hydration of C=C(O)	-27.14
272_0	['O', 'C(C(C#N)=C)#N']	['C(C(C#N)(C)O)#N']	Hydration of C=C(O)	-2.92
278_0	['O', 'C(C(N)=C)#N']	['N', 'C(C(C)=O)#N']	Enamine Hydration and Elimination	-55.82
280_0	['O', 'C(C=CN)#N']	['N', 'C(CC=O)#N']	Enamine Hydration and Elimination	-47.82
282_0	['C(C(N)=C)#N', 'C(C(N)=C)#N']	['C(C(CNC(C#N)=C)N)#N']	Deamination of Vicinal Diamine, (inverse)	-12.94
282_1	['C(C(N)=C)#N', 'C(C(N)=C)#N']	['C(C(CNC(C#N)=C)N)#N']	Michael Addition 2,0, 	-12.94
284_0	['C(C(N)=C)#N', 'C(C=CN)#N']	['C(C(CNC=CC#N)N)#N']	Deamination of Vicinal Diamine, (inverse)	-12.94
284_1	['C(C(N)=C)#N', 'C(C=CN)#N']	['C(C(CNC=CC#N)N)#N']	Michael Addition 2,0, 	-12.94
286_0	['C(C(N)=C)#N', 'C(C=CN)#N']	['C(C(CN)NC(C#N)=C)#N']	Deamination of Vicinal Diamine, (inverse)	-38.9
288_0	['C(C(N)=C)#N', 'C(CN)#N']	['C(C(CNCC#N)N)#N']	Deamination of Vicinal Diamine, (inverse)	-12.94
288_1	['C(C(N)=C)#N', 'C(CN)#N']	['C(C(CNCC#N)N)#N']	Michael Addition 2,0, 	-12.94
290_0	['C(C=CN)#N', 'C(C=CN)#N']	['C(C(CN)NC=CC#N)#N']	Deamination of Vicinal Diamine, (inverse)	-38.9
292_0	['C(C=CN)#N', 'C(CN)#N']	['C(C(CN)NCC#N)#N']	Deamination of Vicinal Diamine, (inverse)	-38.9
294_0	['N', 'C(C(N)=C)#N']	['C(C(CN)N)#N']	Deamination of Vicinal Diamine, (inverse)	-12.78
294_1	['N', 'C(C(N)=C)#N']	['C(C(CN)N)#N']	Michael Addition 2,0, 	-12.78
295_0	['N', 'C(C=CN)#N']	['C(C(CN)N)#N']	Deamination of Vicinal Diamine, (inverse)	-11.18
297_0	['C(C(N)=C)#N', 'C(C(C#N)=C)#N']	['C(C(C#N)(C)NC(C#N)=C)#N']	Deamination 3 (inverse)	-10.0
299_0	['C(C(N)=C)#N', 'C(C(C#N)=C)#N']	['C(C(C#N)CNC(C#N)=C)#N']	Deamination 3 (inverse)	-12.94
299_1	['C(C(N)=C)#N', 'C(C(C#N)=C)#N']	['C(C(C#N)CNC(C#N)=C)#N']	Michael Addition 2,0, 	-12.94
301_0	['C(C(N)=C)#N', 'C(C=CC#N)#N']	['C(C(NC(C#N)CC#N)=C)#N']	Deamination 3 (inverse)	-11.33
301_1	['C(C(N)=C)#N', 'C(C=CC#N)#N']	['C(C(NC(C#N)CC#N)=C)#N']	Michael Addition 2,0, 	-11.33
303_0	['C(C=CN)#N', 'C(C(C#N)=C)#N']	['C(C(C#N)(C)NC=CC#N)#N']	Deamination 3 (inverse)	-10.0
305_0	['C(C=CN)#N', 'C(C(C#N)=C)#N']	['C(C(C#N)CNC=CC#N)#N']	Deamination 3 (inverse)	-12.94
305_1	['C(C=CN)#N', 'C(C(C#N)=C)#N']	['C(C(C#N)CNC=CC#N)#N']	Michael Addition 2,0, 	-12.94
307_0	['C(C=CN)#N', 'C(C=CC#N)#N']	['C(C=CNC(C#N)CC#N)#N']	Deamination 3 (inverse)	-11.33
307_1	['C(C=CN)#N', 'C(C=CC#N)#N']	['C(C=CNC(C#N)CC#N)#N']	Michael Addition 2,0, 	-11.33
309_0	['C(C(C#N)=C)#N', 'C(CN)#N']	['C(C(C#N)(C)NCC#N)#N']	Deamination 3 (inverse)	-10.0
311_0	['C(C(C#N)=C)#N', 'C(CN)#N']	['C(C(C#N)CNCC#N)#N']	Deamination 3 (inverse)	-12.94
311_1	['C(C(C#N)=C)#N', 'C(CN)#N']	['C(C(C#N)CNCC#N)#N']	Michael Addition 2,0, 	-12.94
313_0	['C(C=CC#N)#N', 'C(CN)#N']	['C(CC(C#N)NCC#N)#N']	Deamination 3 (inverse)	-11.33
313_1	['C(C=CC#N)#N', 'C(CN)#N']	['C(CC(C#N)NCC#N)#N']	Michael Addition 2,0, 	-11.33
323_0	['O', 'C(N)=N']	['N', 'C(N)=O']	Imine to Carbonyl	-24.25
323_1	['O', 'C(N)=N']	['N', 'C(N)=O']	Amidine to Amide Hydrolysis	-24.25
324_0	['O', 'C#CC(N)=N']	['N', 'C#CC(N)=O']	Imine to Carbonyl	-55.04
324_1	['O', 'C#CC(N)=N']	['N', 'C#CC(N)=O']	Amidine to Amide Hydrolysis	-55.04
326_0	['O', 'C(C=N)#N']	['N', 'C(C=O)#N']	Imine to Carbonyl	-1.13
344_0	['C(C(N)=C)#N', 'C(N)=N']	['C(C(CNC=N)N)#N']	Michael Addition 2,0, 	-312.17
346_0	['C(C(N)=C)#N', 'C#CC(N)=N']	['C(C(CNC(C#C)=N)N)#N']	Michael Addition 2,0, 	-312.17
348_0	['C(C(C#N)=C)#N', 'C(N)=N']	['C(C(C#N)CNC=N)#N']	Michael Addition 2,0, 	-312.17
350_0	['C(C(C#N)=C)#N', 'C#CC(N)=N']	['C(C(C#N)CNC(C#C)=N)#N']	Michael Addition 2,0, 	-312.17
352_0	['C(C=CC#N)#N', 'C(N)=N']	['C(CC(C#N)NC=N)#N']	Michael Addition 2,0, 	-11.33
354_0	['C(C=CC#N)#N', 'C#CC(N)=N']	['C(CC(C#N)NC(C#C)=N)#N']	Michael Addition 2,0, 	-294.73
356_0	['CO', 'C(C(N)=C)#N']	['C(C(CCO)N)#N']	Michael Addition 2,2, 	-50.15
358_0	['CO', 'C(C=CN)#N']	['C(CC(CO)N)#N']	Michael Addition 2,2, 	-76.12
360_0	['CO', 'C(C(C#N)=C)#N']	['C(C(C#N)CCO)#N']	Michael Addition 2,2, 	-50.15
362_0	['CO', 'C(C=CC#N)#N']	['C(C(CO)CC#N)#N']	Michael Addition 2,2, 	-48.55
364_0	['C(C(N)=C)#N', 'C(CO)#N']	['C(C(CC(C#N)O)N)#N']	Michael Addition 2,2, 	-43.81
366_0	['C(C(N)=C)#N', 'C(CN)#N']	['C(C(CC(C#N)N)N)#N']	Michael Addition 2,2, 	-37.08
368_0	['C(C=CN)#N', 'C(CO)#N']	['C(CC(C(C#N)O)N)#N']	Michael Addition 2,2, 	-42.2
370_0	['C(C=CN)#N', 'C(CN)#N']	['C(CC(C(C#N)N)N)#N']	Michael Addition 2,2, 	-35.47
372_0	['C(C(C#N)=C)#N', 'C(CO)#N']	['C(C(C#N)CC(C#N)O)#N']	Michael Addition 2,2, 	-43.81
374_0	['C(C(C#N)=C)#N', 'C(CN)#N']	['C(C(C#N)CC(C#N)N)#N']	Michael Addition 2,2, 	-37.08
376_0	['C(C=CC#N)#N', 'C(CO)#N']	['C(CC(C#N)C(C#N)O)#N']	Michael Addition 2,2, 	-42.2
378_0	['C(C=CC#N)#N', 'C(CN)#N']	['C(CC(C#N)C(C#N)N)#N']	Michael Addition 2,2, 	-35.47
386_0	['C(C(C)=O)#N', 'C(C(C)=O)#N']	['C(C(C)(CC(C#N)=O)O)#N']	Aldol Condensation	-1.31
388_0	['C(C(C)=O)#N', 'C(CC=O)#N']	['C(CC(CC(C#N)=O)O)#N']	Aldol Condensation	-5.96
392_0	['C(C(C)=O)#N', 'C(C=O)#N']	['C(C(CC(C#N)=O)O)#N']	Aldol Condensation	-5.96
394_0	['C(CC=O)#N', 'C(CC=O)#N']	['C(C(C=O)C(CC#N)O)#N']	Aldol Condensation	-3.62
394_1	['C(CC=O)#N', 'C(CC=O)#N']	['C(C(C=O)C(CC#N)O)#N']	Knoevenagel C	-3.62
396_0	['C(CC=O)#N', 'C(C=O)#N']	['C(C(C=O)C(C#N)O)#N']	Aldol Condensation	-3.62
396_1	['C(CC=O)#N', 'C(C=O)#N']	['C(C(C=O)C(C#N)O)#N']	Knoevenagel C	-3.62
398_0	['C=O', 'C(C(C)=O)#N']	['C(C(CCO)=O)#N']	Aldol Condensation	-25.21
400_0	['C=O', 'C(CC=O)#N']	['C(C(C=O)CO)#N']	Aldol Condensation	-22.87
400_1	['C=O', 'C(CC=O)#N']	['C(C(C=O)CO)#N']	Knoevenagel C	-22.87
402_0	['C=O', 'O', 'C(CC=O)#N']	['C(O)=O', 'C(CCO)#N']	Cannizarro 2, HCHO (oxidation)	-24.95
403_0	['C=O', 'O', 'C(C=O)#N']	['C(O)=O', 'C(CO)#N']	Cannizarro 2, HCHO (oxidation)	-24.95
405_0	['C=O', 'O', 'C(CC=O)#N']	['CO', 'C(CC(O)=O)#N']	Cannizarro 2, HCHO (reduction)	-30.17
407_0	['C=O', 'O', 'C(C=O)#N']	['CO', 'C(C(O)=O)#N']	Cannizarro 2, HCHO (reduction)	-30.17
411_0	['N', 'C#CC(NC(C(N)=N)=C)=N']	['C=C(C(N)=N)NC(C=CN)=N']	Alkyne Addition, N, HH	-141.4
419_0	['N', 'C#CC(NC(C(N)=O)=C)=N']	['C=C(C(N)=O)NC(C=CN)=N']	Alkyne Addition, N, HH	-144.53
531_0	['C#CC(NC(C(N)=C)=N)=N']	['C=C1C(NC(C=CN1)=N)=N']	Alkyne Addition, N, HC	-1.08
566_0	['C=C(C(N)=N)N', 'C#CC(NC=N)=N']	['C(NC(C(NC(C(N)=C)=N)=C)=N)=N']	Alkyne Addition, N, HC	-167.52
570_0	['C=C(C(N)=N)N', 'C#CC(NC=N)=N']	['C(NC(C=CNC(C(N)=C)=N)=N)=N']	Alkyne Addition, N, HC	-169.73
578_0	['C=C(C(N)=N)N', 'C(CNC(C#C)=N)#N']	['C(CNC(C=CNC(C(N)=C)=N)=N)#N']	Alkyne Addition, N, HC	-135.75
582_0	['C=C(C(N)=N)N', 'C#CC(NC=O)=N']	['C(NC(C(NC(C(N)=C)=N)=C)=N)=O']	Alkyne Addition, N, HC	-167.52
586_0	['C=C(C(N)=N)N', 'C#CC(NC=O)=N']	['C(NC(C=CNC(C(N)=C)=N)=N)=O']	Alkyne Addition, N, HC	-169.73
590_0	['C=C(C(N)=N)N', 'C#CC(NC=N)=O']	['C(NC(C(NC(C(N)=C)=N)=C)=O)=N']	Alkyne Addition, N, HC	-134.14
594_0	['C=C(C(N)=N)N', 'C#CC(NC=N)=O']	['C(NC(C=CNC(C(N)=C)=N)=O)=N']	Alkyne Addition, N, HC	-135.75
594_1	['C=C(C(N)=N)N', 'C#CC(NC=N)=O']	['C(NC(C=CNC(C(N)=C)=N)=O)=N']	Michael Addition 1,0, 	-135.75
598_0	['C=C(C(N)=N)N', 'C#CC(O)=O']	['C=C(C(NC(C(O)=O)=C)=N)N']	Alkyne Addition, N, HC	-134.14
602_0	['C=C(C(N)=N)N', 'C#CC(O)=O']	['C=C(C(NC=CC(O)=O)=N)N']	Alkyne Addition, N, HC	-135.75
602_1	['C=C(C(N)=N)N', 'C#CC(O)=O']	['C=C(C(NC=CC(O)=O)=N)N']	Michael Addition 1,0, 	-135.75
618_0	['C(N)=CC(N)=N', 'C#CC(NC=N)=N']	['C(NC(C=CNC(C=CN)=N)=N)=N']	Alkyne Addition, N, HC	-135.75
622_0	['C(N)=CC(N)=N', 'C(CNC(C#C)=N)#N']	['C(CNC(C(NC(C=CN)=N)=C)=N)#N']	Alkyne Addition, N, HC	-120.83
626_0	['C(N)=CC(N)=N', 'C(CNC(C#C)=N)#N']	['C(CNC(C=CNC(C=CN)=N)=N)#N']	Alkyne Addition, N, HC	-135.75
630_0	['C(N)=CC(N)=N', 'C#CC(NC=O)=N']	['C(NC(C(NC(C=CN)=N)=C)=N)=O']	Alkyne Addition, N, HC	-167.52
634_0	['C(N)=CC(N)=N', 'C#CC(NC=O)=N']	['C(NC(C=CNC(C=CN)=N)=N)=O']	Alkyne Addition, N, HC	-135.75
638_0	['C(N)=CC(N)=N', 'C#CC(NC=N)=O']	['C(NC(C(NC(C=CN)=N)=C)=O)=N']	Alkyne Addition, N, HC	-134.14
642_0	['C(N)=CC(N)=N', 'C#CC(NC=N)=O']	['C(NC(C=CNC(C=CN)=N)=O)=N']	Alkyne Addition, N, HC	-135.75
642_1	['C(N)=CC(N)=N', 'C#CC(NC=N)=O']	['C(NC(C=CNC(C=CN)=N)=O)=N']	Michael Addition 1,0, 	-135.75
646_0	['C(N)=CC(N)=N', 'C#CC(O)=O']	['C=C(C(O)=O)NC(C=CN)=N']	Alkyne Addition, N, HC	-134.14
650_0	['C(N)=CC(N)=N', 'C#CC(O)=O']	['C(NC(C=CN)=N)=CC(O)=O']	Alkyne Addition, N, HC	-135.75
650_1	['C(N)=CC(N)=N', 'C#CC(O)=O']	['C(NC(C=CN)=N)=CC(O)=O']	Michael Addition 1,0, 	-135.75
670_0	['C=C(C(N)=O)N', 'C#CC(NC=N)=O']	['C(NC(C=CNC(C(N)=O)=C)=O)=N']	Alkyne Addition, N, HC	-172.26
670_1	['C=C(C(N)=O)N', 'C#CC(NC=N)=O']	['C(NC(C=CNC(C(N)=O)=C)=O)=N']	Michael Addition 1,0, 	-172.26
688_0	['C(N)=CC(N)=O', 'C#CC(NC=O)=N']	['C(NC(C(NC=CC(N)=O)=C)=N)=O']	Alkyne Addition, N, HC	-170.65
720_0	['C(NC(C(N)=N)=C)=N', 'C#CC(O)=O']	['C(NC(C(NC(C(O)=O)=C)=N)=C)=N']	Alkyne Addition, N, HC	-466.75
722_0	['C(NC(C(N)=N)=C)=N', 'C#CC(O)=O']	['C(NC(C(NC=CC(O)=O)=N)=C)=N']	Alkyne Addition, N, HC	-434.99
722_1	['C(NC(C(N)=N)=C)=N', 'C#CC(O)=O']	['C(NC(C(NC=CC(O)=O)=N)=C)=N']	Michael Addition 1,0, 	-434.99
728_0	['C(NC=CC(N)=N)=N', 'C#CC(O)=O']	['C(NC=CC(NC(C(O)=O)=C)=N)=N']	Alkyne Addition, N, HC	-103.3
730_0	['C(NC=CC(N)=N)=N', 'C#CC(O)=O']	['C(NC=CC(NC=CC(O)=O)=N)=N']	Alkyne Addition, N, HC	-104.9
730_1	['C(NC=CC(N)=N)=N', 'C#CC(O)=O']	['C(NC=CC(NC=CC(O)=O)=N)=N']	Michael Addition 1,0, 	-104.9
752_0	['C(CNC(C(N)=N)=C)#N', 'C#CC(O)=O']	['C(CNC(C(NC(C(O)=O)=C)=N)=C)#N']	Alkyne Addition, N, HC	-134.14
754_0	['C(CNC(C(N)=N)=C)#N', 'C#CC(O)=O']	['C(CNC(C(NC=CC(O)=O)=N)=C)#N']	Alkyne Addition, N, HC	-135.75
754_1	['C(CNC(C(N)=N)=C)#N', 'C#CC(O)=O']	['C(CNC(C(NC=CC(O)=O)=N)=C)#N']	Michael Addition 1,0, 	-135.75
760_0	['C(CNC=CC(N)=N)#N', 'C#CC(O)=O']	['C(CNC=CC(NC(C(O)=O)=C)=N)#N']	Alkyne Addition, N, HC	-134.14
762_0	['C(CNC=CC(N)=N)#N', 'C#CC(O)=O']	['C(CNC=CC(NC=CC(O)=O)=N)#N']	Alkyne Addition, N, HC	-135.75
