Network	Generation	Smiles
Formose	G1	C(C(C(CO)O)O)=O
Formose	G2	C(C(C(C(CO)O)O)O)=O
Formose	G2	C(C(C(CO)O)O)(O)=O
Formose	G2	C(C(C(CO)O)O)O
Formose	G2	C(C(CO)(C(CO)O)O)=O
Formose	G2	C(C(CO)(CO)O)=O
Formose	G2	C(C(CO)O)(O)=O
Formose	G2	C(C(CO)O)O
Formose	G2	C(CO)(C(CO)O)=O
Formose	G3	C(C(C(C(C(C)=O)O)O)O)=O
Formose	G3	C(C(C(C(C)=O)O)O)(O)=O
Formose	G3	C(C(C(C(CO)=O)O)O)=O
Formose	G3	C(C(C(C(CO)O)=O)CO)=O
Formose	G3	C(C(C(C(CO)O)O)=O)=O
Formose	G3	C(C(C(C(CO)O)O)O)O
Formose	G3	C(C(C(C)=O)(C(CO)O)O)=O
Formose	G3	C(C(C(C)O)O)(C(CO)O)=O
Formose	G3	C(C(C(C)O)O)(O)=O
Formose	G3	C(C(C(C=O)O)O)(CCO)=O
Formose	G3	C(C(C(C=O)O)O)(O)=O
Formose	G3	C(C(C(CC(C=O)O)O)O)=O
Formose	G3	C(C(C(CC(CO)=O)O)O)=O
Formose	G3	C(C(C(CC(CO)O)=O)O)=O
Formose	G3	C(C(C(CCO)=O)(CO)O)=O
Formose	G3	C(C(C(CO)(CO)O)O)=O
Formose	G3	C(C(C(CO)=O)C(CO)O)=O
Formose	G3	C(C(C(CO)C(CO)O)=O)=O
Formose	G3	C(C(C(CO)O)(C(C)O)O)=O
Formose	G3	C(C(C(CO)O)(CC=O)O)=O
Formose	G3	C(C(C(CO)O)C(C=O)O)=O
Formose	G3	C(C(C)(C(C(CO)=O)O)O)=O
Formose	G3	C(C(C)(C(C(O)=O)O)O)=O
Formose	G3	C(C(C=O)C(C(CO)O)O)=O
Formose	G3	C(C(C=O)C(CO)(CO)O)=O
Formose	G3	C(C(CC(C(CO)O)O)=O)=O
Formose	G3	C(C(CC(CO)(CO)O)=O)=O
Formose	G3	C(C(CC(CO)=O)O)(O)=O
Formose	G3	C(C(CCO)(C(C=O)O)O)=O
Formose	G3	C(C(CCO)O)(O)=O
Formose	G3	C(C(CO)(C(C(C)=O)O)O)=O
Formose	G3	C(C(CO)(C(C)O)O)=O
Formose	G3	C(C(CO)(C(C=O)(C)O)O)=O
Formose	G3	C(C(CO)(C(C=O)O)O)=O
Formose	G3	C(C(CO)(C(CC=O)O)O)=O
Formose	G3	C(C(CO)(C(CO)O)O)O
Formose	G3	C(C(CO)(CC(CO)=O)O)=O
Formose	G3	C(C(CO)(CO)O)O
Formose	G3	C(C(CO)O)(C(CO)O)=O
