Network	Generation	Smiles
FormoseAmm	G1	C(C(C(CO)O)O)=O
FormoseAmm	G2	C(C(C(C(C(CO)O)O)O)N)=O
FormoseAmm	G2	C(C(C(C(CO)O)O)N)=O
FormoseAmm	G2	C(C(C(C(CO)O)O)O)=O
FormoseAmm	G2	C(C(C(CN)O)N)=O
FormoseAmm	G2	C(C(C(CN)O)O)=O
FormoseAmm	G2	C(C(C(CO)N)O)=O
FormoseAmm	G2	C(C(C(CO)NCC=O)O)=O
FormoseAmm	G2	C(C(C(CO)O)(C(CN)O)O)=O
FormoseAmm	G2	C(C(C(CO)O)N)=O
FormoseAmm	G2	C(C(C(CO)O)O)(O)=O
FormoseAmm	G2	C(C(C(CO)O)O)O
FormoseAmm	G2	C(C(CO)(C(CN)O)O)=O
FormoseAmm	G2	C(C(CO)(C(CO)O)O)=O
FormoseAmm	G2	C(C(CO)(CO)O)=O
FormoseAmm	G2	C(C(CO)O)(O)=O
FormoseAmm	G2	C(C(CO)O)O
FormoseAmm	G2	C(CN)(C(CO)O)=O
FormoseAmm	G2	C(CNCC=O)(C(CO)O)=O
FormoseAmm	G2	C(CO)(C(CO)O)=O
FormoseAmm	G3	C(C(C(C(C(C)=O)O)O)N)=O
FormoseAmm	G3	C(C(C(C(C(C)=O)O)O)O)=O
FormoseAmm	G3	C(C(C(C(C(CN)N)O)O)O)O
FormoseAmm	G3	C(C(C(C(C(CN)O)N)O)N)=O
FormoseAmm	G3	C(C(C(C(C(CN)O)N)O)O)=O
FormoseAmm	G3	C(C(C(C(C(CN)O)O)O)N)=O
FormoseAmm	G3	C(C(C(C(C(CN)O)O)O)O)=O
FormoseAmm	G3	C(C(C(C(C(CN)O)O)O)O)O
FormoseAmm	G3	C(C(C(C(C(CO)N)O)O)N)=O
FormoseAmm	G3	C(C(C(C(C(CO)N)O)O)O)=O
FormoseAmm	G3	C(C(C(C(C(CO)N)O)O)O)O
FormoseAmm	G3	C(C(C(C(C(CO)O)N)O)N)=O
FormoseAmm	G3	C(C(C(C(C(CO)O)N)O)O)=O
FormoseAmm	G3	C(C(C(C(C(CO)O)O)N)N)=O
FormoseAmm	G3	C(C(C(C(C(CO)O)O)N)O)=O
FormoseAmm	G3	C(C(C(C(C)=O)O)O)(O)=O
FormoseAmm	G3	C(C(C(C(CCO)=O)O)N)=O
FormoseAmm	G3	C(C(C(C(CN)=O)O)O)=O
FormoseAmm	G3	C(C(C(C(CN)N)O)O)O
FormoseAmm	G3	C(C(C(C(CN)O)O)N)=O
FormoseAmm	G3	C(C(C(C(CN)O)O)O)=O
FormoseAmm	G3	C(C(C(C(CN)O)O)O)O
FormoseAmm	G3	C(C(C(C(CO)(CO)O)O)N)=O
FormoseAmm	G3	C(C(C(C(CO)=O)N)O)=O
FormoseAmm	G3	C(C(C(C(CO)=O)O)O)=O
FormoseAmm	G3	C(C(C(C(CO)N)O)N)=O
FormoseAmm	G3	C(C(C(C(CO)N)O)O)=O
FormoseAmm	G3	C(C(C(C(CO)N)O)O)O
FormoseAmm	G3	C(C(C(C(CO)O)=O)CO)=O
FormoseAmm	G3	C(C(C(C(CO)O)N)N)=O
FormoseAmm	G3	C(C(C(C(CO)O)N)O)=O
FormoseAmm	G3	C(C(C(C(CO)O)O)O)O
FormoseAmm	G3	C(C(C(C)(C(C=O)O)O)N)=O
FormoseAmm	G3	C(C(C(C)=O)(C(CN)O)O)=O
FormoseAmm	G3	C(C(C(C)=O)(C(CO)O)O)=O
FormoseAmm	G3	C(C(C(C)O)(C(CN)O)O)=O
FormoseAmm	G3	C(C(C(C)O)(C(CO)N)O)=O
FormoseAmm	G3	C(C(C(C)O)N)(O)=O
FormoseAmm	G3	C(C(C(C)O)O)(C(CO)O)=O
FormoseAmm	G3	C(C(C(C)O)O)(O)=O
FormoseAmm	G3	C(C(C(C=O)O)N)(C(CO)O)=O
FormoseAmm	G3	C(C(C(C=O)O)O)(CCO)=O
FormoseAmm	G3	C(C(C(C=O)O)O)(O)=O
FormoseAmm	G3	C(C(C(CC(C=O)O)O)N)=O
FormoseAmm	G3	C(C(C(CC(C=O)O)O)O)=O
FormoseAmm	G3	C(C(C(CC(CN)O)=O)O)=O
FormoseAmm	G3	C(C(C(CC(CO)=O)O)N)=O
FormoseAmm	G3	C(C(C(CC(CO)=O)O)O)=O
FormoseAmm	G3	C(C(C(CC(CO)O)=O)N)=O
FormoseAmm	G3	C(C(C(CC(CO)O)=O)O)=O
FormoseAmm	G3	C(C(C(CC=O)O)(CN)O)=O
FormoseAmm	G3	C(C(C(CCO)=O)(CO)O)=O
FormoseAmm	G3	C(C(C(CN)(C(CN)O)O)O)O
FormoseAmm	G3	C(C(C(CN)(C(CO)O)O)N)=O
FormoseAmm	G3	C(C(C(CN)(C(CO)O)O)O)=O
FormoseAmm	G3	C(C(C(CN)(C(CO)O)O)O)O
FormoseAmm	G3	C(C(C(CN)(CO)O)N)=O
FormoseAmm	G3	C(C(C(CN)=O)C(CO)O)=O
FormoseAmm	G3	C(C(C(CN)N)N)=O
FormoseAmm	G3	C(C(C(CN)N)O)=O
FormoseAmm	G3	C(C(C(CN)N)O)O
FormoseAmm	G3	C(C(C(CN)NCC=O)N)=O
FormoseAmm	G3	C(C(C(CN)NCC=O)O)=O
FormoseAmm	G3	C(C(C(CN)NCCO)N)=O
FormoseAmm	G3	C(C(C(CN)NCCO)O)=O
FormoseAmm	G3	C(C(C(CN)O)(C(C)O)N)=O
FormoseAmm	G3	C(C(C(CN)O)(C(C=O)O)N)=O
FormoseAmm	G3	C(C(C(CN)O)(C(C=O)O)O)=O
FormoseAmm	G3	C(C(C(CN)O)(C(CN)O)N)=O
FormoseAmm	G3	C(C(C(CN)O)(C(CN)O)O)=O
FormoseAmm	G3	C(C(C(CN)O)(C(CO)N)O)=O
FormoseAmm	G3	C(C(C(CN)O)(CC=O)O)=O
FormoseAmm	G3	C(C(C(CN)O)C(C=O)O)=O
FormoseAmm	G3	C(C(C(CN)O)N)N
FormoseAmm	G3	C(C(C(CN)O)N)O
FormoseAmm	G3	C(C(C(CN)O)NCC=O)=O
FormoseAmm	G3	C(C(C(CN)O)O)(C(CO)O)=O
FormoseAmm	G3	C(C(C(CN)O)O)N
FormoseAmm	G3	C(C(C(CN)O)O)O
FormoseAmm	G3	C(C(C(CNCC=O)O)N)=O
FormoseAmm	G3	C(C(C(CNCC=O)O)O)=O
FormoseAmm	G3	C(C(C(CO)(C(CO)O)O)N)=O
FormoseAmm	G3	C(C(C(CO)(CN)O)O)=O
FormoseAmm	G3	C(C(C(CO)(CO)O)N)=O
FormoseAmm	G3	C(C(C(CO)(CO)O)O)=O
FormoseAmm	G3	C(C(C(CO)=O)C(CN)O)=O
FormoseAmm	G3	C(C(C(CO)=O)C(CO)O)=O
FormoseAmm	G3	C(C(C(CO)C(CN)O)=O)=O
FormoseAmm	G3	C(C(C(CO)C(CO)O)=O)=O
FormoseAmm	G3	C(C(C(CO)N)(C(C=O)O)O)=O
FormoseAmm	G3	C(C(C(CO)N)N)=O
FormoseAmm	G3	C(C(C(CO)NCC=O)N)=O
FormoseAmm	G3	C(C(C(CO)NCCN)O)=O
FormoseAmm	G3	C(C(C(CO)NCCO)N)=O
FormoseAmm	G3	C(C(C(CO)NCCO)O)=O
FormoseAmm	G3	C(C(C(CO)O)(C(C)O)O)=O
FormoseAmm	G3	C(C(C(CO)O)(C(CN)O)N)=O
FormoseAmm	G3	C(C(C(CO)O)(C(CN)O)O)O
FormoseAmm	G3	C(C(C(CO)O)(C(CO)N)O)=O
FormoseAmm	G3	C(C(C(CO)O)(CC=O)O)=O
FormoseAmm	G3	C(C(C(CO)O)C(C=O)O)=O
FormoseAmm	G3	C(C(C(CO)O)N)(O)=O
FormoseAmm	G3	C(C(C(CO)O)N)O
FormoseAmm	G3	C(C(C(CO)O)NCC=O)=O
FormoseAmm	G3	C(C(C(CO)O)NCCO)=O
FormoseAmm	G3	C(C(C)(C(C(CN)=O)O)O)=O
FormoseAmm	G3	C(C(C)(C(C(O)=O)O)O)=O
FormoseAmm	G3	C(C(C)(C(C=O)(CN)O)O)=O
FormoseAmm	G3	C(C(C=O)C(C(CN)O)O)=O
FormoseAmm	G3	C(C(C=O)C(C(CO)N)O)=O
FormoseAmm	G3	C(C(C=O)C(C(CO)O)O)=O
FormoseAmm	G3	C(C(C=O)C(CO)(CN)O)=O
FormoseAmm	G3	C(C(C=O)C(CO)(CO)O)=O
FormoseAmm	G3	C(C(CC(C(CN)O)O)=O)=O
FormoseAmm	G3	C(C(CC(C(CO)N)O)=O)=O
FormoseAmm	G3	C(C(CC(C(CO)O)O)=O)=O
FormoseAmm	G3	C(C(CC(CO)(CO)O)=O)=O
FormoseAmm	G3	C(C(CC(CO)=O)O)(O)=O
FormoseAmm	G3	C(C(CCO)(C(C=O)N)O)=O
FormoseAmm	G3	C(C(CCO)(C(C=O)O)O)=O
FormoseAmm	G3	C(C(CCO)O)(O)=O
FormoseAmm	G3	C(C(CN)(C(C(C)=O)O)O)=O
FormoseAmm	G3	C(C(CN)(C(C(CN)O)O)O)=O
FormoseAmm	G3	C(C(CN)(C(C(CO)N)O)O)=O
FormoseAmm	G3	C(C(CN)(C(C(CO)O)O)O)=O
FormoseAmm	G3	C(C(CN)(C(C(CO)O)O)O)O
FormoseAmm	G3	C(C(CN)(C(C)O)O)=O
FormoseAmm	G3	C(C(CN)(C(C=O)O)O)=O
FormoseAmm	G3	C(C(CN)(C(CN)O)O)=O
FormoseAmm	G3	C(C(CN)(C(CN)O)O)O
FormoseAmm	G3	C(C(CN)(C(CO)(CN)O)O)=O
FormoseAmm	G3	C(C(CN)(C(CO)(CO)O)O)=O
FormoseAmm	G3	C(C(CN)(C(CO)O)O)=O
FormoseAmm	G3	C(C(CN)(C(CO)O)O)O
FormoseAmm	G3	C(C(CN)N)O
FormoseAmm	G3	C(C(CN)NC(C=O)CO)=O
FormoseAmm	G3	C(C(CN)NCC(C=O)O)=O
FormoseAmm	G3	C(C(CN)NCC(CO)=O)=O
FormoseAmm	G3	C(C(CN)NCCO)=O
FormoseAmm	G3	C(C(CN)O)(O)=O
FormoseAmm	G3	C(C(CN)O)N
FormoseAmm	G3	C(C(CN)O)O
FormoseAmm	G3	C(C(CNC(C=O)CO)N)=O
FormoseAmm	G3	C(C(CNCC(C=O)O)N)=O
FormoseAmm	G3	C(C(CNCC(C=O)O)O)=O
FormoseAmm	G3	C(C(CNCC(CN)=O)O)=O
FormoseAmm	G3	C(C(CNCC(CO)=O)N)=O
FormoseAmm	G3	C(C(CNCC(CO)=O)O)=O
FormoseAmm	G3	C(C(CNCCN)O)=O
FormoseAmm	G3	C(C(CNCCO)N)=O
FormoseAmm	G3	C(C(CNCCO)O)=O
FormoseAmm	G3	C(C(CO)(C(C(C)=O)O)N)=O
