Smiles	Generation	Network
C(C(C(C(C(C)=O)N)N)O)=O	G3	GlucoseAmm
C(C(C(C(C(C)=O)O)O)CN)=O	G4	FormoseAmm
C(C(C(C(C(C)N)N)=O)N)=O	G4	GlucoseAmm
C(C(C(C(C(C)N)N)=O)O)=O	G3	GlucoseAmm
C(C(C(C(C(C)N)N)N)=O)=O	G4	GlucoseAmm
C(C(C(C(C(C)N)O)=O)N)=O	G4	GlucoseAmm
C(C(C(C(C(C)N)O)=O)O)=O	G3	GlucoseAmm
C(C(C(C(C(C)N)O)N)=O)=O	G4	GlucoseAmm
C(C(C(C(C(C)N)O)O)N)=O	G4	FormoseAmm
C(C(C(C(C(C)N)O)O)O)=O	G4	FormoseAmm
C(C(C(C(C(C)O)=C)O)O)=O	G6	Formose
C(C(C(C(C(C)O)=O)O)N)(C)=O	G4	GlucoseAmm
C(C(C(C(C(C)O)=O)O)N)=O	G3	GlucoseAmm
C(C(C(C(C(C)O)N)=O)CO)=O	G4	FormoseAmm
C(C(C(C(C(C)O)N)=O)N)=O	G4	GlucoseAmm
C(C(C(C(C(C)O)N)=O)O)=O	G3	GlucoseAmm
C(C(C(C(C(C)O)N)N)=O)=O	G4	GlucoseAmm
C(C(C(C(C(C)O)O)=O)N)=O	G4	GlucoseAmm
C(C(C(C(C(C)O)O)N)=O)=O	G4	GlucoseAmm
C(C(C(C(C(C=O)=C)N)O)O)=O	G4	GlucoseAmm
C(C(C(C(C(C=O)=C)O)N)O)=O	G4	GlucoseAmm
C(C(C(C(C(C=O)O)N)=O)O)=O	G4	GlucoseAmm
C(C(C(C(C(C=O)O)O)N)N)=O	G4	GlucoseAmm
C(C(C(C(C(CC)O)O)=O)O)=O	G6	Formose
C(C(C(C(C(CC)O)O)O)=O)=O	G6	Formose
C(C(C(C(C(CN)=C)=O)O)O)=O	G4	GlucoseAmm
C(C(C(C(C(CN)=O)N)O)O)=O	G4	GlucoseAmm
C(C(C(C(C(CN)=O)O)N)O)=O	G4	GlucoseAmm
C(C(C(C(C(CN)=O)O)O)N)=O	G4	GlucoseAmm
C(C(C(C(C(CN)=O)O)O)O)=O	G3	GlucoseAmm
C(C(C(C(C(CN)N)N)O)O)=O	G4	FormoseAmm
C(C(C(C(C(CN)N)O)O)N)=O	G4	FormoseAmm
C(C(C(C(C(CN)N)O)O)O)N	G4	FormoseAmm
C(C(C(C(C(CN)O)N)=O)O)=O	G4	GlucoseAmm
C(C(C(C(C(CN)O)N)N)O)=O	G4	FormoseAmm
C(C(C(C(C(CN)O)N)O)N)O	G4	FormoseAmm
C(C(C(C(C(CN)O)N)O)O)N	G4	FormoseAmm
C(C(C(C(C(CN)O)O)=O)O)=O	G4	GlucoseAmm
C(C(C(C(C(CN)O)O)N)N)=O	G4	FormoseAmm
C(C(C(C(C(CN)O)O)N)N)O	G4	FormoseAmm
C(C(C(C(C(CO)=C)=O)N)O)=O	G4	GlucoseAmm
C(C(C(C(C(CO)=C)=O)O)N)=O	G4	GlucoseAmm
C(C(C(C(C(CO)=C)O)=O)O)=O	G6	Formose
C(C(C(C(C(CO)=C)O)O)O)=O	G6	Formose
C(C(C(C(C(CO)=O)=C)N)O)=O	G4	GlucoseAmm
C(C(C(C(C(CO)=O)O)N)O)=O	G4	GlucoseAmm
C(C(C(C(C(CO)=O)O)O)N)=O	G4	GlucoseAmm
